Lower layer Super Output Areas Code,Workday Population Density (per square kilometre)
E01001216,9675.4
E01001219,10289.7
E01001223,6034
E01001230,8652
E01001249,16709.5
E01001288,8617.7
E01001292,6550.4
E01001293,9574.8
E01001303,10161.8
E01001304,11434.7
E01001315,6741.6
E01001340,17789.6
E01001346,7133.5
E01001352,9044.3
E01001355,12276.1
E01001356,15746.7
E01001363,11367.3
E01001364,11727
E01001366,10005.9
E01001369,11612.3
E01001372,15388.8
E01001373,12086
E01001379,11584.1
E01001380,11361
E01001198,11316.3
E01001206,9893.2
E01001211,8256.5
E01001215,11822.9
E01001233,8804.9
E01001236,9151.2
E01001251,9320.1
E01001255,7700.1
E01001305,9747.8
E01001334,8622.6
E01001374,12642.5
E01001376,8977.5
E01001385,9856.4
E01001331,9824.4
E01001295,8056.3
E01034028,10964.5
E01001201,10212.1
E01001202,16107.7
E01001204,8171
E01001217,7037
E01001224,6597
E01001229,5871.4
E01001232,5880.4
E01001242,6155.3
E01001243,9053.2
E01001257,10503.6
E01001279,5106.8
E01001296,6852.1
E01001298,9794.8
E01001299,7189.8
E01001306,9765.6
E01001345,7360.6
E01001357,19371.1
E01001360,10989.3
E01001368,10295.3
E01001384,13764.9
E01001389,13713.3
E01001253,11457.4
E01001254,7401
E01001260,5893.3
E01001282,8602.8
E01001300,10821.2
E01001342,8130.6
E01001316,7574.6
E01001312,7423.1
E01001310,6733.8
E01001212,5735.8
E01001213,9894.1
E01001269,6270.6
E01001274,5475.6
E01001286,6555.9
E01001289,8636.4
E01001297,6014.4
E01001313,7377.2
E01001358,11114.1
E01001359,17088
E01001388,7849.5
E01001210,6959.8
E01001227,7501.4
E01001237,5728.8
E01001240,7891
E01001252,12626.4
E01001270,8039.1
E01001317,5263.5
E01001333,8178.2
E01001362,9877
E01001367,12763
E01001382,6352.9
E01032744,8913.5
E01001214,5678
E01001226,7350.5
E01001228,8003
E01001259,4936.8
E01001265,5213.5
E01001276,9145.4
E01001291,7773.1
E01001311,5572.5
E01001318,5925.3
E01001336,5649.4
E01001343,6070.1
E01001353,7009.2
E01001231,4385.3
E01001235,6432.2
E01001244,10831.8
E01001281,5290.2
E01001350,4190.4
E01001371,9446.9
E01001195,3591.6
E01001205,6965.9
E01001323,5438.7
E01001375,11314.1
E01001377,8210.9
E01001381,9243.2
E01001209,5951.6
E01001218,5883
E01001225,9188.4
E01001234,3905.2
E01001250,7271.6
E01001258,7083.7
E01001264,4619.4
E01001283,6669.2
E01001285,7101.3
E01001324,3919.1
E01001354,7622.9
E01001387,8731.1
E01001262,5391.4
E01001302,4603.7
E01001361,8344.1
E01001386,6573.7
E01034030,14153.4
E01001196,6339.4
E01001263,4859.8
E01001268,5324.3
E01001307,3152.8
E01001314,3991.8
E01001320,2633.2
E01001335,3219.2
E01001271,7186.7
E01001275,4399.9
E01001294,5710.4
E01001321,5677.2
E01001261,7016.5
E01001278,4209.4
E01001301,7798.6
E01001328,3817.5
E01001329,5230.2
E01001341,8516.6
E01001351,13139.2
E01001197,4434.2
E01001290,3365.6
E01001327,5512.4
E01001330,4846.7
E01001365,4158.2
E01001370,5499.6
E01001248,2869.1
E01001280,4463
E01034027,8649.7
E01001273,4353.3
E01001309,4732.1
E01032572,6775.1
E01001239,5573.2
E01001246,4116.8
E01001266,4294.3
E01001272,5464.7
E01001348,3468.6
E01001208,2525
E01001241,4324.6
E01001267,5095.1
E01001284,2968.9
E01001322,4154.1
E01001349,1768.1
E01001344,4765.1
E01001277,4638.6
E01001308,1382.9
E01001347,4189.5
E01001325,1705.7
E01001326,2672.6
E01001338,6336.4
E01001339,4692.2
E01001247,5088.5
E01001220,1527.7
E01001337,3828.5
E01001424,13760.4
E01001442,12927.9
E01001460,15277.3
