Lower layer Super Output Areas Code,Sex (2 categories),Observation
E01000249,Male,784
E01000250,Female,1380
E01000250,Male,1229
E01000251,Female,1222
E01000251,Male,1040
E01000252,Female,903
E01000252,Male,812
E01000253,Female,1007
E01000253,Male,974
E01000254,Female,807
E01000254,Male,793
E01000255,Female,878
E01000255,Male,822
E01000256,Female,1046
E01000256,Male,882
E01000257,Female,1105
E01000257,Male,985
E01000258,Female,946
E01000258,Male,946
E01000259,Female,1379
E01000259,Male,1264
E01000260,Female,1141
E01000260,Male,1025
E01000261,Female,931
E01000261,Male,838
E01000263,Female,771
E01000263,Male,753
E01000264,Female,910
E01000264,Male,913
E01000265,Female,1009
E01000265,Male,914
E01000266,Female,722
E01000266,Male,713
E01000267,Female,796
E01000267,Male,731
E01000268,Female,1057
E01000268,Male,1018
E01000269,Female,719
E01000269,Male,667
E01000270,Female,770
E01000270,Male,775
E01000271,Female,861
E01000271,Male,777
E01000272,Female,756
E01000272,Male,670
E01000273,Female,913
E01000273,Male,757
E01000274,Female,997
E01000274,Male,939
E01000275,Female,906
E01000275,Male,834
E01000276,Female,796
E01000276,Male,741
E01000277,Female,867
E01000277,Male,785
E01000278,Female,731
E01000278,Male,748
E01000279,Female,704
E01000279,Male,661
E01000280,Female,700
E01000280,Male,634
E01000281,Female,931
E01000281,Male,858
E01000282,Female,914
E01000282,Male,894
E01000283,Female,701
E01000283,Male,670
E01000284,Female,930
E01000284,Male,876
E01000285,Female,802
E01000285,Male,713
E01000286,Female,878
E01000286,Male,839
E01000287,Female,881
E01000287,Male,748
E01000288,Female,782
E01000288,Male,766
E01000289,Female,842
E01000289,Male,741
E01000290,Female,812
E01000290,Male,809
E01000291,Female,799
E01000291,Male,762
E01000292,Female,785
E01000292,Male,759
E01000293,Female,946
E01000293,Male,826
E01000294,Female,935
E01000294,Male,876
E01000295,Female,846
E01000295,Male,769
E01000296,Female,921
E01000296,Male,864
E01000297,Female,742
E01000297,Male,679
E01000298,Female,874
E01000298,Male,837
E01000299,Female,1127
E01000299,Male,1092
E01000300,Female,873
E01000300,Male,794
E01000301,Female,769
E01000301,Male,726
E01000302,Female,918
E01000302,Male,881
E01000303,Female,793
E01000303,Male,709
E01000304,Female,800
E01000304,Male,757
E01000305,Female,809
E01000305,Male,812
E01000306,Female,979
E01000306,Male,992
E01000307,Female,831
E01000307,Male,819
E01000308,Female,1112
E01000308,Male,998
E01000309,Female,1044
E01000309,Male,1007
E01000310,Female,1079
E01000310,Male,1115
E01000311,Female,917
E01000311,Male,854
E01000312,Female,896
E01000312,Male,872
E01000313,Female,971
E01000313,Male,930
E01000314,Female,1120
E01000314,Male,1046
E01000315,Female,886
E01000315,Male,813
E01000316,Female,1158
E01000316,Male,1129
E01000317,Female,834
E01000317,Male,748
E01000318,Female,1018
E01000318,Male,906
E01000319,Female,719
E01000319,Male,683
E01000320,Female,1015
E01000320,Male,919
E01000321,Female,997
E01000321,Male,964
E01000322,Female,1014
E01000322,Male,845
E01000323,Female,1114
E01000323,Male,1253
E01000324,Female,942
E01000324,Male,889
E01000325,Female,831
E01000325,Male,816
E01000326,Female,704
E01000326,Male,680
E01000327,Female,838
E01000327,Male,790
E01000328,Female,853
E01000328,Male,784
E01000329,Female,882
E01000329,Male,814
E01000330,Female,919
E01000330,Male,737
E01000331,Female,844
E01000331,Male,845
E01000332,Female,843
E01000332,Male,750
E01000333,Female,984
E01000333,Male,933
E01000334,Female,886
E01000334,Male,789
E01000335,Female,1398
E01000335,Male,1328
E01000336,Female,1030
E01000336,Male,968
E01000337,Female,887
E01000337,Male,849
E01000338,Female,926
E01000338,Male,928
E01000339,Female,829
E01000339,Male,790
E01000340,Female,799
E01000340,Male,785
E01000341,Female,829
E01000341,Male,713
E01000342,Female,797
E01000342,Male,727
E01000343,Female,757
E01000343,Male,753
E01000344,Female,823
E01000344,Male,769
E01000345,Female,703
E01000345,Male,639
E01000346,Female,818
E01000346,Male,770
E01000347,Female,785
E01000347,Male,736
E01000348,Female,767
E01000348,Male,747
E01000349,Female,893
E01000349,Male,829
E01000350,Female,766
E01000350,Male,720
E01000351,Female,851
E01000351,Male,761
E01000352,Female,872
E01000352,Male,746
E01000353,Female,851
E01000353,Male,786
E01000354,Female,792
E01000354,Male,700
E01000355,Female,740
E01000355,Male,701
E01000356,Female,817
E01000356,Male,749
E01000357,Female,723
E01000357,Male,680
E01000358,Female,857
E01000358,Male,801
E01000359,Female,650
E01000359,Male,613
E01000360,Female,997
E01000360,Male,913
E01000361,Female,830
E01000361,Male,761
E01000362,Female,991
E01000362,Male,873
E01000363,Female,811
E01000363,Male,748
E01000364,Female,848
E01000364,Male,850
E01000365,Female,939
E01000365,Male,789
E01000366,Female,838
E01000366,Male,802
E01000367,Female,1193
E01000367,Male,1073
E01000368,Female,922
E01000368,Male,758
E01000369,Female,917
E01000369,Male,810
E01000370,Female,788
E01000370,Male,770
E01000371,Female,855
E01000371,Male,765
E01000372,Female,887
E01000372,Male,802
E01000373,Female,696
E01000373,Male,629
E01000374,Female,829
E01000374,Male,750
E01000375,Female,1084
E01000375,Male,1044
E01000376,Female,840
E01000376,Male,774
E01000377,Female,751
E01000377,Male,721
E01000379,Female,869
E01000379,Male,843
E01000380,Female,883
E01000380,Male,853
E01000381,Female,850
E01000381,Male,767
E01000382,Female,806
E01000382,Male,767
E01000383,Female,823
E01000383,Male,770
E01000384,Female,928
E01000384,Male,793
E01000385,Female,1083
E01000385,Male,923
E01000386,Female,851
E01000386,Male,686
E01000387,Female,805
E01000387,Male,753
E01000388,Female,781
E01000388,Male,732
E01000389,Female,862
E01000389,Male,838
E01000390,Female,688
E01000390,Male,644
E01000391,Female,932
E01000391,Male,816
E01000392,Female,1006
E01000392,Male,949
E01000393,Female,864
E01000393,Male,831
E01000394,Female,868
E01000394,Male,760
E01000395,Female,761
E01000395,Male,768
E01000396,Female,712
E01000396,Male,740
E01000398,Female,817
E01000398,Male,776
E01000399,Female,806
E01000399,Male,765
E01000400,Female,809
E01000400,Male,764
E01000401,Female,995
E01000401,Male,819
E01000402,Female,852
E01000402,Male,753
E01000403,Female,1300
E01000403,Male,1103
E01000404,Female,1294
E01000404,Male,1129
E01000405,Female,826
E01000405,Male,750
E01000406,Female,1092
E01000406,Male,1052
E01000407,Female,963
E01000407,Male,907
E01000408,Female,903
E01000408,Male,871
E01000409,Female,914
E01000409,Male,828
E01000410,Female,846
E01000410,Male,812
E01000411,Female,754
E01000411,Male,740
E01000412,Female,896
E01000412,Male,870
E01000413,Female,688
E01000413,Male,659
E01000414,Female,955
E01000414,Male,939
E01000415,Female,735
E01000415,Male,730
E01000416,Female,824
E01000416,Male,807
E01000417,Female,899
E01000417,Male,841
E01000418,Female,979
E01000418,Male,967
E01000419,Female,774
E01000419,Male,721
E01000420,Female,811
E01000420,Male,711
E01000421,Female,797
E01000421,Male,724
E01000422,Female,707
E01000422,Male,631
E01000423,Female,803
E01000423,Male,804
E01000424,Female,898
E01000424,Male,828
E01000425,Female,919
E01000425,Male,881
E01000426,Female,838
E01000426,Male,834
E01000427,Female,1092
E01000427,Male,919
E01000428,Female,1027
E01000428,Male,875
E01000429,Female,895
E01000429,Male,798
E01000430,Female,1085
E01000430,Male,966
E01000431,Female,646
E01000431,Male,554
E01000433,Female,988
E01000433,Male,969
E01000434,Female,852
E01000434,Male,741
E01000435,Female,781
E01000435,Male,709
E01000436,Female,893
E01000436,Male,865
E01000437,Female,714
E01000437,Male,660
E01000438,Female,853
E01000438,Male,835
E01000439,Female,740
E01000439,Male,684
E01000440,Female,707
E01000440,Male,678
E01000441,Female,938
E01000441,Male,864
E01000442,Female,867
E01000442,Male,812
E01000443,Female,682
E01000443,Male,649
E01000444,Female,844
E01000444,Male,798
E01000445,Female,847
E01000445,Male,819
E01000446,Female,791
E01000446,Male,714
E01000447,Female,1015
E01000447,Male,944
E01000448,Female,686
E01000448,Male,662
E01000449,Female,802
E01000449,Male,760
E01000450,Female,919
E01000450,Male,882
E01000451,Female,885
E01000451,Male,865
E01000452,Female,715
E01000452,Male,705
E01000453,Female,770
E01000453,Male,709
E01000454,Female,846
E01000454,Male,785
E01000455,Female,907
E01000455,Male,885
E01000456,Female,752
E01000456,Male,670
E01000457,Female,1217
E01000457,Male,958
E01000458,Female,808
E01000458,Male,731
E01000459,Female,1004
E01000459,Male,867
E01000460,Female,633
E01000460,Male,628
E01000461,Female,808
E01000461,Male,829
E01000462,Female,1097
E01000462,Male,957
E01000463,Female,626
E01000463,Male,625
E01000464,Female,788
E01000464,Male,730
E01000465,Female,882
E01000465,Male,808
E01000466,Female,852
E01000466,Male,861
E01000467,Female,875
E01000467,Male,804
E01000468,Female,1507
E01000468,Male,1425
E01000469,Female,910
E01000469,Male,826
E01000470,Female,693
E01000470,Male,614
E01000471,Female,845
E01000471,Male,876
E01000472,Female,1246
E01000472,Male,1158
E01000473,Female,1343
E01000473,Male,1361
E01000474,Female,1149
E01000474,Male,1123
E01000475,Female,1053
E01000475,Male,1071
E01000476,Female,1086
E01000476,Male,1110
E01000477,Female,1115
E01000477,Male,1261
E01000478,Female,1263
E01000478,Male,1265
E01000479,Female,914
E01000479,Male,848
E01000480,Female,837
E01000480,Male,851
E01000481,Female,879
E01000481,Male,756
E01000483,Female,971
E01000483,Male,881
E01000484,Female,929
E01000484,Male,836
E01000485,Female,824
E01000485,Male,780
E01000486,Female,848
E01000486,Male,850
E01000487,Female,1028
E01000487,Male,959
E01000488,Female,886
E01000488,Male,761
E01000489,Female,852
E01000489,Male,873
E01000490,Female,901
E01000490,Male,870
E01000491,Female,1078
E01000491,Male,988
E01000492,Female,651
E01000492,Male,622
E01000493,Female,851
E01000493,Male,746
E01000494,Female,905
E01000494,Male,856
E01000495,Female,756
E01000495,Male,835
E01000497,Female,1047
E01000497,Male,1024
E01000498,Female,822
E01000498,Male,861
E01000499,Female,1036
E01000499,Male,860
E01000501,Female,1079
E01000501,Male,952
E01000502,Female,1004
E01000502,Male,878
E01000503,Female,1032
E01000503,Male,1061
E01000504,Female,941
E01000504,Male,858
E01000505,Female,867
E01000505,Male,810
E01000506,Female,855
