Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000038,Migrant from within the UK: Address one year ago was in the UK,123
E01000038,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000039,Does not apply,21
E01000039,Address one year ago is the same as the address of enumeration,1581
E01000039,Address one year ago is student term-time or boarding school address in the UK,2
E01000039,Migrant from within the UK: Address one year ago was in the UK,134
E01000039,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000040,Does not apply,19
E01000040,Address one year ago is the same as the address of enumeration,1710
E01000040,Address one year ago is student term-time or boarding school address in the UK,2
E01000040,Migrant from within the UK: Address one year ago was in the UK,116
E01000040,Migrant from outside the UK: Address one year ago was outside the UK,32
E01000041,Does not apply,22
E01000041,Address one year ago is the same as the address of enumeration,1683
E01000041,Address one year ago is student term-time or boarding school address in the UK,4
E01000041,Migrant from within the UK: Address one year ago was in the UK,109
E01000041,Migrant from outside the UK: Address one year ago was outside the UK,24
E01000042,Does not apply,35
E01000042,Address one year ago is the same as the address of enumeration,1730
E01000042,Address one year ago is student term-time or boarding school address in the UK,1
E01000042,Migrant from within the UK: Address one year ago was in the UK,107
E01000042,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000043,Does not apply,18
E01000043,Address one year ago is the same as the address of enumeration,1435
E01000043,Address one year ago is student term-time or boarding school address in the UK,0
E01000043,Migrant from within the UK: Address one year ago was in the UK,64
E01000043,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000044,Does not apply,21
E01000044,Address one year ago is the same as the address of enumeration,1757
E01000044,Address one year ago is student term-time or boarding school address in the UK,5
E01000044,Migrant from within the UK: Address one year ago was in the UK,191
E01000044,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000045,Does not apply,26
E01000045,Address one year ago is the same as the address of enumeration,1555
E01000045,Address one year ago is student term-time or boarding school address in the UK,2
E01000045,Migrant from within the UK: Address one year ago was in the UK,125
E01000045,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000046,Does not apply,25
