Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01002969,Migrant from outside the UK: Address one year ago was outside the UK,56
E01002970,Does not apply,24
E01002970,Address one year ago is the same as the address of enumeration,1546
E01002970,Address one year ago is student term-time or boarding school address in the UK,20
E01002970,Migrant from within the UK: Address one year ago was in the UK,184
E01002970,Migrant from outside the UK: Address one year ago was outside the UK,33
E01002971,Does not apply,22
E01002971,Address one year ago is the same as the address of enumeration,1470
E01002971,Address one year ago is student term-time or boarding school address in the UK,28
E01002971,Migrant from within the UK: Address one year ago was in the UK,255
E01002971,Migrant from outside the UK: Address one year ago was outside the UK,24
E01002972,Does not apply,30
E01002972,Address one year ago is the same as the address of enumeration,1597
E01002972,Address one year ago is student term-time or boarding school address in the UK,55
E01002972,Migrant from within the UK: Address one year ago was in the UK,305
E01002972,Migrant from outside the UK: Address one year ago was outside the UK,63
E01002973,Does not apply,11
E01002973,Address one year ago is the same as the address of enumeration,1441
E01002973,Address one year ago is student term-time or boarding school address in the UK,12
E01002973,Migrant from within the UK: Address one year ago was in the UK,97
E01002973,Migrant from outside the UK: Address one year ago was outside the UK,17
E01002974,Does not apply,18
E01002974,Address one year ago is the same as the address of enumeration,1766
E01002974,Address one year ago is student term-time or boarding school address in the UK,43
E01002974,Migrant from within the UK: Address one year ago was in the UK,189
E01002974,Migrant from outside the UK: Address one year ago was outside the UK,41
E01002975,Does not apply,13
E01002975,Address one year ago is the same as the address of enumeration,1352
E01002975,Address one year ago is student term-time or boarding school address in the UK,5
E01002975,Migrant from within the UK: Address one year ago was in the UK,91
E01002975,Migrant from outside the UK: Address one year ago was outside the UK,28
E01002976,Does not apply,18
E01002976,Address one year ago is the same as the address of enumeration,1564
E01002976,Address one year ago is student term-time or boarding school address in the UK,5
E01002976,Migrant from within the UK: Address one year ago was in the UK,117
E01002976,Migrant from outside the UK: Address one year ago was outside the UK,10
E01002977,Does not apply,12
E01002977,Address one year ago is the same as the address of enumeration,1534
E01002977,Address one year ago is student term-time or boarding school address in the UK,2
E01002977,Migrant from within the UK: Address one year ago was in the UK,131
E01002977,Migrant from outside the UK: Address one year ago was outside the UK,20
E01002978,Does not apply,25
E01002978,Address one year ago is the same as the address of enumeration,1632
E01002978,Address one year ago is student term-time or boarding school address in the UK,7
E01002978,Migrant from within the UK: Address one year ago was in the UK,167
E01002978,Migrant from outside the UK: Address one year ago was outside the UK,26
E01002979,Does not apply,10
E01002979,Address one year ago is the same as the address of enumeration,1420
E01002979,Address one year ago is student term-time or boarding school address in the UK,7
E01002979,Migrant from within the UK: Address one year ago was in the UK,83
E01002979,Migrant from outside the UK: Address one year ago was outside the UK,9
E01002980,Does not apply,9
E01002980,Address one year ago is the same as the address of enumeration,1286
E01002980,Address one year ago is student term-time or boarding school address in the UK,8
E01002980,Migrant from within the UK: Address one year ago was in the UK,93
E01002980,Migrant from outside the UK: Address one year ago was outside the UK,11
E01002981,Does not apply,13
E01002981,Address one year ago is the same as the address of enumeration,1498
E01002981,Address one year ago is student term-time or boarding school address in the UK,9
E01002981,Migrant from within the UK: Address one year ago was in the UK,68
E01002981,Migrant from outside the UK: Address one year ago was outside the UK,16
E01002982,Does not apply,5
E01002982,Address one year ago is the same as the address of enumeration,1343
E01002982,Address one year ago is student term-time or boarding school address in the UK,5
E01002982,Migrant from within the UK: Address one year ago was in the UK,124
E01002982,Migrant from outside the UK: Address one year ago was outside the UK,8
E01002983,Does not apply,11
E01002983,Address one year ago is the same as the address of enumeration,1552
E01002983,Address one year ago is student term-time or boarding school address in the UK,4
E01002983,Migrant from within the UK: Address one year ago was in the UK,82
E01002983,Migrant from outside the UK: Address one year ago was outside the UK,20
E01002984,Does not apply,14
E01002984,Address one year ago is the same as the address of enumeration,1262
E01002984,Address one year ago is student term-time or boarding school address in the UK,6
E01002984,Migrant from within the UK: Address one year ago was in the UK,126
E01002984,Migrant from outside the UK: Address one year ago was outside the UK,23
E01002985,Does not apply,18
E01002985,Address one year ago is the same as the address of enumeration,1528
E01002985,Address one year ago is student term-time or boarding school address in the UK,9
E01002985,Migrant from within the UK: Address one year ago was in the UK,143
E01002985,Migrant from outside the UK: Address one year ago was outside the UK,22
E01002986,Does not apply,13
E01002986,Address one year ago is the same as the address of enumeration,1258
E01002986,Address one year ago is student term-time or boarding school address in the UK,2
E01002986,Migrant from within the UK: Address one year ago was in the UK,95
E01002986,Migrant from outside the UK: Address one year ago was outside the UK,5
E01002987,Does not apply,23
E01002987,Address one year ago is the same as the address of enumeration,1492
E01002987,Address one year ago is student term-time or boarding school address in the UK,15
E01002987,Migrant from within the UK: Address one year ago was in the UK,332
E01002987,Migrant from outside the UK: Address one year ago was outside the UK,33
E01002988,Does not apply,16
E01002988,Address one year ago is the same as the address of enumeration,1131
E01002988,Address one year ago is student term-time or boarding school address in the UK,39
E01002988,Migrant from within the UK: Address one year ago was in the UK,389
E01002988,Migrant from outside the UK: Address one year ago was outside the UK,104
E01002989,Does not apply,45
E01002989,Address one year ago is the same as the address of enumeration,1537
E01002989,Address one year ago is student term-time or boarding school address in the UK,7
E01002989,Migrant from within the UK: Address one year ago was in the UK,273
E01002989,Migrant from outside the UK: Address one year ago was outside the UK,38
E01002990,Does not apply,26
E01002990,Address one year ago is the same as the address of enumeration,1308
E01002990,Address one year ago is student term-time or boarding school address in the UK,11
E01002990,Migrant from within the UK: Address one year ago was in the UK,321
E01002990,Migrant from outside the UK: Address one year ago was outside the UK,41
E01002991,Does not apply,15
E01002991,Address one year ago is the same as the address of enumeration,1279
E01002991,Address one year ago is student term-time or boarding school address in the UK,20
E01002991,Migrant from within the UK: Address one year ago was in the UK,231
E01002991,Migrant from outside the UK: Address one year ago was outside the UK,22
E01002992,Does not apply,20
E01002992,Address one year ago is the same as the address of enumeration,964
E01002992,Address one year ago is student term-time or boarding school address in the UK,77
E01002992,Migrant from within the UK: Address one year ago was in the UK,430
E01002992,Migrant from outside the UK: Address one year ago was outside the UK,77
E01002993,Does not apply,31
E01002993,Address one year ago is the same as the address of enumeration,1279
E01002993,Address one year ago is student term-time or boarding school address in the UK,7
E01002993,Migrant from within the UK: Address one year ago was in the UK,235
E01002993,Migrant from outside the UK: Address one year ago was outside the UK,24
E01002994,Does not apply,13
E01002994,Address one year ago is the same as the address of enumeration,1298
E01002994,Address one year ago is student term-time or boarding school address in the UK,12
E01002994,Migrant from within the UK: Address one year ago was in the UK,159
E01002994,Migrant from outside the UK: Address one year ago was outside the UK,21
E01002995,Does not apply,13
E01002995,Address one year ago is the same as the address of enumeration,1361
E01002995,Address one year ago is student term-time or boarding school address in the UK,3
E01002995,Migrant from within the UK: Address one year ago was in the UK,205
E01002995,Migrant from outside the UK: Address one year ago was outside the UK,17
E01002996,Does not apply,25
E01002996,Address one year ago is the same as the address of enumeration,1354
E01002996,Address one year ago is student term-time or boarding school address in the UK,12
E01002996,Migrant from within the UK: Address one year ago was in the UK,140
E01002996,Migrant from outside the UK: Address one year ago was outside the UK,14
E01002997,Does not apply,17
E01002997,Address one year ago is the same as the address of enumeration,1370
E01002997,Address one year ago is student term-time or boarding school address in the UK,6
E01002997,Migrant from within the UK: Address one year ago was in the UK,117
E01002997,Migrant from outside the UK: Address one year ago was outside the UK,14
E01002998,Does not apply,21
E01002998,Address one year ago is the same as the address of enumeration,1444
E01002998,Address one year ago is student term-time or boarding school address in the UK,2
E01002998,Migrant from within the UK: Address one year ago was in the UK,130
E01002998,Migrant from outside the UK: Address one year ago was outside the UK,15
E01002999,Does not apply,31
E01002999,Address one year ago is the same as the address of enumeration,1213
E01002999,Address one year ago is student term-time or boarding school address in the UK,16
E01002999,Migrant from within the UK: Address one year ago was in the UK,252
E01002999,Migrant from outside the UK: Address one year ago was outside the UK,22
E01003000,Does not apply,24
E01003000,Address one year ago is the same as the address of enumeration,1731
E01003000,Address one year ago is student term-time or boarding school address in the UK,3
E01003000,Migrant from within the UK: Address one year ago was in the UK,96
E01003000,Migrant from outside the UK: Address one year ago was outside the UK,14
E01003001,Does not apply,21
E01003001,Address one year ago is the same as the address of enumeration,1760
E01003001,Address one year ago is student term-time or boarding school address in the UK,4
E01003001,Migrant from within the UK: Address one year ago was in the UK,113
E01003001,Migrant from outside the UK: Address one year ago was outside the UK,19
E01003002,Does not apply,18
E01003002,Address one year ago is the same as the address of enumeration,1696
E01003002,Address one year ago is student term-time or boarding school address in the UK,7
E01003002,Migrant from within the UK: Address one year ago was in the UK,169
E01003002,Migrant from outside the UK: Address one year ago was outside the UK,19
E01003003,Does not apply,17
E01003003,Address one year ago is the same as the address of enumeration,1521
E01003003,Address one year ago is student term-time or boarding school address in the UK,6
E01003003,Migrant from within the UK: Address one year ago was in the UK,147
E01003003,Migrant from outside the UK: Address one year ago was outside the UK,35
E01003004,Does not apply,26
E01003004,Address one year ago is the same as the address of enumeration,1459
E01003004,Address one year ago is student term-time or boarding school address in the UK,4
E01003004,Migrant from within the UK: Address one year ago was in the UK,134
E01003004,Migrant from outside the UK: Address one year ago was outside the UK,21
E01003005,Does not apply,12
E01003005,Address one year ago is the same as the address of enumeration,1413
E01003005,Address one year ago is student term-time or boarding school address in the UK,4
E01003005,Migrant from within the UK: Address one year ago was in the UK,103
E01003005,Migrant from outside the UK: Address one year ago was outside the UK,9
E01003006,Does not apply,10
E01003006,Address one year ago is the same as the address of enumeration,1356
E01003006,Address one year ago is student term-time or boarding school address in the UK,5
E01003006,Migrant from within the UK: Address one year ago was in the UK,136
E01003006,Migrant from outside the UK: Address one year ago was outside the UK,15
E01003007,Does not apply,6
E01003007,Address one year ago is the same as the address of enumeration,1483
E01003007,Address one year ago is student term-time or boarding school address in the UK,5
E01003007,Migrant from within the UK: Address one year ago was in the UK,98
E01003007,Migrant from outside the UK: Address one year ago was outside the UK,30
E01003008,Does not apply,10
E01003008,Address one year ago is the same as the address of enumeration,1335
E01003008,Address one year ago is student term-time or boarding school address in the UK,7
E01003008,Migrant from within the UK: Address one year ago was in the UK,83
E01003008,Migrant from outside the UK: Address one year ago was outside the UK,11
E01003009,Does not apply,12
E01003009,Address one year ago is the same as the address of enumeration,1897
E01003009,Address one year ago is student term-time or boarding school address in the UK,6
E01003009,Migrant from within the UK: Address one year ago was in the UK,126
E01003009,Migrant from outside the UK: Address one year ago was outside the UK,16
E01003010,Does not apply,10
E01003010,Address one year ago is the same as the address of enumeration,1280
E01003010,Address one year ago is student term-time or boarding school address in the UK,4
E01003010,Migrant from within the UK: Address one year ago was in the UK,139
E01003010,Migrant from outside the UK: Address one year ago was outside the UK,7
E01003011,Does not apply,10
E01003011,Address one year ago is the same as the address of enumeration,1508
E01003011,Address one year ago is student term-time or boarding school address in the UK,15
E01003011,Migrant from within the UK: Address one year ago was in the UK,122
E01003011,Migrant from outside the UK: Address one year ago was outside the UK,41
E01003013,Does not apply,10
E01003013,Address one year ago is the same as the address of enumeration,1007
E01003013,Address one year ago is student term-time or boarding school address in the UK,105
E01003013,Migrant from within the UK: Address one year ago was in the UK,439
E01003013,Migrant from outside the UK: Address one year ago was outside the UK,386
E01003014,Does not apply,9
E01003014,Address one year ago is the same as the address of enumeration,1227
E01003014,Address one year ago is student term-time or boarding school address in the UK,16
E01003014,Migrant from within the UK: Address one year ago was in the UK,197
E01003014,Migrant from outside the UK: Address one year ago was outside the UK,56
E01003015,Does not apply,15
E01003015,Address one year ago is the same as the address of enumeration,1489
E01003015,Address one year ago is student term-time or boarding school address in the UK,7
E01003015,Migrant from within the UK: Address one year ago was in the UK,173
E01003015,Migrant from outside the UK: Address one year ago was outside the UK,35
E01003016,Does not apply,12
E01003016,Address one year ago is the same as the address of enumeration,744
E01003016,Address one year ago is student term-time or boarding school address in the UK,46
E01003016,Migrant from within the UK: Address one year ago was in the UK,255
E01003016,Migrant from outside the UK: Address one year ago was outside the UK,147
E01003017,Does not apply,16
E01003017,Address one year ago is the same as the address of enumeration,1275
E01003017,Address one year ago is student term-time or boarding school address in the UK,21
E01003017,Migrant from within the UK: Address one year ago was in the UK,263
E01003017,Migrant from outside the UK: Address one year ago was outside the UK,54
E01003018,Does not apply,15
E01003018,Address one year ago is the same as the address of enumeration,1417
E01003018,Address one year ago is student term-time or boarding school address in the UK,9
E01003018,Migrant from within the UK: Address one year ago was in the UK,551
E01003018,Migrant from outside the UK: Address one year ago was outside the UK,30
E01003019,Does not apply,24
E01003019,Address one year ago is the same as the address of enumeration,1441
E01003019,Address one year ago is student term-time or boarding school address in the UK,17
E01003019,Migrant from within the UK: Address one year ago was in the UK,517
E01003019,Migrant from outside the UK: Address one year ago was outside the UK,36
E01003020,Does not apply,12
E01003020,Address one year ago is the same as the address of enumeration,1448
E01003020,Address one year ago is student term-time or boarding school address in the UK,17
E01003020,Migrant from within the UK: Address one year ago was in the UK,319
E01003020,Migrant from outside the UK: Address one year ago was outside the UK,25
E01003021,Does not apply,15
E01003021,Address one year ago is the same as the address of enumeration,1590
E01003021,Address one year ago is student term-time or boarding school address in the UK,4
E01003021,Migrant from within the UK: Address one year ago was in the UK,532
E01003021,Migrant from outside the UK: Address one year ago was outside the UK,13
E01003022,Does not apply,14
E01003022,Address one year ago is the same as the address of enumeration,1266
E01003022,Address one year ago is student term-time or boarding school address in the UK,14
E01003022,Migrant from within the UK: Address one year ago was in the UK,300
E01003022,Migrant from outside the UK: Address one year ago was outside the UK,25
E01003023,Does not apply,39
E01003023,Address one year ago is the same as the address of enumeration,1963
E01003023,Address one year ago is student term-time or boarding school address in the UK,24
E01003023,Migrant from within the UK: Address one year ago was in the UK,518
E01003023,Migrant from outside the UK: Address one year ago was outside the UK,50
E01003024,Does not apply,23
E01003024,Address one year ago is the same as the address of enumeration,1546
E01003024,Address one year ago is student term-time or boarding school address in the UK,10
E01003024,Migrant from within the UK: Address one year ago was in the UK,248
E01003024,Migrant from outside the UK: Address one year ago was outside the UK,11
E01003025,Does not apply,16
E01003025,Address one year ago is the same as the address of enumeration,1721
E01003025,Address one year ago is student term-time or boarding school address in the UK,8
E01003025,Migrant from within the UK: Address one year ago was in the UK,272
E01003025,Migrant from outside the UK: Address one year ago was outside the UK,29
E01003026,Does not apply,29
E01003026,Address one year ago is the same as the address of enumeration,1079
E01003026,Address one year ago is student term-time or boarding school address in the UK,19
E01003026,Migrant from within the UK: Address one year ago was in the UK,351
E01003026,Migrant from outside the UK: Address one year ago was outside the UK,26
E01003027,Does not apply,18
E01003027,Address one year ago is the same as the address of enumeration,1113
E01003027,Address one year ago is student term-time or boarding school address in the UK,9
E01003027,Migrant from within the UK: Address one year ago was in the UK,229
E01003027,Migrant from outside the UK: Address one year ago was outside the UK,25
E01003028,Does not apply,21
E01003028,Address one year ago is the same as the address of enumeration,1162
E01003028,Address one year ago is student term-time or boarding school address in the UK,10
E01003028,Migrant from within the UK: Address one year ago was in the UK,273
E01003028,Migrant from outside the UK: Address one year ago was outside the UK,16
E01003029,Does not apply,16
E01003029,Address one year ago is the same as the address of enumeration,1353
E01003029,Address one year ago is student term-time or boarding school address in the UK,16
E01003029,Migrant from within the UK: Address one year ago was in the UK,399
E01003029,Migrant from outside the UK: Address one year ago was outside the UK,43
E01003030,Does not apply,18
E01003030,Address one year ago is the same as the address of enumeration,1136
E01003030,Address one year ago is student term-time or boarding school address in the UK,19
E01003030,Migrant from within the UK: Address one year ago was in the UK,493
E01003030,Migrant from outside the UK: Address one year ago was outside the UK,56
E01003031,Does not apply,14
E01003031,Address one year ago is the same as the address of enumeration,1158
E01003031,Address one year ago is student term-time or boarding school address in the UK,19
E01003031,Migrant from within the UK: Address one year ago was in the UK,352
E01003031,Migrant from outside the UK: Address one year ago was outside the UK,31
E01003032,Does not apply,17
E01003032,Address one year ago is the same as the address of enumeration,1338
E01003032,Address one year ago is student term-time or boarding school address in the UK,17
E01003032,Migrant from within the UK: Address one year ago was in the UK,321
E01003032,Migrant from outside the UK: Address one year ago was outside the UK,28
E01003033,Does not apply,19
E01003033,Address one year ago is the same as the address of enumeration,1324
E01003033,Address one year ago is student term-time or boarding school address in the UK,5
E01003033,Migrant from within the UK: Address one year ago was in the UK,242
E01003033,Migrant from outside the UK: Address one year ago was outside the UK,29
E01003034,Does not apply,12
E01003034,Address one year ago is the same as the address of enumeration,1305
E01003034,Address one year ago is student term-time or boarding school address in the UK,10
E01003034,Migrant from within the UK: Address one year ago was in the UK,291
E01003034,Migrant from outside the UK: Address one year ago was outside the UK,24
E01003035,Does not apply,15
E01003035,Address one year ago is the same as the address of enumeration,1162
E01003035,Address one year ago is student term-time or boarding school address in the UK,19
E01003035,Migrant from within the UK: Address one year ago was in the UK,434
E01003035,Migrant from outside the UK: Address one year ago was outside the UK,57
E01003036,Does not apply,11
E01003036,Address one year ago is the same as the address of enumeration,1311
E01003036,Address one year ago is student term-time or boarding school address in the UK,11
E01003036,Migrant from within the UK: Address one year ago was in the UK,390
E01003036,Migrant from outside the UK: Address one year ago was outside the UK,36
E01003037,Does not apply,5
E01003037,Address one year ago is the same as the address of enumeration,1195
E01003037,Address one year ago is student term-time or boarding school address in the UK,11
E01003037,Migrant from within the UK: Address one year ago was in the UK,214
E01003037,Migrant from outside the UK: Address one year ago was outside the UK,17
E01003038,Does not apply,15
E01003038,Address one year ago is the same as the address of enumeration,1291
E01003038,Address one year ago is student term-time or boarding school address in the UK,10
E01003038,Migrant from within the UK: Address one year ago was in the UK,362
E01003038,Migrant from outside the UK: Address one year ago was outside the UK,24
E01003039,Does not apply,25
E01003039,Address one year ago is the same as the address of enumeration,1465
E01003039,Address one year ago is student term-time or boarding school address in the UK,25
E01003039,Migrant from within the UK: Address one year ago was in the UK,471
E01003039,Migrant from outside the UK: Address one year ago was outside the UK,56
E01003040,Does not apply,14
E01003040,Address one year ago is the same as the address of enumeration,973
E01003040,Address one year ago is student term-time or boarding school address in the UK,4
E01003040,Migrant from within the UK: Address one year ago was in the UK,230
E01003040,Migrant from outside the UK: Address one year ago was outside the UK,21
E01003041,Does not apply,11
E01003041,Address one year ago is the same as the address of enumeration,1212
E01003041,Address one year ago is student term-time or boarding school address in the UK,16
E01003041,Migrant from within the UK: Address one year ago was in the UK,252
E01003041,Migrant from outside the UK: Address one year ago was outside the UK,29
E01003042,Does not apply,4
E01003042,Address one year ago is the same as the address of enumeration,829
E01003042,Address one year ago is student term-time or boarding school address in the UK,12
E01003042,Migrant from within the UK: Address one year ago was in the UK,236
E01003042,Migrant from outside the UK: Address one year ago was outside the UK,28
E01003043,Does not apply,13
E01003043,Address one year ago is the same as the address of enumeration,1291
E01003043,Address one year ago is student term-time or boarding school address in the UK,16
E01003043,Migrant from within the UK: Address one year ago was in the UK,284
E01003043,Migrant from outside the UK: Address one year ago was outside the UK,14
E01003044,Does not apply,17
E01003044,Address one year ago is the same as the address of enumeration,1301
E01003044,Address one year ago is student term-time or boarding school address in the UK,3
E01003044,Migrant from within the UK: Address one year ago was in the UK,84
E01003044,Migrant from outside the UK: Address one year ago was outside the UK,6
E01003045,Does not apply,13
E01003045,Address one year ago is the same as the address of enumeration,1791
E01003045,Address one year ago is student term-time or boarding school address in the UK,7
E01003045,Migrant from within the UK: Address one year ago was in the UK,167
E01003045,Migrant from outside the UK: Address one year ago was outside the UK,13
E01003046,Does not apply,11
E01003046,Address one year ago is the same as the address of enumeration,1456
E01003046,Address one year ago is student term-time or boarding school address in the UK,5
E01003046,Migrant from within the UK: Address one year ago was in the UK,169
E01003046,Migrant from outside the UK: Address one year ago was outside the UK,41
E01003047,Does not apply,13
E01003047,Address one year ago is the same as the address of enumeration,1393
E01003047,Address one year ago is student term-time or boarding school address in the UK,12
E01003047,Migrant from within the UK: Address one year ago was in the UK,335
E01003047,Migrant from outside the UK: Address one year ago was outside the UK,39
E01003048,Does not apply,11
E01003048,Address one year ago is the same as the address of enumeration,1741
E01003048,Address one year ago is student term-time or boarding school address in the UK,8
E01003048,Migrant from within the UK: Address one year ago was in the UK,128
E01003048,Migrant from outside the UK: Address one year ago was outside the UK,26
E01003049,Does not apply,17
E01003049,Address one year ago is the same as the address of enumeration,1470
E01003049,Address one year ago is student term-time or boarding school address in the UK,5
E01003049,Migrant from within the UK: Address one year ago was in the UK,256
E01003049,Migrant from outside the UK: Address one year ago was outside the UK,20
E01003050,Does not apply,7
E01003050,Address one year ago is the same as the address of enumeration,1123
E01003050,Address one year ago is student term-time or boarding school address in the UK,16
E01003050,Migrant from within the UK: Address one year ago was in the UK,426
E01003050,Migrant from outside the UK: Address one year ago was outside the UK,13
E01003051,Does not apply,9
E01003051,Address one year ago is the same as the address of enumeration,1703
E01003051,Address one year ago is student term-time or boarding school address in the UK,23
E01003051,Migrant from within the UK: Address one year ago was in the UK,337
E01003051,Migrant from outside the UK: Address one year ago was outside the UK,27
E01003052,Does not apply,10
E01003052,Address one year ago is the same as the address of enumeration,2012
E01003052,Address one year ago is student term-time or boarding school address in the UK,12
E01003052,Migrant from within the UK: Address one year ago was in the UK,150
E01003052,Migrant from outside the UK: Address one year ago was outside the UK,41
E01003053,Does not apply,9
E01003053,Address one year ago is the same as the address of enumeration,1246
E01003053,Address one year ago is student term-time or boarding school address in the UK,10
E01003053,Migrant from within the UK: Address one year ago was in the UK,390
E01003053,Migrant from outside the UK: Address one year ago was outside the UK,18
E01003054,Does not apply,11
E01003054,Address one year ago is the same as the address of enumeration,1381
E01003054,Address one year ago is student term-time or boarding school address in the UK,30
E01003054,Migrant from within the UK: Address one year ago was in the UK,718
E01003054,Migrant from outside the UK: Address one year ago was outside the UK,52
E01003055,Does not apply,13
E01003055,Address one year ago is the same as the address of enumeration,1255
E01003055,Address one year ago is student term-time or boarding school address in the UK,11
E01003055,Migrant from within the UK: Address one year ago was in the UK,302
E01003055,Migrant from outside the UK: Address one year ago was outside the UK,19
E01003056,Does not apply,8
E01003056,Address one year ago is the same as the address of enumeration,1144
E01003056,Address one year ago is student term-time or boarding school address in the UK,29
E01003056,Migrant from within the UK: Address one year ago was in the UK,504
E01003056,Migrant from outside the UK: Address one year ago was outside the UK,22
E01003057,Does not apply,15
E01003057,Address one year ago is the same as the address of enumeration,1297
E01003057,Address one year ago is student term-time or boarding school address in the UK,23
E01003057,Migrant from within the UK: Address one year ago was in the UK,354
E01003057,Migrant from outside the UK: Address one year ago was outside the UK,16
E01003058,Does not apply,22
E01003058,Address one year ago is the same as the address of enumeration,1385
E01003058,Address one year ago is student term-time or boarding school address in the UK,20
E01003058,Migrant from within the UK: Address one year ago was in the UK,514
E01003058,Migrant from outside the UK: Address one year ago was outside the UK,35
E01003059,Does not apply,10
E01003059,Address one year ago is the same as the address of enumeration,1914
E01003059,Address one year ago is student term-time or boarding school address in the UK,12
E01003059,Migrant from within the UK: Address one year ago was in the UK,258
E01003059,Migrant from outside the UK: Address one year ago was outside the UK,20
E01003060,Does not apply,15
E01003060,Address one year ago is the same as the address of enumeration,1422
E01003060,Address one year ago is student term-time or boarding school address in the UK,8
E01003060,Migrant from within the UK: Address one year ago was in the UK,226
E01003060,Migrant from outside the UK: Address one year ago was outside the UK,25
E01003061,Does not apply,9
E01003061,Address one year ago is the same as the address of enumeration,887
E01003061,Address one year ago is student term-time or boarding school address in the UK,15
E01003061,Migrant from within the UK: Address one year ago was in the UK,396
E01003061,Migrant from outside the UK: Address one year ago was outside the UK,22
E01003062,Does not apply,22
E01003062,Address one year ago is the same as the address of enumeration,1487
E01003062,Address one year ago is student term-time or boarding school address in the UK,7
E01003062,Migrant from within the UK: Address one year ago was in the UK,291
E01003062,Migrant from outside the UK: Address one year ago was outside the UK,27
E01003063,Does not apply,14
E01003063,Address one year ago is the same as the address of enumeration,1203
E01003063,Address one year ago is student term-time or boarding school address in the UK,5
E01003063,Migrant from within the UK: Address one year ago was in the UK,133
E01003063,Migrant from outside the UK: Address one year ago was outside the UK,6
E01003064,Does not apply,24
E01003064,Address one year ago is the same as the address of enumeration,1252
E01003064,Address one year ago is student term-time or boarding school address in the UK,2
E01003064,Migrant from within the UK: Address one year ago was in the UK,166
E01003064,Migrant from outside the UK: Address one year ago was outside the UK,18
E01003065,Does not apply,34
E01003065,Address one year ago is the same as the address of enumeration,1521
E01003065,Address one year ago is student term-time or boarding school address in the UK,2
E01003065,Migrant from within the UK: Address one year ago was in the UK,103
E01003065,Migrant from outside the UK: Address one year ago was outside the UK,12
E01003066,Does not apply,29
E01003066,Address one year ago is the same as the address of enumeration,1646
E01003066,Address one year ago is student term-time or boarding school address in the UK,3
E01003066,Migrant from within the UK: Address one year ago was in the UK,202
E01003066,Migrant from outside the UK: Address one year ago was outside the UK,7
E01003067,Does not apply,25
E01003067,Address one year ago is the same as the address of enumeration,1319
E01003067,Address one year ago is student term-time or boarding school address in the UK,3
E01003067,Migrant from within the UK: Address one year ago was in the UK,181
E01003067,Migrant from outside the UK: Address one year ago was outside the UK,26
E01003068,Does not apply,14
E01003068,Address one year ago is the same as the address of enumeration,1408
E01003068,Address one year ago is student term-time or boarding school address in the UK,2
E01003068,Migrant from within the UK: Address one year ago was in the UK,133
E01003068,Migrant from outside the UK: Address one year ago was outside the UK,19
E01003069,Does not apply,14
E01003069,Address one year ago is the same as the address of enumeration,1245
E01003069,Address one year ago is student term-time or boarding school address in the UK,4
E01003069,Migrant from within the UK: Address one year ago was in the UK,99
E01003069,Migrant from outside the UK: Address one year ago was outside the UK,6
E01003070,Does not apply,12
E01003070,Address one year ago is the same as the address of enumeration,1376
E01003070,Address one year ago is student term-time or boarding school address in the UK,2
E01003070,Migrant from within the UK: Address one year ago was in the UK,145
E01003070,Migrant from outside the UK: Address one year ago was outside the UK,12
E01003071,Does not apply,18
E01003071,Address one year ago is the same as the address of enumeration,1854
E01003071,Address one year ago is student term-time or boarding school address in the UK,12
E01003071,Migrant from within the UK: Address one year ago was in the UK,392
E01003071,Migrant from outside the UK: Address one year ago was outside the UK,48
E01003072,Does not apply,11
E01003072,Address one year ago is the same as the address of enumeration,1513
E01003072,Address one year ago is student term-time or boarding school address in the UK,8
E01003072,Migrant from within the UK: Address one year ago was in the UK,191
E01003072,Migrant from outside the UK: Address one year ago was outside the UK,12
E01003073,Does not apply,13
E01003073,Address one year ago is the same as the address of enumeration,1364
E01003073,Address one year ago is student term-time or boarding school address in the UK,6
E01003073,Migrant from within the UK: Address one year ago was in the UK,206
E01003073,Migrant from outside the UK: Address one year ago was outside the UK,11
E01003074,Does not apply,29
E01003074,Address one year ago is the same as the address of enumeration,1939
E01003074,Address one year ago is student term-time or boarding school address in the UK,13
E01003074,Migrant from within the UK: Address one year ago was in the UK,360
E01003074,Migrant from outside the UK: Address one year ago was outside the UK,18
E01003075,Does not apply,16
E01003075,Address one year ago is the same as the address of enumeration,1534
E01003075,Address one year ago is student term-time or boarding school address in the UK,15
E01003075,Migrant from within the UK: Address one year ago was in the UK,126
E01003075,Migrant from outside the UK: Address one year ago was outside the UK,26
E01003076,Does not apply,62
E01003076,Address one year ago is the same as the address of enumeration,2201
E01003076,Address one year ago is student term-time or boarding school address in the UK,11
E01003076,Migrant from within the UK: Address one year ago was in the UK,370
E01003076,Migrant from outside the UK: Address one year ago was outside the UK,57
E01003077,Does not apply,24
E01003077,Address one year ago is the same as the address of enumeration,1404
E01003077,Address one year ago is student term-time or boarding school address in the UK,26
E01003077,Migrant from within the UK: Address one year ago was in the UK,369
E01003077,Migrant from outside the UK: Address one year ago was outside the UK,37
E01003078,Does not apply,19
E01003078,Address one year ago is the same as the address of enumeration,1459
E01003078,Address one year ago is student term-time or boarding school address in the UK,7
E01003078,Migrant from within the UK: Address one year ago was in the UK,132
E01003078,Migrant from outside the UK: Address one year ago was outside the UK,10
E01003079,Does not apply,22
E01003079,Address one year ago is the same as the address of enumeration,1434
E01003079,Address one year ago is student term-time or boarding school address in the UK,5
E01003079,Migrant from within the UK: Address one year ago was in the UK,202
