Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01000287,Over 30 no qualifications,256
E01000288,Over 30 no qualifications,150
E01000289,Over 30 no qualifications,285
E01000290,Over 30 no qualifications,299
E01000291,Over 30 no qualifications,222
E01000292,Over 30 no qualifications,163
E01000293,Over 30 no qualifications,118
E01000294,Over 30 no qualifications,179
E01000295,Over 30 no qualifications,137
E01000296,Over 30 no qualifications,124
E01000297,Over 30 no qualifications,169
E01000298,Over 30 no qualifications,133
E01000299,Over 30 no qualifications,286
E01000300,Over 30 no qualifications,117
E01000301,Over 30 no qualifications,90
E01000302,Over 30 no qualifications,214
E01000303,Over 30 no qualifications,112
E01000304,Over 30 no qualifications,150
E01000305,Over 30 no qualifications,239
E01000306,Over 30 no qualifications,395
E01000307,Over 30 no qualifications,275
E01000308,Over 30 no qualifications,229
E01000309,Over 30 no qualifications,234
E01000310,Over 30 no qualifications,291
E01000311,Over 30 no qualifications,110
E01000312,Over 30 no qualifications,310
E01000313,Over 30 no qualifications,291
E01000314,Over 30 no qualifications,194
E01000315,Over 30 no qualifications,277
E01000316,Over 30 no qualifications,246
E01000317,Over 30 no qualifications,179
E01000318,Over 30 no qualifications,252
E01000319,Over 30 no qualifications,109
E01000320,Over 30 no qualifications,193
E01000321,Over 30 no qualifications,249
E01000322,Over 30 no qualifications,190
E01000323,Over 30 no qualifications,379
E01000324,Over 30 no qualifications,218
E01000325,Over 30 no qualifications,162
E01000326,Over 30 no qualifications,151
E01000327,Over 30 no qualifications,200
E01000328,Over 30 no qualifications,207
E01000329,Over 30 no qualifications,184
E01000330,Over 30 no qualifications,292
E01000331,Over 30 no qualifications,236
E01000332,Over 30 no qualifications,242
E01000333,Over 30 no qualifications,298
E01000334,Over 30 no qualifications,257
E01000335,Over 30 no qualifications,316
E01000336,Over 30 no qualifications,272
E01000337,Over 30 no qualifications,201
E01000338,Over 30 no qualifications,199
E01000339,Over 30 no qualifications,194
E01000340,Over 30 no qualifications,215
E01000341,Over 30 no qualifications,243
E01000342,Over 30 no qualifications,200
E01000343,Over 30 no qualifications,189
E01000344,Over 30 no qualifications,173
E01000345,Over 30 no qualifications,161
E01000346,Over 30 no qualifications,218
E01000347,Over 30 no qualifications,234
E01000348,Over 30 no qualifications,129
E01000349,Over 30 no qualifications,189
E01000350,Over 30 no qualifications,141
E01000351,Over 30 no qualifications,204
E01000352,Over 30 no qualifications,240
E01000353,Over 30 no qualifications,261
E01000354,Over 30 no qualifications,205
E01000355,Over 30 no qualifications,246
E01000356,Over 30 no qualifications,254
E01000357,Over 30 no qualifications,138
E01000358,Over 30 no qualifications,208
E01000359,Over 30 no qualifications,154
E01000360,Over 30 no qualifications,254
E01000361,Over 30 no qualifications,194
E01000362,Over 30 no qualifications,219
E01000363,Over 30 no qualifications,175
E01000364,Over 30 no qualifications,184
E01000365,Over 30 no qualifications,251
E01000366,Over 30 no qualifications,182
E01000367,Over 30 no qualifications,309
E01000368,Over 30 no qualifications,238
E01000369,Over 30 no qualifications,261
E01000370,Over 30 no qualifications,217
E01000371,Over 30 no qualifications,179
E01000372,Over 30 no qualifications,252
E01000373,Over 30 no qualifications,102
E01000374,Over 30 no qualifications,239
E01000375,Over 30 no qualifications,197
E01000376,Over 30 no qualifications,184
E01000377,Over 30 no qualifications,172
E01000379,Over 30 no qualifications,198
E01000380,Over 30 no qualifications,331
E01000381,Over 30 no qualifications,256
E01000382,Over 30 no qualifications,182
E01000383,Over 30 no qualifications,237
E01000384,Over 30 no qualifications,200
E01000385,Over 30 no qualifications,272
E01000386,Over 30 no qualifications,257
E01000387,Over 30 no qualifications,205
E01000388,Over 30 no qualifications,231
E01000389,Over 30 no qualifications,213
E01000390,Over 30 no qualifications,173
E01000391,Over 30 no qualifications,226
E01000392,Over 30 no qualifications,244
E01000393,Over 30 no qualifications,191
E01000394,Over 30 no qualifications,202
E01000395,Over 30 no qualifications,192
E01000396,Over 30 no qualifications,197
E01000398,Over 30 no qualifications,267
E01000399,Over 30 no qualifications,227
E01000400,Over 30 no qualifications,241
E01000401,Over 30 no qualifications,378
E01000402,Over 30 no qualifications,247
E01000403,Over 30 no qualifications,393
E01000404,Over 30 no qualifications,213
E01000405,Over 30 no qualifications,157
E01000406,Over 30 no qualifications,221
E01000407,Over 30 no qualifications,276
E01000408,Over 30 no qualifications,227
E01000409,Over 30 no qualifications,229
E01000410,Over 30 no qualifications,179
E01000411,Over 30 no qualifications,208
E01000412,Over 30 no qualifications,179
E01000413,Over 30 no qualifications,194
E01000414,Over 30 no qualifications,270
E01000415,Over 30 no qualifications,163
E01000416,Over 30 no qualifications,245
E01000417,Over 30 no qualifications,221
E01000418,Over 30 no qualifications,231
E01000419,Over 30 no qualifications,267
E01000420,Over 30 no qualifications,233
E01000421,Over 30 no qualifications,251
E01000422,Over 30 no qualifications,161
E01000423,Over 30 no qualifications,165
E01000424,Over 30 no qualifications,179
E01000425,Over 30 no qualifications,230
E01000426,Over 30 no qualifications,154
E01000427,Over 30 no qualifications,274
E01000428,Over 30 no qualifications,289
E01000429,Over 30 no qualifications,223
E01000430,Over 30 no qualifications,218
E01000431,Over 30 no qualifications,167
E01000433,Over 30 no qualifications,305
E01000434,Over 30 no qualifications,269
E01000435,Over 30 no qualifications,221
E01000436,Over 30 no qualifications,226
E01000437,Over 30 no qualifications,196
E01000438,Over 30 no qualifications,200
E01000439,Over 30 no qualifications,201
E01000440,Over 30 no qualifications,207
E01000441,Over 30 no qualifications,243
E01000442,Over 30 no qualifications,243
E01000443,Over 30 no qualifications,182
E01000444,Over 30 no qualifications,149
E01000445,Over 30 no qualifications,189
E01000446,Over 30 no qualifications,134
E01000447,Over 30 no qualifications,191
E01000448,Over 30 no qualifications,142
E01000449,Over 30 no qualifications,164
E01000450,Over 30 no qualifications,208
E01000451,Over 30 no qualifications,229
E01000452,Over 30 no qualifications,168
E01000453,Over 30 no qualifications,169
E01000454,Over 30 no qualifications,238
E01000455,Over 30 no qualifications,240
E01000456,Over 30 no qualifications,165
