Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01002577,Over 30 no qualifications,125
E01002578,Over 30 no qualifications,91
E01002579,Over 30 no qualifications,104
E01002580,Over 30 no qualifications,129
E01002581,Over 30 no qualifications,83
E01002582,Over 30 no qualifications,64
E01002583,Over 30 no qualifications,287
E01002584,Over 30 no qualifications,426
E01002585,Over 30 no qualifications,330
E01002586,Over 30 no qualifications,297
E01002587,Over 30 no qualifications,438
E01002588,Over 30 no qualifications,320
E01002589,Over 30 no qualifications,390
E01002590,Over 30 no qualifications,463
E01002591,Over 30 no qualifications,343
E01002592,Over 30 no qualifications,382
E01002593,Over 30 no qualifications,443
E01002594,Over 30 no qualifications,383
E01002595,Over 30 no qualifications,459
E01002596,Over 30 no qualifications,183
E01002598,Over 30 no qualifications,328
E01002599,Over 30 no qualifications,275
E01002600,Over 30 no qualifications,285
E01002601,Over 30 no qualifications,193
E01002602,Over 30 no qualifications,204
E01002603,Over 30 no qualifications,288
E01002604,Over 30 no qualifications,266
E01002605,Over 30 no qualifications,365
E01002606,Over 30 no qualifications,297
E01002607,Over 30 no qualifications,320
E01002608,Over 30 no qualifications,290
E01002609,Over 30 no qualifications,243
E01002610,Over 30 no qualifications,300
E01002611,Over 30 no qualifications,291
E01002612,Over 30 no qualifications,264
E01002613,Over 30 no qualifications,290
E01002614,Over 30 no qualifications,271
E01002615,Over 30 no qualifications,304
E01002616,Over 30 no qualifications,248
E01002617,Over 30 no qualifications,195
E01002618,Over 30 no qualifications,299
E01002619,Over 30 no qualifications,344
E01002620,Over 30 no qualifications,348
E01002621,Over 30 no qualifications,315
E01002622,Over 30 no qualifications,258
E01002623,Over 30 no qualifications,345
E01002624,Over 30 no qualifications,229
E01002625,Over 30 no qualifications,320
E01002626,Over 30 no qualifications,268
E01002627,Over 30 no qualifications,286
E01002628,Over 30 no qualifications,294
E01002629,Over 30 no qualifications,317
E01002630,Over 30 no qualifications,240
E01002631,Over 30 no qualifications,323
E01002632,Over 30 no qualifications,360
E01002633,Over 30 no qualifications,344
E01002634,Over 30 no qualifications,298
E01002635,Over 30 no qualifications,302
E01002636,Over 30 no qualifications,365
E01002637,Over 30 no qualifications,428
E01002638,Over 30 no qualifications,366
E01002639,Over 30 no qualifications,253
E01002640,Over 30 no qualifications,294
E01002641,Over 30 no qualifications,340
E01002643,Over 30 no qualifications,374
E01002645,Over 30 no qualifications,347
E01002646,Over 30 no qualifications,350
E01002647,Over 30 no qualifications,303
E01002649,Over 30 no qualifications,251
E01002650,Over 30 no qualifications,275
E01002651,Over 30 no qualifications,318
E01002652,Over 30 no qualifications,274
E01002653,Over 30 no qualifications,232
E01002654,Over 30 no qualifications,278
E01002655,Over 30 no qualifications,248
E01002656,Over 30 no qualifications,152
E01002657,Over 30 no qualifications,208
E01002658,Over 30 no qualifications,95
E01002659,Over 30 no qualifications,196
E01002660,Over 30 no qualifications,321
E01002661,Over 30 no qualifications,349
E01002662,Over 30 no qualifications,352
E01002663,Over 30 no qualifications,363
E01002665,Over 30 no qualifications,301
E01002666,Over 30 no qualifications,290
E01002667,Over 30 no qualifications,209
E01002668,Over 30 no qualifications,198
E01002669,Over 30 no qualifications,297
E01002670,Over 30 no qualifications,210
E01002671,Over 30 no qualifications,184
E01002672,Over 30 no qualifications,200
E01002673,Over 30 no qualifications,259
E01002674,Over 30 no qualifications,156
E01002675,Over 30 no qualifications,187
E01002676,Over 30 no qualifications,135
E01002677,Over 30 no qualifications,173
E01002678,Over 30 no qualifications,188
E01002679,Over 30 no qualifications,189
E01002680,Over 30 no qualifications,212
E01002681,Over 30 no qualifications,254
E01002682,Over 30 no qualifications,272
E01002686,Over 30 no qualifications,316
E01002687,Over 30 no qualifications,90
E01002689,Over 30 no qualifications,135
E01002690,Over 30 no qualifications,66
E01002691,Over 30 no qualifications,110
E01002692,Over 30 no qualifications,147
E01002693,Over 30 no qualifications,141
E01002694,Over 30 no qualifications,257
E01002695,Over 30 no qualifications,187
E01002696,Over 30 no qualifications,145
E01002697,Over 30 no qualifications,297
E01002698,Over 30 no qualifications,132
E01002699,Over 30 no qualifications,139
E01002700,Over 30 no qualifications,86
E01002701,Over 30 no qualifications,240
E01002702,Over 30 no qualifications,300
E01002703,Over 30 no qualifications,234
E01002704,Over 30 no qualifications,197
E01002706,Over 30 no qualifications,216
E01002707,Over 30 no qualifications,243
E01002708,Over 30 no qualifications,255
E01002709,Over 30 no qualifications,262
E01002710,Over 30 no qualifications,205
E01002711,Over 30 no qualifications,155
E01002712,Over 30 no qualifications,141
E01002713,Over 30 no qualifications,447
E01002714,Over 30 no qualifications,75
E01002715,Over 30 no qualifications,229
E01002716,Over 30 no qualifications,320
E01002717,Over 30 no qualifications,118
E01002718,Over 30 no qualifications,81
E01002719,Over 30 no qualifications,112
E01002720,Over 30 no qualifications,310
E01002721,Over 30 no qualifications,188
E01002722,Over 30 no qualifications,191
E01002723,Over 30 no qualifications,201
E01002724,Over 30 no qualifications,115
E01002725,Over 30 no qualifications,161
E01002726,Over 30 no qualifications,151
E01002727,Over 30 no qualifications,149
E01002728,Over 30 no qualifications,113
E01002729,Over 30 no qualifications,155
E01002730,Over 30 no qualifications,176
E01002732,Over 30 no qualifications,283
E01002733,Over 30 no qualifications,105
E01002734,Over 30 no qualifications,289
E01002735,Over 30 no qualifications,192
E01002736,Over 30 no qualifications,291
E01002737,Over 30 no qualifications,299
E01002738,Over 30 no qualifications,157
E01002739,Over 30 no qualifications,123
E01002740,Over 30 no qualifications,95
E01002741,Over 30 no qualifications,231
E01002742,Over 30 no qualifications,127
E01002743,Over 30 no qualifications,99
E01002744,Over 30 no qualifications,117
E01002745,Over 30 no qualifications,133
E01002747,Over 30 no qualifications,119
E01002748,Over 30 no qualifications,184
E01002749,Over 30 no qualifications,134
E01002751,Over 30 no qualifications,244
E01002752,Over 30 no qualifications,159
E01002753,Over 30 no qualifications,214
E01002754,Over 30 no qualifications,95
E01002755,Over 30 no qualifications,182
E01002756,Over 30 no qualifications,123
E01002757,Over 30 no qualifications,144
E01002758,Over 30 no qualifications,228
E01002759,Over 30 no qualifications,171
E01002760,Over 30 no qualifications,222
E01002762,Over 30 no qualifications,149
E01002763,Over 30 no qualifications,145
E01002764,Over 30 no qualifications,242
E01002765,Over 30 no qualifications,335
E01002766,Over 30 no qualifications,290
E01002767,Over 30 no qualifications,252
E01002768,Over 30 no qualifications,179
E01002769,Over 30 no qualifications,182
E01002770,Over 30 no qualifications,148
E01002771,Over 30 no qualifications,133
E01002772,Over 30 no qualifications,176
E01002773,Over 30 no qualifications,282
E01002774,Over 30 no qualifications,194
E01002775,Over 30 no qualifications,95
E01002776,Over 30 no qualifications,162
E01002777,Over 30 no qualifications,178
E01002778,Over 30 no qualifications,271
E01002779,Over 30 no qualifications,117
E01002780,Over 30 no qualifications,226
E01002781,Over 30 no qualifications,171
E01002782,Over 30 no qualifications,209
E01002783,Over 30 no qualifications,257
E01002784,Over 30 no qualifications,247
E01002785,Over 30 no qualifications,119
E01002786,Over 30 no qualifications,249
E01002787,Over 30 no qualifications,163
E01002788,Over 30 no qualifications,125
E01002789,Over 30 no qualifications,106
E01002790,Over 30 no qualifications,222
E01002791,Over 30 no qualifications,122
E01002792,Over 30 no qualifications,110
E01002793,Over 30 no qualifications,217
E01002794,Over 30 no qualifications,137
E01002795,Over 30 no qualifications,172
E01002796,Over 30 no qualifications,140
E01002797,Over 30 no qualifications,232
E01002798,Over 30 no qualifications,143
E01002799,Over 30 no qualifications,250
E01002800,Over 30 no qualifications,226
E01002801,Over 30 no qualifications,94
E01002802,Over 30 no qualifications,146
E01002804,Over 30 no qualifications,175
E01002805,Over 30 no qualifications,114
E01002806,Over 30 no qualifications,149
E01002807,Over 30 no qualifications,213
E01002808,Over 30 no qualifications,209
E01002809,Over 30 no qualifications,184
E01002810,Over 30 no qualifications,215
E01002811,Over 30 no qualifications,223
E01002812,Over 30 no qualifications,119
E01002813,Over 30 no qualifications,56
E01002814,Over 30 no qualifications,178
E01002815,Over 30 no qualifications,61
E01002816,Over 30 no qualifications,46
E01002817,Over 30 no qualifications,65
E01002818,Over 30 no qualifications,111
E01002819,Over 30 no qualifications,54
E01002821,Over 30 no qualifications,54
E01002823,Over 30 no qualifications,154
E01002824,Over 30 no qualifications,64
E01002825,Over 30 no qualifications,53
E01002826,Over 30 no qualifications,71
E01002827,Over 30 no qualifications,61
E01002828,Over 30 no qualifications,56
E01002829,Over 30 no qualifications,150
E01002830,Over 30 no qualifications,293
E01002831,Over 30 no qualifications,184
E01002832,Over 30 no qualifications,165
E01002833,Over 30 no qualifications,62
E01002834,Over 30 no qualifications,74
E01002835,Over 30 no qualifications,53
E01002836,Over 30 no qualifications,39
E01002837,Over 30 no qualifications,46
E01002839,Over 30 no qualifications,162
E01002840,Over 30 no qualifications,156
E01002841,Over 30 no qualifications,105
E01002842,Over 30 no qualifications,196
E01002843,Over 30 no qualifications,188
E01002844,Over 30 no qualifications,82
E01002845,Over 30 no qualifications,87
E01002846,Over 30 no qualifications,95
E01002847,Over 30 no qualifications,84
E01002848,Over 30 no qualifications,104
E01002849,Over 30 no qualifications,71
E01002850,Over 30 no qualifications,91
E01002851,Over 30 no qualifications,179
E01002852,Over 30 no qualifications,269
E01002853,Over 30 no qualifications,233
E01002854,Over 30 no qualifications,174
E01002855,Over 30 no qualifications,289
E01002856,Over 30 no qualifications,165
E01002857,Over 30 no qualifications,251
E01002858,Over 30 no qualifications,146
E01002859,Over 30 no qualifications,106
E01002860,Over 30 no qualifications,56
E01002861,Over 30 no qualifications,87
E01002862,Over 30 no qualifications,152
E01002863,Over 30 no qualifications,70
E01002864,Over 30 no qualifications,61
E01002865,Over 30 no qualifications,59
E01002866,Over 30 no qualifications,150
E01002867,Over 30 no qualifications,135
E01002868,Over 30 no qualifications,47
E01002869,Over 30 no qualifications,133
E01002870,Over 30 no qualifications,264
E01002871,Over 30 no qualifications,58
E01002872,Over 30 no qualifications,217
E01002873,Over 30 no qualifications,117
E01002874,Over 30 no qualifications,94
E01002875,Over 30 no qualifications,57
E01002876,Over 30 no qualifications,164
E01002877,Over 30 no qualifications,262
E01002878,Over 30 no qualifications,147
E01002879,Over 30 no qualifications,333
E01002880,Over 30 no qualifications,186
E01002881,Over 30 no qualifications,227
E01002882,Over 30 no qualifications,67
E01002883,Over 30 no qualifications,46
E01002884,Over 30 no qualifications,96
E01002885,Over 30 no qualifications,60
E01002886,Over 30 no qualifications,63
E01002887,Over 30 no qualifications,41
E01002888,Over 30 no qualifications,56
E01002889,Over 30 no qualifications,136
E01002890,Over 30 no qualifications,55
E01002891,Over 30 no qualifications,68
E01002892,Over 30 no qualifications,52
E01002893,Over 30 no qualifications,122
E01002894,Over 30 no qualifications,53
E01002896,Over 30 no qualifications,59
E01002897,Over 30 no qualifications,89
E01002898,Over 30 no qualifications,104
E01002899,Over 30 no qualifications,125
E01002900,Over 30 no qualifications,140
E01002901,Over 30 no qualifications,118
E01002902,Over 30 no qualifications,91
E01002903,Over 30 no qualifications,40
E01002904,Over 30 no qualifications,225
E01002905,Over 30 no qualifications,230
E01002906,Over 30 no qualifications,331
E01002907,Over 30 no qualifications,235
E01002908,Over 30 no qualifications,158
E01002909,Over 30 no qualifications,219
E01002910,Over 30 no qualifications,144
E01002911,Over 30 no qualifications,61
E01002912,Over 30 no qualifications,90
E01002913,Over 30 no qualifications,115
E01002914,Over 30 no qualifications,81
E01002915,Over 30 no qualifications,147
E01002916,Over 30 no qualifications,111
E01002917,Over 30 no qualifications,118
E01002918,Over 30 no qualifications,179
E01002919,Over 30 no qualifications,237
E01002920,Over 30 no qualifications,97
E01002921,Over 30 no qualifications,142
E01002922,Over 30 no qualifications,89
E01002923,Over 30 no qualifications,248
E01002924,Over 30 no qualifications,76
E01002925,Over 30 no qualifications,109
E01002926,Over 30 no qualifications,72
E01002927,Over 30 no qualifications,168
E01002928,Over 30 no qualifications,256
E01002929,Over 30 no qualifications,95
E01002930,Over 30 no qualifications,179
E01002931,Over 30 no qualifications,124
E01002932,Over 30 no qualifications,248
E01002933,Over 30 no qualifications,168
E01002934,Over 30 no qualifications,54
E01002935,Over 30 no qualifications,71
E01002937,Over 30 no qualifications,78
E01002938,Over 30 no qualifications,95
E01002939,Over 30 no qualifications,206
E01002940,Over 30 no qualifications,272
E01002941,Over 30 no qualifications,183
E01002942,Over 30 no qualifications,168
E01002943,Over 30 no qualifications,240
E01002944,Over 30 no qualifications,158
E01002945,Over 30 no qualifications,156
E01002946,Over 30 no qualifications,158
E01002947,Over 30 no qualifications,164
E01002948,Over 30 no qualifications,243
E01002949,Over 30 no qualifications,192
E01002950,Over 30 no qualifications,232
E01002951,Over 30 no qualifications,52
E01002952,Over 30 no qualifications,90
E01002953,Over 30 no qualifications,84
E01002954,Over 30 no qualifications,119
E01002955,Over 30 no qualifications,115
E01002956,Over 30 no qualifications,135
E01002957,Over 30 no qualifications,163
E01002958,Over 30 no qualifications,105
E01002959,Over 30 no qualifications,48
E01002960,Over 30 no qualifications,78
E01002961,Over 30 no qualifications,83
E01002962,Over 30 no qualifications,186
E01002963,Over 30 no qualifications,164
E01002964,Over 30 no qualifications,206
E01002965,Over 30 no qualifications,144
E01002966,Over 30 no qualifications,104
E01002967,Over 30 no qualifications,80
E01002968,Over 30 no qualifications,114
E01002969,Over 30 no qualifications,257
E01002970,Over 30 no qualifications,235
E01002971,Over 30 no qualifications,124
E01002972,Over 30 no qualifications,178
E01002973,Over 30 no qualifications,212
E01002974,Over 30 no qualifications,162
E01002975,Over 30 no qualifications,138
E01002976,Over 30 no qualifications,167
E01002977,Over 30 no qualifications,212
E01002978,Over 30 no qualifications,163
E01002979,Over 30 no qualifications,144
E01002980,Over 30 no qualifications,132
E01002981,Over 30 no qualifications,134
E01002982,Over 30 no qualifications,190
E01002983,Over 30 no qualifications,141
E01002984,Over 30 no qualifications,181
E01002985,Over 30 no qualifications,182
E01002986,Over 30 no qualifications,144
E01002987,Over 30 no qualifications,163
E01002988,Over 30 no qualifications,53
E01002989,Over 30 no qualifications,57
E01002990,Over 30 no qualifications,97
E01002991,Over 30 no qualifications,73
E01002992,Over 30 no qualifications,77
E01002993,Over 30 no qualifications,90
E01002994,Over 30 no qualifications,122
E01002995,Over 30 no qualifications,76
E01002996,Over 30 no qualifications,103
E01002997,Over 30 no qualifications,88
E01002998,Over 30 no qualifications,138
E01002999,Over 30 no qualifications,85
E01003000,Over 30 no qualifications,209
E01003001,Over 30 no qualifications,200
E01003002,Over 30 no qualifications,201
E01003003,Over 30 no qualifications,212
E01003004,Over 30 no qualifications,163
E01003005,Over 30 no qualifications,164
E01003006,Over 30 no qualifications,94
E01003007,Over 30 no qualifications,88
E01003008,Over 30 no qualifications,68
E01003009,Over 30 no qualifications,117
E01003010,Over 30 no qualifications,78
E01003011,Over 30 no qualifications,86
E01003013,Over 30 no qualifications,61
E01003014,Over 30 no qualifications,217
E01003015,Over 30 no qualifications,220
E01003016,Over 30 no qualifications,76
E01003017,Over 30 no qualifications,224
E01003018,Over 30 no qualifications,130
E01003019,Over 30 no qualifications,122
E01003020,Over 30 no qualifications,131
E01003021,Over 30 no qualifications,309
E01003022,Over 30 no qualifications,116
E01003023,Over 30 no qualifications,211
E01003024,Over 30 no qualifications,201
E01003025,Over 30 no qualifications,189
E01003026,Over 30 no qualifications,95
E01003027,Over 30 no qualifications,26
E01003028,Over 30 no qualifications,84
E01003029,Over 30 no qualifications,107
E01003030,Over 30 no qualifications,56
E01003031,Over 30 no qualifications,102
E01003032,Over 30 no qualifications,181
E01003033,Over 30 no qualifications,100
E01003034,Over 30 no qualifications,137
E01003035,Over 30 no qualifications,130
E01003036,Over 30 no qualifications,150
E01003037,Over 30 no qualifications,209
E01003038,Over 30 no qualifications,85
E01003039,Over 30 no qualifications,59
E01003040,Over 30 no qualifications,58
E01003041,Over 30 no qualifications,200
E01003042,Over 30 no qualifications,109
E01003043,Over 30 no qualifications,125
E01003044,Over 30 no qualifications,141
E01003045,Over 30 no qualifications,265
E01003046,Over 30 no qualifications,221
E01003047,Over 30 no qualifications,186
E01003048,Over 30 no qualifications,272
E01003049,Over 30 no qualifications,207
E01003050,Over 30 no qualifications,113
E01003051,Over 30 no qualifications,188
E01003052,Over 30 no qualifications,269
E01003053,Over 30 no qualifications,125
E01003054,Over 30 no qualifications,100
E01003055,Over 30 no qualifications,173
E01003056,Over 30 no qualifications,114
E01003057,Over 30 no qualifications,191
E01003058,Over 30 no qualifications,174
E01003059,Over 30 no qualifications,353
E01003060,Over 30 no qualifications,231
E01003061,Over 30 no qualifications,162
E01003062,Over 30 no qualifications,117
E01003063,Over 30 no qualifications,194
E01003064,Over 30 no qualifications,70
E01003065,Over 30 no qualifications,173
E01003066,Over 30 no qualifications,240
E01003067,Over 30 no qualifications,122
E01003068,Over 30 no qualifications,151
E01003069,Over 30 no qualifications,140
E01003070,Over 30 no qualifications,222
E01003071,Over 30 no qualifications,113
E01003072,Over 30 no qualifications,137
E01003073,Over 30 no qualifications,161
E01003074,Over 30 no qualifications,141
E01003075,Over 30 no qualifications,255
E01003076,Over 30 no qualifications,179
E01003077,Over 30 no qualifications,150
E01003078,Over 30 no qualifications,103
E01003079,Over 30 no qualifications,178
E01003080,Over 30 no qualifications,106
E01003081,Over 30 no qualifications,167
E01003082,Over 30 no qualifications,146
E01003083,Over 30 no qualifications,161
E01003084,Over 30 no qualifications,108
E01003085,Over 30 no qualifications,145
E01003086,Over 30 no qualifications,238
E01003087,Over 30 no qualifications,240
E01003088,Over 30 no qualifications,162
E01003089,Over 30 no qualifications,231
E01003090,Over 30 no qualifications,162
E01003091,Over 30 no qualifications,163
E01003092,Over 30 no qualifications,272
E01003093,Over 30 no qualifications,309
E01003094,Over 30 no qualifications,147
E01003095,Over 30 no qualifications,98
E01003096,Over 30 no qualifications,141
E01003097,Over 30 no qualifications,251
E01003098,Over 30 no qualifications,125
E01003099,Over 30 no qualifications,161
E01003100,Over 30 no qualifications,96
E01003101,Over 30 no qualifications,162
E01003102,Over 30 no qualifications,131
E01003104,Over 30 no qualifications,171
E01003105,Over 30 no qualifications,231
E01003106,Over 30 no qualifications,177
E01003107,Over 30 no qualifications,124
E01003108,Over 30 no qualifications,185
E01003110,Over 30 no qualifications,165
E01003111,Over 30 no qualifications,304
E01003112,Over 30 no qualifications,213
E01003113,Over 30 no qualifications,171
E01003114,Over 30 no qualifications,167
E01003115,Over 30 no qualifications,166
E01003116,Over 30 no qualifications,159
E01003117,Over 30 no qualifications,176
E01003118,Over 30 no qualifications,170
E01003119,Over 30 no qualifications,269
E01003120,Over 30 no qualifications,277
E01003121,Over 30 no qualifications,236
E01003122,Over 30 no qualifications,162
E01003123,Over 30 no qualifications,155
E01003124,Over 30 no qualifications,190
E01003125,Over 30 no qualifications,285
E01003126,Over 30 no qualifications,224
E01003127,Over 30 no qualifications,163
E01003128,Over 30 no qualifications,249
E01003129,Over 30 no qualifications,178
E01003130,Over 30 no qualifications,151
E01003131,Over 30 no qualifications,137
E01003132,Over 30 no qualifications,225
E01003133,Over 30 no qualifications,121
E01003134,Over 30 no qualifications,123
E01003135,Over 30 no qualifications,207
E01003136,Over 30 no qualifications,155
E01003137,Over 30 no qualifications,184
E01003138,Over 30 no qualifications,60
E01003139,Over 30 no qualifications,189
E01003140,Over 30 no qualifications,183
E01003141,Over 30 no qualifications,207
E01003142,Over 30 no qualifications,171
E01003143,Over 30 no qualifications,222
E01003144,Over 30 no qualifications,150
E01003145,Over 30 no qualifications,202
E01003146,Over 30 no qualifications,175
E01003147,Over 30 no qualifications,281
E01003148,Over 30 no qualifications,147
E01003149,Over 30 no qualifications,178
E01003150,Over 30 no qualifications,256
E01003151,Over 30 no qualifications,243
E01003152,Over 30 no qualifications,132
E01003153,Over 30 no qualifications,178
E01003154,Over 30 no qualifications,180
E01003155,Over 30 no qualifications,192
E01003156,Over 30 no qualifications,123
E01003157,Over 30 no qualifications,71
E01003158,Over 30 no qualifications,62
E01003159,Over 30 no qualifications,208
E01003160,Over 30 no qualifications,158
E01003161,Over 30 no qualifications,88
E01003162,Over 30 no qualifications,293
E01003163,Over 30 no qualifications,131
E01003164,Over 30 no qualifications,243
E01003165,Over 30 no qualifications,152
E01003166,Over 30 no qualifications,264
E01003167,Over 30 no qualifications,81
E01003168,Over 30 no qualifications,246
E01003169,Over 30 no qualifications,141
E01003170,Over 30 no qualifications,81
E01003171,Over 30 no qualifications,123
E01003172,Over 30 no qualifications,187
E01003173,Over 30 no qualifications,140
E01003174,Over 30 no qualifications,258
E01003175,Over 30 no qualifications,180
E01003176,Over 30 no qualifications,223
E01003177,Over 30 no qualifications,121
E01003178,Over 30 no qualifications,89
E01003179,Over 30 no qualifications,201
E01003180,Over 30 no qualifications,169
E01003181,Over 30 no qualifications,189
E01003182,Over 30 no qualifications,234
E01003183,Over 30 no qualifications,237
E01003184,Over 30 no qualifications,196
E01003185,Over 30 no qualifications,255
E01003186,Over 30 no qualifications,140
E01003187,Over 30 no qualifications,199
E01003188,Over 30 no qualifications,168
E01003189,Over 30 no qualifications,247
E01003190,Over 30 no qualifications,271
E01003191,Over 30 no qualifications,198
E01003192,Over 30 no qualifications,262
E01003193,Over 30 no qualifications,215
E01003194,Over 30 no qualifications,259
E01003195,Over 30 no qualifications,158
E01003196,Over 30 no qualifications,270
E01003197,Over 30 no qualifications,254
E01003198,Over 30 no qualifications,111
E01003199,Over 30 no qualifications,157
E01003200,Over 30 no qualifications,90
E01003201,Over 30 no qualifications,174
E01003202,Over 30 no qualifications,98
E01003203,Over 30 no qualifications,193
E01003204,Over 30 no qualifications,122
E01003205,Over 30 no qualifications,140
E01003206,Over 30 no qualifications,61
E01003207,Over 30 no qualifications,296
E01003209,Over 30 no qualifications,151
E01003210,Over 30 no qualifications,142
E01003211,Over 30 no qualifications,95
E01003212,Over 30 no qualifications,172
E01003213,Over 30 no qualifications,99
E01003214,Over 30 no qualifications,146
E01003215,Over 30 no qualifications,147
E01003216,Over 30 no qualifications,156
E01003217,Over 30 no qualifications,190
E01003218,Over 30 no qualifications,160
E01003219,Over 30 no qualifications,224
E01003220,Over 30 no qualifications,227
E01003221,Over 30 no qualifications,265
E01003222,Over 30 no qualifications,186
E01003223,Over 30 no qualifications,197
E01003224,Over 30 no qualifications,181
E01003225,Over 30 no qualifications,92
E01003226,Over 30 no qualifications,151
E01003227,Over 30 no qualifications,92
E01003228,Over 30 no qualifications,66
E01003229,Over 30 no qualifications,192
E01003230,Over 30 no qualifications,195
E01003231,Over 30 no qualifications,115
E01003232,Over 30 no qualifications,129
E01003233,Over 30 no qualifications,157
E01003235,Over 30 no qualifications,164
E01003236,Over 30 no qualifications,278
E01003237,Over 30 no qualifications,238
E01003238,Over 30 no qualifications,224
E01003239,Over 30 no qualifications,251
E01003240,Over 30 no qualifications,346
E01003241,Over 30 no qualifications,290
E01003243,Over 30 no qualifications,222
E01003244,Over 30 no qualifications,196
E01003245,Over 30 no qualifications,281
E01003246,Over 30 no qualifications,186
E01003247,Over 30 no qualifications,189
E01003248,Over 30 no qualifications,179
E01003249,Over 30 no qualifications,237
E01003251,Over 30 no qualifications,234
E01003252,Over 30 no qualifications,231
E01003253,Over 30 no qualifications,166
E01003254,Over 30 no qualifications,100
E01003255,Over 30 no qualifications,106
E01003256,Over 30 no qualifications,173
E01003257,Over 30 no qualifications,147
E01003258,Over 30 no qualifications,172
E01003259,Over 30 no qualifications,148
E01003260,Over 30 no qualifications,96
E01003261,Over 30 no qualifications,84
E01003262,Over 30 no qualifications,96
E01003263,Over 30 no qualifications,247
E01003264,Over 30 no qualifications,235
E01003265,Over 30 no qualifications,191
E01003266,Over 30 no qualifications,301
E01003267,Over 30 no qualifications,264
E01003268,Over 30 no qualifications,175
E01003269,Over 30 no qualifications,212
E01003270,Over 30 no qualifications,141
E01003271,Over 30 no qualifications,181
E01003272,Over 30 no qualifications,132
E01003273,Over 30 no qualifications,124
E01003274,Over 30 no qualifications,127
E01003275,Over 30 no qualifications,200
E01003276,Over 30 no qualifications,135
E01003277,Over 30 no qualifications,111
E01003278,Over 30 no qualifications,185
E01003279,Over 30 no qualifications,92
E01003280,Over 30 no qualifications,192
E01003281,Over 30 no qualifications,111
E01003282,Over 30 no qualifications,213
E01003283,Over 30 no qualifications,136
E01003284,Over 30 no qualifications,137
E01003285,Over 30 no qualifications,103
E01003286,Over 30 no qualifications,229
E01003287,Over 30 no qualifications,110
E01003288,Over 30 no qualifications,369
E01003290,Over 30 no qualifications,217
E01003291,Over 30 no qualifications,201
E01003292,Over 30 no qualifications,199
E01003293,Over 30 no qualifications,149
E01003295,Over 30 no qualifications,176
E01003297,Over 30 no qualifications,220
E01003298,Over 30 no qualifications,133
E01003299,Over 30 no qualifications,188
E01003300,Over 30 no qualifications,203
E01003301,Over 30 no qualifications,214
E01003302,Over 30 no qualifications,232
E01003303,Over 30 no qualifications,201
E01003304,Over 30 no qualifications,235
E01003305,Over 30 no qualifications,170
E01003307,Over 30 no qualifications,140
E01003308,Over 30 no qualifications,149
E01003309,Over 30 no qualifications,161
E01003310,Over 30 no qualifications,172
E01003311,Over 30 no qualifications,135
E01003312,Over 30 no qualifications,155
E01003313,Over 30 no qualifications,178
E01003314,Over 30 no qualifications,94
E01003315,Over 30 no qualifications,106
E01003316,Over 30 no qualifications,108
E01003318,Over 30 no qualifications,284
E01003319,Over 30 no qualifications,269
E01003320,Over 30 no qualifications,154
E01003321,Over 30 no qualifications,208
E01003322,Over 30 no qualifications,182
E01003323,Over 30 no qualifications,172
E01003324,Over 30 no qualifications,202
E01003325,Over 30 no qualifications,169
E01003326,Over 30 no qualifications,176
E01003327,Over 30 no qualifications,130
E01003328,Over 30 no qualifications,177
E01003329,Over 30 no qualifications,123
E01003330,Over 30 no qualifications,192
E01003331,Over 30 no qualifications,197
E01003332,Over 30 no qualifications,156
E01003333,Over 30 no qualifications,162
E01003334,Over 30 no qualifications,187
E01003335,Over 30 no qualifications,191
E01003336,Over 30 no qualifications,191
E01003337,Over 30 no qualifications,181
E01003338,Over 30 no qualifications,258
E01003339,Over 30 no qualifications,158
E01003340,Over 30 no qualifications,133
E01003341,Over 30 no qualifications,98
E01003342,Over 30 no qualifications,102
E01003343,Over 30 no qualifications,124
E01003344,Over 30 no qualifications,122
E01003345,Over 30 no qualifications,154
E01003346,Over 30 no qualifications,270
E01003347,Over 30 no qualifications,240
E01003348,Over 30 no qualifications,215
E01003349,Over 30 no qualifications,200
E01003350,Over 30 no qualifications,201
E01003351,Over 30 no qualifications,220
E01003352,Over 30 no qualifications,337
E01003353,Over 30 no qualifications,220
E01003354,Over 30 no qualifications,195
E01003355,Over 30 no qualifications,101
E01003356,Over 30 no qualifications,109
E01003357,Over 30 no qualifications,232
E01003358,Over 30 no qualifications,67
E01003359,Over 30 no qualifications,176
E01003360,Over 30 no qualifications,91
E01003361,Over 30 no qualifications,147
E01003362,Over 30 no qualifications,114
E01003363,Over 30 no qualifications,147
E01003364,Over 30 no qualifications,199
E01003365,Over 30 no qualifications,159
E01003366,Over 30 no qualifications,199
E01003368,Over 30 no qualifications,175
E01003369,Over 30 no qualifications,119
E01003370,Over 30 no qualifications,160
E01003371,Over 30 no qualifications,150
E01003372,Over 30 no qualifications,213
E01003373,Over 30 no qualifications,238
E01003374,Over 30 no qualifications,278
E01003375,Over 30 no qualifications,277
E01003376,Over 30 no qualifications,260
E01003377,Over 30 no qualifications,251
E01003378,Over 30 no qualifications,253
E01003379,Over 30 no qualifications,326
E01003380,Over 30 no qualifications,91
E01003381,Over 30 no qualifications,89
E01003382,Over 30 no qualifications,110
E01003383,Over 30 no qualifications,74
E01003384,Over 30 no qualifications,52
E01003385,Over 30 no qualifications,57
