Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000052,White,964
E01000052,Other ethnic group,106
E01000053,Does not apply,0
E01000053,"Asian, Asian British or Asian Welsh",240
E01000053,"Black, Black British, Black Welsh, Caribbean or African",386
E01000053,Mixed or Multiple ethnic groups,76
E01000053,White,869
E01000053,Other ethnic group,45
E01000054,Does not apply,0
E01000054,"Asian, Asian British or Asian Welsh",269
E01000054,"Black, Black British, Black Welsh, Caribbean or African",386
E01000054,Mixed or Multiple ethnic groups,68
E01000054,White,1099
E01000054,Other ethnic group,49
E01000055,Does not apply,0
E01000055,"Asian, Asian British or Asian Welsh",272
E01000055,"Black, Black British, Black Welsh, Caribbean or African",343
E01000055,Mixed or Multiple ethnic groups,87
E01000055,White,955
E01000055,Other ethnic group,48
E01000056,Does not apply,0
E01000056,"Asian, Asian British or Asian Welsh",236
E01000056,"Black, Black British, Black Welsh, Caribbean or African",368
E01000056,Mixed or Multiple ethnic groups,66
E01000056,White,1005
E01000056,Other ethnic group,27
E01000057,Does not apply,0
E01000057,"Asian, Asian British or Asian Welsh",210
E01000057,"Black, Black British, Black Welsh, Caribbean or African",386
E01000057,Mixed or Multiple ethnic groups,78
E01000057,White,845
E01000057,Other ethnic group,32
E01000058,Does not apply,0
E01000058,"Asian, Asian British or Asian Welsh",474
E01000058,"Black, Black British, Black Welsh, Caribbean or African",480
E01000058,Mixed or Multiple ethnic groups,113
E01000058,White,1005
E01000058,Other ethnic group,66
E01000059,Does not apply,0
E01000059,"Asian, Asian British or Asian Welsh",203
E01000059,"Black, Black British, Black Welsh, Caribbean or African",345
E01000059,Mixed or Multiple ethnic groups,60
E01000059,White,1061
E01000059,Other ethnic group,40
E01000060,Does not apply,0
E01000060,"Asian, Asian British or Asian Welsh",331
E01000060,"Black, Black British, Black Welsh, Caribbean or African",552
E01000060,Mixed or Multiple ethnic groups,102
E01000060,White,1051
E01000060,Other ethnic group,144
E01000061,Does not apply,0
E01000061,"Asian, Asian British or Asian Welsh",263
E01000061,"Black, Black British, Black Welsh, Caribbean or African",560
E01000061,Mixed or Multiple ethnic groups,108
E01000061,White,918
E01000061,Other ethnic group,75
E01000062,Does not apply,0
E01000062,"Asian, Asian British or Asian Welsh",328
E01000062,"Black, Black British, Black Welsh, Caribbean or African",572
E01000062,Mixed or Multiple ethnic groups,88
E01000062,White,1168
E01000062,Other ethnic group,62
E01000063,Does not apply,0
E01000063,"Asian, Asian British or Asian Welsh",356
E01000063,"Black, Black British, Black Welsh, Caribbean or African",296
E01000063,Mixed or Multiple ethnic groups,55
E01000063,White,1019
E01000063,Other ethnic group,52
E01000064,Does not apply,0
E01000064,"Asian, Asian British or Asian Welsh",413
E01000064,"Black, Black British, Black Welsh, Caribbean or African",629
E01000064,Mixed or Multiple ethnic groups,65
E01000064,White,1102
E01000064,Other ethnic group,87
E01000065,Does not apply,0
E01000065,"Asian, Asian British or Asian Welsh",309
E01000065,"Black, Black British, Black Welsh, Caribbean or African",423
E01000065,Mixed or Multiple ethnic groups,76
E01000065,White,1118
E01000065,Other ethnic group,56
E01000066,Does not apply,0
E01000066,"Asian, Asian British or Asian Welsh",1527
E01000066,"Black, Black British, Black Welsh, Caribbean or African",199
E01000066,Mixed or Multiple ethnic groups,77
E01000066,White,606
E01000066,Other ethnic group,90
E01000067,Does not apply,0
E01000067,"Asian, Asian British or Asian Welsh",1209
E01000067,"Black, Black British, Black Welsh, Caribbean or African",281
E01000067,Mixed or Multiple ethnic groups,88
E01000067,White,594
E01000067,Other ethnic group,63
E01000068,Does not apply,0
E01000068,"Asian, Asian British or Asian Welsh",1036
E01000068,"Black, Black British, Black Welsh, Caribbean or African",201
E01000068,Mixed or Multiple ethnic groups,35
E01000068,White,472
E01000068,Other ethnic group,50
E01000069,Does not apply,0
E01000069,"Asian, Asian British or Asian Welsh",1306
E01000069,"Black, Black British, Black Welsh, Caribbean or African",115
E01000069,Mixed or Multiple ethnic groups,76
E01000069,White,543
E01000069,Other ethnic group,57
E01000070,Does not apply,0
E01000070,"Asian, Asian British or Asian Welsh",1291
E01000070,"Black, Black British, Black Welsh, Caribbean or African",169
E01000070,Mixed or Multiple ethnic groups,43
E01000070,White,512
E01000070,Other ethnic group,58
E01000071,Does not apply,0
E01000071,"Asian, Asian British or Asian Welsh",1428
E01000071,"Black, Black British, Black Welsh, Caribbean or African",267
E01000071,Mixed or Multiple ethnic groups,77
E01000071,White,722
E01000071,Other ethnic group,112
E01000072,Does not apply,0
E01000072,"Asian, Asian British or Asian Welsh",420
E01000072,"Black, Black British, Black Welsh, Caribbean or African",458
E01000072,Mixed or Multiple ethnic groups,117
E01000072,White,1059
E01000072,Other ethnic group,93
E01000073,Does not apply,0
E01000073,"Asian, Asian British or Asian Welsh",397
E01000073,"Black, Black British, Black Welsh, Caribbean or African",280
E01000073,Mixed or Multiple ethnic groups,95
E01000073,White,1051
E01000073,Other ethnic group,25
E01000074,Does not apply,0
E01000074,"Asian, Asian British or Asian Welsh",290
