Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01002833,Mixed or Multiple ethnic groups,87
E01002833,White,882
E01002833,Other ethnic group,45
E01002834,Does not apply,0
E01002834,"Asian, Asian British or Asian Welsh",183
E01002834,"Black, Black British, Black Welsh, Caribbean or African",16
E01002834,Mixed or Multiple ethnic groups,97
E01002834,White,882
E01002834,Other ethnic group,65
E01002835,Does not apply,0
E01002835,"Asian, Asian British or Asian Welsh",228
E01002835,"Black, Black British, Black Welsh, Caribbean or African",35
E01002835,Mixed or Multiple ethnic groups,80
E01002835,White,942
E01002835,Other ethnic group,126
E01002836,Does not apply,0
E01002836,"Asian, Asian British or Asian Welsh",136
E01002836,"Black, Black British, Black Welsh, Caribbean or African",33
E01002836,Mixed or Multiple ethnic groups,59
E01002836,White,1005
E01002836,Other ethnic group,75
E01002837,Does not apply,0
E01002837,"Asian, Asian British or Asian Welsh",96
E01002837,"Black, Black British, Black Welsh, Caribbean or African",4
E01002837,Mixed or Multiple ethnic groups,68
E01002837,White,816
E01002837,Other ethnic group,61
E01002839,Does not apply,0
E01002839,"Asian, Asian British or Asian Welsh",180
E01002839,"Black, Black British, Black Welsh, Caribbean or African",203
E01002839,Mixed or Multiple ethnic groups,111
E01002839,White,872
E01002839,Other ethnic group,173
E01002840,Does not apply,0
E01002840,"Asian, Asian British or Asian Welsh",139
E01002840,"Black, Black British, Black Welsh, Caribbean or African",142
E01002840,Mixed or Multiple ethnic groups,81
E01002840,White,509
E01002840,Other ethnic group,176
E01002841,Does not apply,0
E01002841,"Asian, Asian British or Asian Welsh",108
E01002841,"Black, Black British, Black Welsh, Caribbean or African",71
E01002841,Mixed or Multiple ethnic groups,105
E01002841,White,836
E01002841,Other ethnic group,98
E01002842,Does not apply,0
E01002842,"Asian, Asian British or Asian Welsh",212
E01002842,"Black, Black British, Black Welsh, Caribbean or African",164
E01002842,Mixed or Multiple ethnic groups,78
E01002842,White,383
E01002842,Other ethnic group,176
E01002843,Does not apply,0
E01002843,"Asian, Asian British or Asian Welsh",191
E01002843,"Black, Black British, Black Welsh, Caribbean or African",198
E01002843,Mixed or Multiple ethnic groups,86
E01002843,White,652
E01002843,Other ethnic group,169
E01002844,Does not apply,0
E01002844,"Asian, Asian British or Asian Welsh",70
E01002844,"Black, Black British, Black Welsh, Caribbean or African",31
E01002844,Mixed or Multiple ethnic groups,52
E01002844,White,940
E01002844,Other ethnic group,54
E01002845,Does not apply,0
E01002845,"Asian, Asian British or Asian Welsh",116
E01002845,"Black, Black British, Black Welsh, Caribbean or African",66
E01002845,Mixed or Multiple ethnic groups,75
E01002845,White,844
E01002845,Other ethnic group,66
E01002846,Does not apply,0
E01002846,"Asian, Asian British or Asian Welsh",180
E01002846,"Black, Black British, Black Welsh, Caribbean or African",63
E01002846,Mixed or Multiple ethnic groups,72
E01002846,White,865
E01002846,Other ethnic group,109
E01002847,Does not apply,0
E01002847,"Asian, Asian British or Asian Welsh",242
E01002847,"Black, Black British, Black Welsh, Caribbean or African",69
E01002847,Mixed or Multiple ethnic groups,87
E01002847,White,853
E01002847,Other ethnic group,142
E01002848,Does not apply,0
E01002848,"Asian, Asian British or Asian Welsh",145
E01002848,"Black, Black British, Black Welsh, Caribbean or African",80
E01002848,Mixed or Multiple ethnic groups,87
E01002848,White,800
E01002848,Other ethnic group,139
E01002849,Does not apply,0
E01002849,"Asian, Asian British or Asian Welsh",204
E01002849,"Black, Black British, Black Welsh, Caribbean or African",44
E01002849,Mixed or Multiple ethnic groups,76
E01002849,White,1112
E01002849,Other ethnic group,106
E01002850,Does not apply,0
E01002850,"Asian, Asian British or Asian Welsh",306
E01002850,"Black, Black British, Black Welsh, Caribbean or African",66
E01002850,Mixed or Multiple ethnic groups,75
E01002850,White,827
E01002850,Other ethnic group,132
E01002851,Does not apply,0
E01002851,"Asian, Asian British or Asian Welsh",270
E01002851,"Black, Black British, Black Welsh, Caribbean or African",133
E01002851,Mixed or Multiple ethnic groups,95
E01002851,White,673
E01002851,Other ethnic group,167
E01002852,Does not apply,0
E01002852,"Asian, Asian British or Asian Welsh",338
E01002852,"Black, Black British, Black Welsh, Caribbean or African",521
E01002852,Mixed or Multiple ethnic groups,157
E01002852,White,830
E01002852,Other ethnic group,366
E01002853,Does not apply,0
E01002853,"Asian, Asian British or Asian Welsh",121
E01002853,"Black, Black British, Black Welsh, Caribbean or African",194
E01002853,Mixed or Multiple ethnic groups,265
E01002853,White,616
E01002853,Other ethnic group,232
E01002854,Does not apply,0
E01002854,"Asian, Asian British or Asian Welsh",96
E01002854,"Black, Black British, Black Welsh, Caribbean or African",218
E01002854,Mixed or Multiple ethnic groups,90
E01002854,White,492
E01002854,Other ethnic group,207
E01002855,Does not apply,0
E01002855,"Asian, Asian British or Asian Welsh",105
E01002855,"Black, Black British, Black Welsh, Caribbean or African",364
E01002855,Mixed or Multiple ethnic groups,140
E01002855,White,634
E01002855,Other ethnic group,349
E01002856,Does not apply,0
E01002856,"Asian, Asian British or Asian Welsh",116
E01002856,"Black, Black British, Black Welsh, Caribbean or African",238
E01002856,Mixed or Multiple ethnic groups,154
E01002856,White,794
E01002856,Other ethnic group,128
E01002857,Does not apply,0
E01002857,"Asian, Asian British or Asian Welsh",170
E01002857,"Black, Black British, Black Welsh, Caribbean or African",285
E01002857,Mixed or Multiple ethnic groups,115
E01002857,White,598
E01002857,Other ethnic group,207
E01002858,Does not apply,0
E01002858,"Asian, Asian British or Asian Welsh",375
E01002858,"Black, Black British, Black Welsh, Caribbean or African",119
E01002858,Mixed or Multiple ethnic groups,74
E01002858,White,597
E01002858,Other ethnic group,158
E01002859,Does not apply,0
E01002859,"Asian, Asian British or Asian Welsh",124
E01002859,"Black, Black British, Black Welsh, Caribbean or African",17
E01002859,Mixed or Multiple ethnic groups,55
E01002859,White,956
E01002859,Other ethnic group,98
E01002860,Does not apply,0
E01002860,"Asian, Asian British or Asian Welsh",89
E01002860,"Black, Black British, Black Welsh, Caribbean or African",20
E01002860,Mixed or Multiple ethnic groups,62
E01002860,White,928
E01002860,Other ethnic group,45
E01002861,Does not apply,0
E01002861,"Asian, Asian British or Asian Welsh",109
E01002861,"Black, Black British, Black Welsh, Caribbean or African",63
E01002861,Mixed or Multiple ethnic groups,69
E01002861,White,910
E01002861,Other ethnic group,106
E01002862,Does not apply,0
E01002862,"Asian, Asian British or Asian Welsh",158
E01002862,"Black, Black British, Black Welsh, Caribbean or African",89
E01002862,Mixed or Multiple ethnic groups,79
E01002862,White,649
E01002862,Other ethnic group,117
E01002863,Does not apply,0
E01002863,"Asian, Asian British or Asian Welsh",99
E01002863,"Black, Black British, Black Welsh, Caribbean or African",18
E01002863,Mixed or Multiple ethnic groups,67
E01002863,White,844
E01002863,Other ethnic group,89
E01002864,Does not apply,0
E01002864,"Asian, Asian British or Asian Welsh",186
E01002864,"Black, Black British, Black Welsh, Caribbean or African",13
E01002864,Mixed or Multiple ethnic groups,81
E01002864,White,923
E01002864,Other ethnic group,278
E01002865,Does not apply,0
E01002865,"Asian, Asian British or Asian Welsh",165
E01002865,"Black, Black British, Black Welsh, Caribbean or African",35
E01002865,Mixed or Multiple ethnic groups,59
E01002865,White,1040
E01002865,Other ethnic group,150
E01002866,Does not apply,0
E01002866,"Asian, Asian British or Asian Welsh",316
E01002866,"Black, Black British, Black Welsh, Caribbean or African",287
E01002866,Mixed or Multiple ethnic groups,115
E01002866,White,943
E01002866,Other ethnic group,172
E01002867,Does not apply,0
E01002867,"Asian, Asian British or Asian Welsh",272
E01002867,"Black, Black British, Black Welsh, Caribbean or African",101
E01002867,Mixed or Multiple ethnic groups,120
E01002867,White,913
E01002867,Other ethnic group,274
E01002868,Does not apply,0
E01002868,"Asian, Asian British or Asian Welsh",235
E01002868,"Black, Black British, Black Welsh, Caribbean or African",18
E01002868,Mixed or Multiple ethnic groups,62
E01002868,White,935
E01002868,Other ethnic group,102
E01002869,Does not apply,0
E01002869,"Asian, Asian British or Asian Welsh",335
E01002869,"Black, Black British, Black Welsh, Caribbean or African",114
E01002869,Mixed or Multiple ethnic groups,113
E01002869,White,1015
E01002869,Other ethnic group,163
E01002870,Does not apply,0
E01002870,"Asian, Asian British or Asian Welsh",87
E01002870,"Black, Black British, Black Welsh, Caribbean or African",386
E01002870,Mixed or Multiple ethnic groups,142
E01002870,White,771
E01002870,Other ethnic group,207
E01002871,Does not apply,0
E01002871,"Asian, Asian British or Asian Welsh",156
E01002871,"Black, Black British, Black Welsh, Caribbean or African",24
E01002871,Mixed or Multiple ethnic groups,75
E01002871,White,1141
E01002871,Other ethnic group,67
E01002872,Does not apply,0
E01002872,"Asian, Asian British or Asian Welsh",99
E01002872,"Black, Black British, Black Welsh, Caribbean or African",160
E01002872,Mixed or Multiple ethnic groups,102
E01002872,White,859
E01002872,Other ethnic group,129
E01002873,Does not apply,0
E01002873,"Asian, Asian British or Asian Welsh",71
E01002873,"Black, Black British, Black Welsh, Caribbean or African",166
E01002873,Mixed or Multiple ethnic groups,110
E01002873,White,909
E01002873,Other ethnic group,104
E01002874,Does not apply,0
E01002874,"Asian, Asian British or Asian Welsh",58
E01002874,"Black, Black British, Black Welsh, Caribbean or African",98
E01002874,Mixed or Multiple ethnic groups,82
E01002874,White,814
E01002874,Other ethnic group,82
E01002875,Does not apply,0
E01002875,"Asian, Asian British or Asian Welsh",128
E01002875,"Black, Black British, Black Welsh, Caribbean or African",31
E01002875,Mixed or Multiple ethnic groups,68
E01002875,White,977
E01002875,Other ethnic group,56
E01002876,Does not apply,0
E01002876,"Asian, Asian British or Asian Welsh",70
E01002876,"Black, Black British, Black Welsh, Caribbean or African",412
E01002876,Mixed or Multiple ethnic groups,109
E01002876,White,1142
E01002876,Other ethnic group,100
E01002877,Does not apply,0
E01002877,"Asian, Asian British or Asian Welsh",495
E01002877,"Black, Black British, Black Welsh, Caribbean or African",357
E01002877,Mixed or Multiple ethnic groups,135
E01002877,White,866
E01002877,Other ethnic group,333
E01002878,Does not apply,0
E01002878,"Asian, Asian British or Asian Welsh",101
E01002878,"Black, Black British, Black Welsh, Caribbean or African",193
E01002878,Mixed or Multiple ethnic groups,108
E01002878,White,924
E01002878,Other ethnic group,121
E01002879,Does not apply,0
E01002879,"Asian, Asian British or Asian Welsh",450
E01002879,"Black, Black British, Black Welsh, Caribbean or African",287
E01002879,Mixed or Multiple ethnic groups,244
E01002879,White,721
E01002879,Other ethnic group,243
E01002880,Does not apply,0
E01002880,"Asian, Asian British or Asian Welsh",135
E01002880,"Black, Black British, Black Welsh, Caribbean or African",369
E01002880,Mixed or Multiple ethnic groups,67
E01002880,White,373
E01002880,Other ethnic group,200
E01002881,Does not apply,0
E01002881,"Asian, Asian British or Asian Welsh",192
E01002881,"Black, Black British, Black Welsh, Caribbean or African",194
E01002881,Mixed or Multiple ethnic groups,106
E01002881,White,671
E01002881,Other ethnic group,198
E01002882,Does not apply,0
E01002882,"Asian, Asian British or Asian Welsh",100
E01002882,"Black, Black British, Black Welsh, Caribbean or African",71
E01002882,Mixed or Multiple ethnic groups,68
E01002882,White,748
E01002882,Other ethnic group,58
E01002883,Does not apply,0
E01002883,"Asian, Asian British or Asian Welsh",150
E01002883,"Black, Black British, Black Welsh, Caribbean or African",37
E01002883,Mixed or Multiple ethnic groups,99
E01002883,White,1084
E01002883,Other ethnic group,106
E01002884,Does not apply,0
E01002884,"Asian, Asian British or Asian Welsh",218
E01002884,"Black, Black British, Black Welsh, Caribbean or African",76
E01002884,Mixed or Multiple ethnic groups,94
E01002884,White,897
E01002884,Other ethnic group,100
E01002885,Does not apply,0
E01002885,"Asian, Asian British or Asian Welsh",126
E01002885,"Black, Black British, Black Welsh, Caribbean or African",46
E01002885,Mixed or Multiple ethnic groups,88
E01002885,White,963
E01002885,Other ethnic group,96
E01002886,Does not apply,0
E01002886,"Asian, Asian British or Asian Welsh",126
E01002886,"Black, Black British, Black Welsh, Caribbean or African",44
E01002886,Mixed or Multiple ethnic groups,88
E01002886,White,930
E01002886,Other ethnic group,130
E01002887,Does not apply,0
E01002887,"Asian, Asian British or Asian Welsh",184
E01002887,"Black, Black British, Black Welsh, Caribbean or African",14
E01002887,Mixed or Multiple ethnic groups,56
E01002887,White,680
E01002887,Other ethnic group,111
E01002888,Does not apply,0
E01002888,"Asian, Asian British or Asian Welsh",436
E01002888,"Black, Black British, Black Welsh, Caribbean or African",37
E01002888,Mixed or Multiple ethnic groups,102
E01002888,White,879
E01002888,Other ethnic group,113
E01002889,Does not apply,0
E01002889,"Asian, Asian British or Asian Welsh",174
E01002889,"Black, Black British, Black Welsh, Caribbean or African",33
E01002889,Mixed or Multiple ethnic groups,44
E01002889,White,1131
E01002889,Other ethnic group,175
E01002890,Does not apply,0
E01002890,"Asian, Asian British or Asian Welsh",172
E01002890,"Black, Black British, Black Welsh, Caribbean or African",18
E01002890,Mixed or Multiple ethnic groups,63
E01002890,White,1042
E01002890,Other ethnic group,103
E01002891,Does not apply,0
E01002891,"Asian, Asian British or Asian Welsh",218
E01002891,"Black, Black British, Black Welsh, Caribbean or African",13
E01002891,Mixed or Multiple ethnic groups,44
E01002891,White,782
E01002891,Other ethnic group,127
E01002892,Does not apply,0
E01002892,"Asian, Asian British or Asian Welsh",238
E01002892,"Black, Black British, Black Welsh, Caribbean or African",19
E01002892,Mixed or Multiple ethnic groups,78
E01002892,White,836
E01002892,Other ethnic group,119
E01002893,Does not apply,0
E01002893,"Asian, Asian British or Asian Welsh",154
E01002893,"Black, Black British, Black Welsh, Caribbean or African",64
E01002893,Mixed or Multiple ethnic groups,146
E01002893,White,1080
E01002893,Other ethnic group,131
E01002894,Does not apply,0
E01002894,"Asian, Asian British or Asian Welsh",235
E01002894,"Black, Black British, Black Welsh, Caribbean or African",61
E01002894,Mixed or Multiple ethnic groups,72
E01002894,White,884
E01002894,Other ethnic group,68
E01002896,Does not apply,0
E01002896,"Asian, Asian British or Asian Welsh",100
E01002896,"Black, Black British, Black Welsh, Caribbean or African",12
E01002896,Mixed or Multiple ethnic groups,135
E01002896,White,1230
E01002896,Other ethnic group,109
E01002897,Does not apply,0
E01002897,"Asian, Asian British or Asian Welsh",104
E01002897,"Black, Black British, Black Welsh, Caribbean or African",42
E01002897,Mixed or Multiple ethnic groups,65
E01002897,White,1209
E01002897,Other ethnic group,72
E01002898,Does not apply,0
E01002898,"Asian, Asian British or Asian Welsh",104
E01002898,"Black, Black British, Black Welsh, Caribbean or African",11
E01002898,Mixed or Multiple ethnic groups,74
E01002898,White,1395
E01002898,Other ethnic group,83
E01002899,Does not apply,0
E01002899,"Asian, Asian British or Asian Welsh",91
E01002899,"Black, Black British, Black Welsh, Caribbean or African",115
E01002899,Mixed or Multiple ethnic groups,80
E01002899,White,855
E01002899,Other ethnic group,107
E01002900,Does not apply,0
E01002900,"Asian, Asian British or Asian Welsh",118
E01002900,"Black, Black British, Black Welsh, Caribbean or African",83
E01002900,Mixed or Multiple ethnic groups,50
E01002900,White,1373
E01002900,Other ethnic group,66
E01002901,Does not apply,0
E01002901,"Asian, Asian British or Asian Welsh",54
E01002901,"Black, Black British, Black Welsh, Caribbean or African",16
E01002901,Mixed or Multiple ethnic groups,24
E01002901,White,922
E01002901,Other ethnic group,26
E01002902,Does not apply,0
E01002902,"Asian, Asian British or Asian Welsh",108
E01002902,"Black, Black British, Black Welsh, Caribbean or African",33
E01002902,Mixed or Multiple ethnic groups,72
E01002902,White,891
E01002902,Other ethnic group,121
E01002903,Does not apply,0
E01002903,"Asian, Asian British or Asian Welsh",95
E01002903,"Black, Black British, Black Welsh, Caribbean or African",15
E01002903,Mixed or Multiple ethnic groups,48
E01002903,White,1085
E01002903,Other ethnic group,33
E01002904,Does not apply,0
E01002904,"Asian, Asian British or Asian Welsh",93
E01002904,"Black, Black British, Black Welsh, Caribbean or African",332
E01002904,Mixed or Multiple ethnic groups,94
E01002904,White,533
E01002904,Other ethnic group,242
E01002905,Does not apply,0
E01002905,"Asian, Asian British or Asian Welsh",131
E01002905,"Black, Black British, Black Welsh, Caribbean or African",236
E01002905,Mixed or Multiple ethnic groups,102
E01002905,White,961
E01002905,Other ethnic group,242
E01002906,Does not apply,0
E01002906,"Asian, Asian British or Asian Welsh",102
E01002906,"Black, Black British, Black Welsh, Caribbean or African",265
E01002906,Mixed or Multiple ethnic groups,150
E01002906,White,1031
E01002906,Other ethnic group,204
E01002907,Does not apply,0
E01002907,"Asian, Asian British or Asian Welsh",123
E01002907,"Black, Black British, Black Welsh, Caribbean or African",251
E01002907,Mixed or Multiple ethnic groups,96
E01002907,White,653
E01002907,Other ethnic group,163
E01002908,Does not apply,0
E01002908,"Asian, Asian British or Asian Welsh",69
E01002908,"Black, Black British, Black Welsh, Caribbean or African",146
E01002908,Mixed or Multiple ethnic groups,116
E01002908,White,931
E01002908,Other ethnic group,132
E01002909,Does not apply,0
E01002909,"Asian, Asian British or Asian Welsh",111
E01002909,"Black, Black British, Black Welsh, Caribbean or African",237
E01002909,Mixed or Multiple ethnic groups,189
E01002909,White,1428
E01002909,Other ethnic group,169
E01002910,Does not apply,0
E01002910,"Asian, Asian British or Asian Welsh",117
E01002910,"Black, Black British, Black Welsh, Caribbean or African",57
E01002910,Mixed or Multiple ethnic groups,58
E01002910,White,1028
E01002910,Other ethnic group,110
E01002911,Does not apply,0
E01002911,"Asian, Asian British or Asian Welsh",93
E01002911,"Black, Black British, Black Welsh, Caribbean or African",10
E01002911,Mixed or Multiple ethnic groups,43
E01002911,White,1085
E01002911,Other ethnic group,56
E01002912,Does not apply,0
E01002912,"Asian, Asian British or Asian Welsh",193
E01002912,"Black, Black British, Black Welsh, Caribbean or African",55
E01002912,Mixed or Multiple ethnic groups,78
E01002912,White,1066
E01002912,Other ethnic group,89
E01002913,Does not apply,0
E01002913,"Asian, Asian British or Asian Welsh",193
E01002913,"Black, Black British, Black Welsh, Caribbean or African",121
E01002913,Mixed or Multiple ethnic groups,113
E01002913,White,1149
E01002913,Other ethnic group,186
E01002914,Does not apply,0
E01002914,"Asian, Asian British or Asian Welsh",87
E01002914,"Black, Black British, Black Welsh, Caribbean or African",25
E01002914,Mixed or Multiple ethnic groups,50
E01002914,White,958
E01002914,Other ethnic group,74
E01002915,Does not apply,0
E01002915,"Asian, Asian British or Asian Welsh",388
E01002915,"Black, Black British, Black Welsh, Caribbean or African",48
E01002915,Mixed or Multiple ethnic groups,59
E01002915,White,787
E01002915,Other ethnic group,111
E01002916,Does not apply,0
E01002916,"Asian, Asian British or Asian Welsh",276
E01002916,"Black, Black British, Black Welsh, Caribbean or African",24
E01002916,Mixed or Multiple ethnic groups,105
E01002916,White,997
E01002916,Other ethnic group,75
E01002917,Does not apply,0
E01002917,"Asian, Asian British or Asian Welsh",250
E01002917,"Black, Black British, Black Welsh, Caribbean or African",7
E01002917,Mixed or Multiple ethnic groups,55
E01002917,White,1044
E01002917,Other ethnic group,74
E01002918,Does not apply,0
E01002918,"Asian, Asian British or Asian Welsh",437
E01002918,"Black, Black British, Black Welsh, Caribbean or African",71
E01002918,Mixed or Multiple ethnic groups,77
E01002918,White,1075
E01002918,Other ethnic group,133
E01002919,Does not apply,0
E01002919,"Asian, Asian British or Asian Welsh",621
E01002919,"Black, Black British, Black Welsh, Caribbean or African",133
E01002919,Mixed or Multiple ethnic groups,119
E01002919,White,944
E01002919,Other ethnic group,174
E01002920,Does not apply,0
E01002920,"Asian, Asian British or Asian Welsh",210
E01002920,"Black, Black British, Black Welsh, Caribbean or African",13
E01002920,Mixed or Multiple ethnic groups,82
E01002920,White,1239
E01002920,Other ethnic group,49
E01002921,Does not apply,0
E01002921,"Asian, Asian British or Asian Welsh",215
E01002921,"Black, Black British, Black Welsh, Caribbean or African",54
E01002921,Mixed or Multiple ethnic groups,93
E01002921,White,1294
E01002921,Other ethnic group,71
E01002922,Does not apply,0
E01002922,"Asian, Asian British or Asian Welsh",153
E01002922,"Black, Black British, Black Welsh, Caribbean or African",27
E01002922,Mixed or Multiple ethnic groups,63
E01002922,White,1350
E01002922,Other ethnic group,45
E01002923,Does not apply,0
E01002923,"Asian, Asian British or Asian Welsh",233
E01002923,"Black, Black British, Black Welsh, Caribbean or African",74
E01002923,Mixed or Multiple ethnic groups,92
E01002923,White,1207
E01002923,Other ethnic group,65
E01002924,Does not apply,0
E01002924,"Asian, Asian British or Asian Welsh",138
E01002924,"Black, Black British, Black Welsh, Caribbean or African",22
E01002924,Mixed or Multiple ethnic groups,70
E01002924,White,1288
E01002924,Other ethnic group,28
E01002925,Does not apply,0
E01002925,"Asian, Asian British or Asian Welsh",130
E01002925,"Black, Black British, Black Welsh, Caribbean or African",35
E01002925,Mixed or Multiple ethnic groups,81
E01002925,White,1297
E01002925,Other ethnic group,28
E01002926,Does not apply,0
E01002926,"Asian, Asian British or Asian Welsh",173
E01002926,"Black, Black British, Black Welsh, Caribbean or African",34
E01002926,Mixed or Multiple ethnic groups,100
E01002926,White,1246
E01002926,Other ethnic group,51
E01002927,Does not apply,0
E01002927,"Asian, Asian British or Asian Welsh",387
E01002927,"Black, Black British, Black Welsh, Caribbean or African",37
E01002927,Mixed or Multiple ethnic groups,92
E01002927,White,1066
E01002927,Other ethnic group,100
E01002928,Does not apply,0
E01002928,"Asian, Asian British or Asian Welsh",422
E01002928,"Black, Black British, Black Welsh, Caribbean or African",49
E01002928,Mixed or Multiple ethnic groups,106
E01002928,White,1228
E01002928,Other ethnic group,141
E01002929,Does not apply,0
E01002929,"Asian, Asian British or Asian Welsh",286
E01002929,"Black, Black British, Black Welsh, Caribbean or African",17
E01002929,Mixed or Multiple ethnic groups,95
E01002929,White,1202
E01002929,Other ethnic group,96
E01002930,Does not apply,0
E01002930,"Asian, Asian British or Asian Welsh",530
E01002930,"Black, Black British, Black Welsh, Caribbean or African",78
E01002930,Mixed or Multiple ethnic groups,125
E01002930,White,1134
E01002930,Other ethnic group,100
E01002931,Does not apply,0
E01002931,"Asian, Asian British or Asian Welsh",415
E01002931,"Black, Black British, Black Welsh, Caribbean or African",19
E01002931,Mixed or Multiple ethnic groups,140
E01002931,White,1345
E01002931,Other ethnic group,95
E01002932,Does not apply,0
E01002932,"Asian, Asian British or Asian Welsh",499
E01002932,"Black, Black British, Black Welsh, Caribbean or African",152
E01002932,Mixed or Multiple ethnic groups,147
E01002932,White,1063
E01002932,Other ethnic group,185
E01002933,Does not apply,0
E01002933,"Asian, Asian British or Asian Welsh",243
E01002933,"Black, Black British, Black Welsh, Caribbean or African",65
E01002933,Mixed or Multiple ethnic groups,108
E01002933,White,1558
E01002933,Other ethnic group,64
E01002934,Does not apply,0
E01002934,"Asian, Asian British or Asian Welsh",225
E01002934,"Black, Black British, Black Welsh, Caribbean or African",48
E01002934,Mixed or Multiple ethnic groups,100
E01002934,White,1465
E01002934,Other ethnic group,62
E01002935,Does not apply,0
E01002935,"Asian, Asian British or Asian Welsh",354
E01002935,"Black, Black British, Black Welsh, Caribbean or African",58
E01002935,Mixed or Multiple ethnic groups,110
E01002935,White,1306
E01002935,Other ethnic group,73
E01002937,Does not apply,0
E01002937,"Asian, Asian British or Asian Welsh",141
E01002937,"Black, Black British, Black Welsh, Caribbean or African",8
E01002937,Mixed or Multiple ethnic groups,128
E01002937,White,1503
E01002937,Other ethnic group,46
E01002938,Does not apply,0
E01002938,"Asian, Asian British or Asian Welsh",191
E01002938,"Black, Black British, Black Welsh, Caribbean or African",16
E01002938,Mixed or Multiple ethnic groups,132
E01002938,White,1612
E01002938,Other ethnic group,50
E01002939,Does not apply,0
E01002939,"Asian, Asian British or Asian Welsh",186
E01002939,"Black, Black British, Black Welsh, Caribbean or African",43
E01002939,Mixed or Multiple ethnic groups,83
E01002939,White,1260
E01002939,Other ethnic group,73
E01002940,Does not apply,0
E01002940,"Asian, Asian British or Asian Welsh",188
E01002940,"Black, Black British, Black Welsh, Caribbean or African",34
E01002940,Mixed or Multiple ethnic groups,64
E01002940,White,1318
E01002940,Other ethnic group,70
E01002941,Does not apply,0
E01002941,"Asian, Asian British or Asian Welsh",178
E01002941,"Black, Black British, Black Welsh, Caribbean or African",32
E01002941,Mixed or Multiple ethnic groups,78
E01002941,White,1300
E01002941,Other ethnic group,62
E01002942,Does not apply,0
E01002942,"Asian, Asian British or Asian Welsh",111
E01002942,"Black, Black British, Black Welsh, Caribbean or African",30
E01002942,Mixed or Multiple ethnic groups,54
E01002942,White,1182
E01002942,Other ethnic group,25
E01002943,Does not apply,0
E01002943,"Asian, Asian British or Asian Welsh",103
E01002943,"Black, Black British, Black Welsh, Caribbean or African",48
E01002943,Mixed or Multiple ethnic groups,71
E01002943,White,1181
E01002943,Other ethnic group,74
E01002944,Does not apply,0
E01002944,"Asian, Asian British or Asian Welsh",102
E01002944,"Black, Black British, Black Welsh, Caribbean or African",42
E01002944,Mixed or Multiple ethnic groups,79
E01002944,White,1073
E01002944,Other ethnic group,39
E01002945,Does not apply,0
E01002945,"Asian, Asian British or Asian Welsh",159
E01002945,"Black, Black British, Black Welsh, Caribbean or African",35
E01002945,Mixed or Multiple ethnic groups,55
E01002945,White,1304
E01002945,Other ethnic group,21
E01002946,Does not apply,0
E01002946,"Asian, Asian British or Asian Welsh",113
E01002946,"Black, Black British, Black Welsh, Caribbean or African",18
E01002946,Mixed or Multiple ethnic groups,65
E01002946,White,1284
E01002946,Other ethnic group,28
E01002947,Does not apply,0
E01002947,"Asian, Asian British or Asian Welsh",136
E01002947,"Black, Black British, Black Welsh, Caribbean or African",31
E01002947,Mixed or Multiple ethnic groups,73
E01002947,White,1365
E01002947,Other ethnic group,40
E01002948,Does not apply,0
E01002948,"Asian, Asian British or Asian Welsh",264
E01002948,"Black, Black British, Black Welsh, Caribbean or African",55
E01002948,Mixed or Multiple ethnic groups,105
E01002948,White,1671
E01002948,Other ethnic group,116
E01002949,Does not apply,0
E01002949,"Asian, Asian British or Asian Welsh",214
E01002949,"Black, Black British, Black Welsh, Caribbean or African",35
E01002949,Mixed or Multiple ethnic groups,82
E01002949,White,1434
E01002949,Other ethnic group,84
E01002950,Does not apply,0
E01002950,"Asian, Asian British or Asian Welsh",132
E01002950,"Black, Black British, Black Welsh, Caribbean or African",52
E01002950,Mixed or Multiple ethnic groups,67
E01002950,White,1344
E01002950,Other ethnic group,59
E01002951,Does not apply,0
E01002951,"Asian, Asian British or Asian Welsh",257
E01002951,"Black, Black British, Black Welsh, Caribbean or African",22
E01002951,Mixed or Multiple ethnic groups,73
E01002951,White,1007
E01002951,Other ethnic group,142
E01002952,Does not apply,0
E01002952,"Asian, Asian British or Asian Welsh",332
E01002952,"Black, Black British, Black Welsh, Caribbean or African",19
E01002952,Mixed or Multiple ethnic groups,66
E01002952,White,815
E01002952,Other ethnic group,162
E01002953,Does not apply,0
E01002953,"Asian, Asian British or Asian Welsh",395
E01002953,"Black, Black British, Black Welsh, Caribbean or African",56
E01002953,Mixed or Multiple ethnic groups,74
E01002953,White,701
E01002953,Other ethnic group,108
E01002954,Does not apply,0
E01002954,"Asian, Asian British or Asian Welsh",378
E01002954,"Black, Black British, Black Welsh, Caribbean or African",58
E01002954,Mixed or Multiple ethnic groups,90
E01002954,White,705
E01002954,Other ethnic group,140
E01002955,Does not apply,0
E01002955,"Asian, Asian British or Asian Welsh",267
E01002955,"Black, Black British, Black Welsh, Caribbean or African",58
E01002955,Mixed or Multiple ethnic groups,83
E01002955,White,805
E01002955,Other ethnic group,287
E01002956,Does not apply,0
E01002956,"Asian, Asian British or Asian Welsh",262
E01002956,"Black, Black British, Black Welsh, Caribbean or African",50
E01002956,Mixed or Multiple ethnic groups,65
E01002956,White,771
E01002956,Other ethnic group,244
E01002957,Does not apply,0
E01002957,"Asian, Asian British or Asian Welsh",384
E01002957,"Black, Black British, Black Welsh, Caribbean or African",139
