lsoa21cd,tov_count
E01000784,13
E01000785,25
E01000789,13
E01000709,16
E01000780,23
E01000825,13
E01000834,20
E01000672,29
E01000679,22
E01000682,10
E01000691,12
E01000703,30
E01000726,16
E01000768,25
E01000802,24
E01000822,25
E01000824,16
E01000833,18
E01032568,25
E01000762,22
E01000803,24
E01000708,15
E01000739,23
E01000774,18
E01000783,24
E01000811,6
E01000721,11
E01000782,27
E01000827,21
E01000829,6
E01000836,8
E01032563,24
E01000673,34
E01000677,20
E01000729,32
E01000742,39
E01000773,22
E01000777,13
E01000810,14
E01000816,14
E01000823,24
E01000647,17
E01000690,14
E01000704,23
E01000712,28
E01000799,53
E01000808,14
E01000812,15
E01000651,18
E01000683,8
E01000706,10
E01000718,29
E01000733,17
E01000764,18
E01000787,15
E01000657,19
E01000678,20
E01000724,24
E01000835,12
E01000648,24
E01000687,10
E01000692,24
E01000711,28
E01000715,8
E01000719,28
E01000727,14
E01000734,12
E01000750,10
E01000758,6
E01000767,18
E01000794,10
E01000839,13
E01000663,10
E01000670,26
E01000716,11
E01000722,47
E01000766,19
E01000792,5
E01000797,29
E01000841,27
E01032570,15
E01000681,7
E01000717,20
E01000735,16
E01000736,21
E01000737,13
E01000771,27
E01000793,11
E01000655,16
E01000713,31
E01000714,24
E01000754,6
E01000755,9
E01000760,13
E01000814,7
E01000819,28
E01034383,13
E01034385,27
E01000662,26
E01000686,14
E01000723,10
E01000730,24
E01000731,27
E01000732,18
E01000743,22
E01000800,25
E01000838,10
E01000653,22
E01000659,21
E01000671,28
E01000725,21
E01000745,38
E01000772,6
E01000828,20
E01000831,20
E01000646,26
E01000649,25
E01000676,35
E01000694,25
E01000698,18
E01000738,23
E01000769,12
E01000804,38
E01000809,14
E01000815,21
E01000820,20
E01000830,32
E01000684,8
E01000757,5
E01000791,13
E01000837,14
E01000840,11
E01000652,18
E01000688,18
E01000756,9
E01000761,11
E01000788,12
E01000790,22
E01000813,16
E01000826,26
E01000661,26
E01000697,17
E01000710,25
E01000763,16
E01000779,24
E01000832,9
E01000645,9
E01000667,14
E01000668,24
E01000689,18
E01000752,13
E01000770,29
E01000775,19
E01000650,17
E01000654,18
E01000665,21
E01000695,12
E01000786,9
E01000664,14
E01000685,16
E01000753,6
E01000818,20
E01000728,14
E01000751,12
E01000807,21
E01000658,24
E01000693,26
E01000656,22
E01000666,17
E01000696,20
E01000765,26
E01000749,17
E01000759,17
E01000680,20
E01000720,37
E01000747,32
E01000748,25
E01000843,13
E01000846,9
E01000847,19
E01000849,17
E01000853,3
E01000857,16
E01000867,15
E01000868,7
E01000869,20
E01000882,19
E01000886,13
E01000887,9
E01000890,6
E01000891,4
E01000901,16
E01000904,16
E01000905,8
E01000906,12
E01000919,8
E01000923,13
E01000926,23
E01000927,11
E01000929,17
E01000932,15
E01000934,15
E01000935,14
E01000939,13
E01000941,4
E01000942,8
E01000943,7
E01000944,5
E01000949,8
E01000951,3
E01000954,9
E01000955,18
E01000957,16
E01000959,11
E01000961,23
E01000964,20
E01000968,12
E01000969,21
E01000970,14
E01000971,11
E01000842,16
E01000848,20
E01000859,26
E01000870,16
E01000873,18
E01000874,13
E01000875,16
E01000876,14
E01000877,17
E01000888,7
E01000892,17
E01000900,9
E01000902,6
E01000903,13
E01000907,10
E01000911,9
E01000915,6
E01000920,12
E01000924,16
E01000930,26
E01000938,14
E01000952,10
E01000966,14
E01000974,16
E01035712,2
E01000844,21
E01000845,15
E01000861,13
E01000862,22
E01000866,15
E01000880,26
E01000895,15
E01000898,14
E01000910,31
E01000916,12
E01000917,7
E01000925,11
E01000933,15
E01000937,4
E01000956,12
E01000960,25
E01000962,11
E01000965,17
E01000972,18
E01000863,19
E01000872,20
E01000889,10
E01000918,12
E01000931,28
E01035709,2
E01000860,11
E01000878,21
E01000896,22
E01000851,6
E01000879,9
E01000883,16
E01000884,37
E01000947,28
E01000856,7
E01000881,11
E01000897,24
E01000908,16
E01000963,13
E01000921,15
