Lower layer Super Output Areas Code,Residents Population Density (per square kilometre)
E01000714 ,"6,534.1"
E01000718 ,"6,089.4"
E01000645 ,"1,858.0"
E01000649 ,"2,421.3"
E01000694 ,"2,279.1"
E01000695 ,"2,005.8"
E01000696 ,794.2
E01000697 ,"3,440.7"
E01000674 ,"8,520.4"
E01000676 ,"6,119.8"
E01000820 ,"2,712.6"
E01000822 ,"7,354.7"
E01000823 ,"6,925.6"
E01000824 ,"8,491.8"
E01000825 ,"9,443.5"
E01000743 ,"5,973.8"
E01000744 ,"7,271.5"
E01000796 ,"15,494.0"
E01000798 ,"11,294.4"
E01000800 ,"7,213.3"
E01000806 ,"10,431.9"
E01000693 ,566.9
E01000698 ,"1,057.2"
E01000736 ,"4,120.9"
E01000737 ,"3,813.1"
E01000672 ,"5,119.3"
E01000673 ,"3,497.4"
E01000716 ,"4,105.9"
E01000717 ,"5,437.1"
E01000828 ,"4,982.4"
E01000712 ,"4,981.9"
E01000713 ,"4,453.3"
E01000715 ,"5,841.9"
E01000770 ,"2,219.6"
E01000772 ,"4,891.6"
E01000700 ,"7,579.8"
E01000702 ,"10,361.3"
E01000703 ,"7,185.6"
E01000706 ,"4,563.6"
E01000797 ,"2,525.2"
E01000729 ,"7,525.9"
E01000730 ,"4,847.2"
E01000735 ,"3,010.5"
E01000738 ,"3,275.8"
E01000739 ,"7,469.9"
E01000699 ,"10,645.2"
E01000701 ,"10,762.3"
E01000704 ,"4,514.7"
E01000705 ,"8,909.3"
E01000801 ,"8,174.9"
E01000646 ,"5,199.1"
E01000647 ,"6,776.5"
E01000648 ,"4,981.5"
E01000653 ,"3,092.4"
E01000678 ,"6,183.2"
E01000670 ,"4,010.3"
E01000677 ,"4,984.3"
E01000762 ,"5,460.8"
E01000829 ,"7,936.3"
E01034385 ,"3,438.4"
E01034386 ,"8,093.1"
E01000719 ,"6,063.0"
E01000720 ,240.1
E01000721 ,"6,021.0"
E01000724 ,"4,068.5"
E01000728 ,592.1
E01000651 ,"5,784.6"
E01000668 ,"3,166.6"
E01000669 ,"10,023.1"
E01000671 ,"6,622.9"
E01000679 ,"6,068.4"
E01000826 ,"3,160.7"
E01000827 ,"4,755.5"
