lsoa21cd,tfv_count
E01000931,81
E01035709,46
E01000860,31
E01000878,35
E01000896,51
E01000851,21
E01000879,36
E01000883,30
E01000884,53
E01000947,101
E01000856,47
E01000881,52
E01000897,34
E01000908,39
E01000963,34
E01000921,32
E01035707,106
E01000948,79
E01000958,64
E01000967,50
E01000850,63
E01000858,56
E01000885,56
E01000909,36
E01000922,32
E01000973,57
E01000893,46
E01000928,28
E01035708,158
E01035710,79
E01000894,48
E01000871,52
E01000855,135
E01000914,413
E01000912,31
E01035711,70
E01000946,35
E01000899,61
E01000913,87
E01000996,15
E01000997,18
E01000999,37
E01001000,21
E01001001,24
E01001002,16
E01001004,32
E01001012,63
E01001144,37
E01001151,25
E01001179,32
E01034140,21
E01034141,27
E01034145,53
E01034147,6
E01034151,14
E01000982,32
E01000984,24
E01000987,28
E01000995,19
E01000998,32
E01001005,49
E01001052,23
E01001116,46
E01001131,17
E01001141,37
E01001182,18
E01034142,32
E01034148,64
E01000978,23
E01000980,32
E01000983,33
E01000990,13
E01000993,37
E01000994,24
E01001007,34
E01001066,8
E01001111,36
E01001130,8
E01001136,27
E01001139,40
E01001148,22
E01001153,24
E01001158,19
E01001161,22
E01001164,26
E01001185,23
E01001187,46
E01001193,34
E01034143,55
E01000977,29
E01000981,40
E01001040,20
E01001088,24
E01001146,23
E01001149,23
E01001155,28
E01001163,31
E01001175,29
E01034139,68
E01034152,36
E01000976,48
E01001003,42
E01001011,63
E01001025,12
E01001035,10
E01001037,20
E01001046,17
E01001047,21
E01001054,25
E01001056,6
E01001147,20
E01001152,28
E01001181,48
E01001189,21
E01000989,20
E01001057,8
E01001059,16
E01001086,31
E01001090,28
E01001100,15
E01001154,24
E01001160,36
E01001165,30
E01001183,40
E01001184,19
E01001191,37
E01001192,26
E01034150,89
E01001034,17
E01001042,60
E01001077,11
E01001110,45
E01001126,12
E01000986,43
E01001006,38
E01001009,45
E01001026,18
E01001127,26
E01001145,24
E01001170,29
E01001177,76
E01000979,24
E01001050,20
E01001051,30
E01001089,18
E01001091,20
E01001114,31
E01001118,68
E01001133,25
E01001140,33
E01001166,38
E01001168,30
E01001174,36
E01001178,56
E01001180,54
E01001190,15
E01001041,33
E01001053,10
E01001085,25
E01001128,15
E01001143,24
E01001188,43
E01032569,22
E01001013,80
E01001030,18
E01001033,25
E01001099,19
E01001113,42
E01001142,35
E01000975,38
E01001024,11
E01001044,31
E01001058,16
E01001063,28
E01001109,65
E01001112,19
E01001162,29
E01001186,30
E01034144,25
E01001125,12
E01001150,42
E01034146,43
E01001029,29
E01001055,11
E01001073,10
E01001083,14
E01001084,24
E01001115,72
E01001120,7
E01001124,16
E01001129,23
E01001138,25
E01001156,30
E01001169,37
E01001008,47
E01001078,15
E01001080,13
E01001096,13
E01034149,59
E01000985,29
E01001039,8
E01001095,22
E01001106,11
E01001134,23
E01001176,55
E01001032,18
E01001079,25
E01001119,11
E01001172,69
E01001031,16
E01001038,26
E01001076,15
E01001087,30
E01001171,26
E01000992,21
E01001023,21
E01001132,21
E01001135,40
E01001137,43
E01000991,20
E01001020,13
E01001069,15
E01001074,18
E01001098,19
E01001101,13
E01001157,30
E01001194,20
E01001075,13
E01001092,22
E01001108,22
E01001036,43
E01001071,25
E01001082,16
E01001093,19
E01001159,34
E01001167,88
E01001019,10
E01001022,9
E01001028,20
E01001081,10
E01001097,70
E01001015,27
E01001016,23
E01001049,34
E01001061,23
E01001062,27
E01001070,25
E01001102,14
E01001105,16
E01001123,28
E01001173,28
E01001010,110
E01001018,13
E01001067,16
E01001068,9
E01001094,19
E01001107,10
E01001122,11
E01001017,9
E01001103,12
E01001021,12
E01001027,14
E01001065,26
E01001104,17
E01001060,26
E01001072,8
E01001121,13
E01001064,17
E01001199,33
E01001203,34
E01001245,47
E01001287,11
E01001319,18
E01001332,25
E01001383,37
E01032743,13
E01034026,14
E01034029,71
E01034031,12
E01001200,38
E01001207,31
E01001216,20
E01001219,21
E01001223,28
E01001230,49
E01001249,75
E01001288,23
E01001292,18
E01001293,22
E01001303,39
E01001304,31
E01001315,17
E01001340,10
E01001346,27
E01001352,45
E01001355,47
E01001356,14
E01001363,36
E01001364,21
E01001366,31
E01001369,73
E01001372,46
E01001373,49
E01001379,36
E01001380,34
E01001198,31
E01001206,21
E01001211,17
E01001215,50
E01001233,52
E01001236,35
E01001251,28
E01001255,36
E01001305,35
E01001334,26
E01001374,32
E01001376,30
E01001385,29
E01001331,15
E01001295,13
E01034028,22
E01001201,27
E01001202,44
E01001204,23
E01001217,16
E01001224,25
E01001229,28
E01001232,20
E01001242,35
E01001243,45
E01001257,49
E01001279,35
E01001296,10
E01001298,21
E01001299,40
E01001306,25
E01001345,23
E01001357,16
E01001360,65
E01001368,21
E01001384,31
E01001389,94
E01001253,54
E01001254,34
E01001260,31
E01001282,27
E01001300,43
E01001342,8
E01001316,21
E01001312,20
E01001310,20
E01001212,60
E01001213,41
E01001269,25
E01001274,48
E01001286,30
E01001289,18
E01001297,34
E01001313,16
E01001358,28
E01001359,70
E01001388,96
E01001210,20
E01001227,18
E01001237,120
E01001240,19
E01001252,54
E01001270,27
E01001317,29
E01001333,84
E01001362,62
E01001367,103
E01001382,27
E01032744,30
E01001214,22
E01001226,21
E01001228,41
E01001259,29
E01001265,36
E01001276,155
E01001291,33
E01001311,13
E01001318,38
E01001336,27
E01001343,26
E01001353,22
E01001231,78
E01001235,55
E01001244,20
E01001281,34
E01001350,40
E01001371,58
E01001195,21
E01001205,11
E01001323,37
E01001375,46
E01001377,61
E01001381,122
E01001209,26
E01001218,33
E01001225,82
E01001234,122
E01001250,38
E01001258,27
E01001264,22
E01001283,25
E01001285,25
E01001324,36
E01001354,57
E01001387,130
E01001262,23
E01001302,28
E01001361,82
E01001386,57
E01034030,111
E01001196,28
E01001263,24
E01001268,26
E01001307,27
E01001314,25
E01001320,14
E01001335,39
E01001271,31
E01001275,49
E01001294,31
E01001321,39
E01001261,79
E01001278,322
E01001301,27
E01001328,53
E01001329,36
E01001341,17
E01001351,35
E01001197,28
E01001290,28
E01001327,46
E01001330,30
E01001365,49
E01001370,80
E01001248,38
E01001280,32
E01034027,75
E01001273,88
E01001309,29
E01032572,91
E01001239,39
