lsoa21cd,resident_pop_density
E01000129 ,9336.4
E01000131 ,6013.1
E01000134 ,11442.9
E01033913 ,9526.5
E01033914 ,12316.6
E01000198 ,6659.6
E01000199 ,4673.2
E01000204 ,5374.4
E01000259 ,2058.3
E01000260 ,2653.4
E01000126 ,14080.5
E01000151 ,12102.7
E01000152 ,14564.6
E01000153 ,11690.9
E01000154 ,14216.8
E01000176 ,7834.4
E01000178 ,4005.3
E01000184 ,2730.3
E01000297 ,6127.6
E01000316 ,5627.5
E01000319 ,8817.6
E01000196 ,8641.2
E01000200 ,7115.1
E01000201 ,3913.2
E01000202 ,7402.7
E01000203 ,6040.0
E01000177 ,9840.2
E01000179 ,12475.6
E01000180 ,9466.9
E01000181 ,11787.7
E01000182 ,7385.9
E01000185 ,11925.6
E01000239 ,4811.8
E01000240 ,3916.9
E01000241 ,5263.5
E01000309 ,7065.1
E01000237 ,6471.5
E01000242 ,5790.2
E01000243 ,11785.5
E01000244 ,7325.6
E01000245 ,11358.4
E01000314 ,8632.9
E01000183 ,6580.2
E01000206 ,1136.1
E01000207 ,4554.4
E01000208 ,4003.4
E01000210 ,3119.1
E01000213 ,3180.3
E01000236 ,8509.2
E01000238 ,9928.9
E01000310 ,7194.9
E01000311 ,5074.5
E01000205 ,3959.0
E01000209 ,3694.6
E01000211 ,7760.8
E01000212 ,3872.9
E01000216 ,10143.6
E01000217 ,8317.8
E01000150 ,4852.6
E01000305 ,2352.3
E01000306 ,13444.7
E01000308 ,3989.4
E01000312 ,12060.0
E01000313 ,8712.2
E01000145 ,7798.2
E01000215 ,9808.0
E01000218 ,12155.6
E01000219 ,11485.4
E01000220 ,12309.2
E01000225 ,6020.6
E01000135 ,5140.6
E01000136 ,2854.9
E01000144 ,8379.6
E01000146 ,9061.0
E01000214 ,4911.0
E01000141 ,5029.7
E01000221 ,3348.4
E01000223 ,3731.9
E01000307 ,3297.4
E01000138 ,6187.4
E01000142 ,11208.0
E01000222 ,4899.0
E01000224 ,10542.1
E01000137 ,13479.7
E01000139 ,3954.4
E01000140 ,13422.5
E01000143 ,9575.9
E01033915 ,8146.9
E01033916 ,11882.9
E01033917 ,46146.8
E01033918 ,14455.8
E01033919 ,22681.7
E01033920 ,9098.0
E01000147 ,9456.3
E01033921 ,43552.6
E01033922 ,16712.3
E01033923 ,16659.6
E01033924 ,10997.2
E01033925 ,6282.2
E01000466 ,726.0
E01000467 ,9750.3
E01000468 ,10177.0
E01000469 ,4575.9
E01000416 ,9147.5
E01000418 ,3775.0
E01000422 ,12840.7
E01000464 ,10440.2
E01000465 ,6298.9
E01000470 ,3619.5
E01000333 ,6596.7
E01000335 ,1961.9
E01000336 ,11050.9
E01000337 ,6319.6
E01000338 ,10704.4
E01000403 ,3829.5
E01000404 ,14153.0
E01000405 ,4120.3
E01000408 ,1634.3
E01000332 ,5726.1
E01000402 ,5145.9
E01000406 ,5001.2
E01000407 ,4323.7
E01000334 ,6320.8
E01000417 ,2333.0
E01000419 ,5669.3
E01000420 ,5544.6
E01000442 ,5461.9
E01000437 ,5159.7
E01000438 ,9219.0
E01000439 ,5646.3
E01000440 ,5730.2
E01000441 ,7651.8
E01000373 ,14887.6
E01000429 ,5471.9
E01000430 ,1355.1
E01000431 ,8191.1
E01000433 ,6288.6
E01000434 ,1029.3
E01033789 ,7520.2
E01033790 ,5925.6
E01000356 ,5067.9
E01000357 ,6959.3
E01000359 ,6203.3
E01000421 ,5272.1
E01000450 ,7857.8
E01000451 ,8401.3
E01000452 ,8914.0
E01000367 ,8658.8
