Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000037,Does not apply,0
E01000037,Owned: Owns outright,213
E01000037,Owned: Owns with a mortgage or loan or shared ownership,258
E01000037,Social rented: Rents from council or Local Authority,12
E01000037,Social rented: Other social rented,7
E01000037,Private rented: Private landlord or letting agency,91
E01000037,Private rented: Other private rented or lives rent free,8
E01000038,Does not apply,0
E01000038,Owned: Owns outright,190
E01000038,Owned: Owns with a mortgage or loan or shared ownership,226
E01000038,Social rented: Rents from council or Local Authority,63
E01000038,Social rented: Other social rented,7
E01000038,Private rented: Private landlord or letting agency,69
E01000038,Private rented: Other private rented or lives rent free,11
E01000039,Does not apply,0
E01000039,Owned: Owns outright,174
E01000039,Owned: Owns with a mortgage or loan or shared ownership,261
E01000039,Social rented: Rents from council or Local Authority,32
E01000039,Social rented: Other social rented,53
E01000039,Private rented: Private landlord or letting agency,107
E01000039,Private rented: Other private rented or lives rent free,15
E01000040,Does not apply,0
E01000040,Owned: Owns outright,75
E01000040,Owned: Owns with a mortgage or loan or shared ownership,143
E01000040,Social rented: Rents from council or Local Authority,250
E01000040,Social rented: Other social rented,20
E01000040,Private rented: Private landlord or letting agency,161
E01000040,Private rented: Other private rented or lives rent free,7
E01000041,Does not apply,0
E01000041,Owned: Owns outright,97
E01000041,Owned: Owns with a mortgage or loan or shared ownership,190
E01000041,Social rented: Rents from council or Local Authority,164
E01000041,Social rented: Other social rented,23
E01000041,Private rented: Private landlord or letting agency,118
E01000041,Private rented: Other private rented or lives rent free,10
E01000042,Does not apply,0
E01000042,Owned: Owns outright,69
E01000042,Owned: Owns with a mortgage or loan or shared ownership,158
E01000042,Social rented: Rents from council or Local Authority,207
E01000042,Social rented: Other social rented,78
E01000042,Private rented: Private landlord or letting agency,132
E01000042,Private rented: Other private rented or lives rent free,9
E01000043,Does not apply,0
E01000043,Owned: Owns outright,84
E01000043,Owned: Owns with a mortgage or loan or shared ownership,157
E01000043,Social rented: Rents from council or Local Authority,134
E01000043,Social rented: Other social rented,6
E01000043,Private rented: Private landlord or letting agency,77
E01000043,Private rented: Other private rented or lives rent free,12
E01000044,Does not apply,0
E01000044,Owned: Owns outright,111
E01000044,Owned: Owns with a mortgage or loan or shared ownership,186
E01000044,Social rented: Rents from council or Local Authority,38
E01000044,Social rented: Other social rented,84
E01000044,Private rented: Private landlord or letting agency,229
E01000044,Private rented: Other private rented or lives rent free,14
E01000045,Does not apply,0
E01000045,Owned: Owns outright,87
E01000045,Owned: Owns with a mortgage or loan or shared ownership,163
E01000045,Social rented: Rents from council or Local Authority,182
E01000045,Social rented: Other social rented,16
E01000045,Private rented: Private landlord or letting agency,112
E01000045,Private rented: Other private rented or lives rent free,17
E01000046,Does not apply,0
E01000046,Owned: Owns outright,90
E01000046,Owned: Owns with a mortgage or loan or shared ownership,199
E01000046,Social rented: Rents from council or Local Authority,189
E01000046,Social rented: Other social rented,53
E01000046,Private rented: Private landlord or letting agency,111
E01000046,Private rented: Other private rented or lives rent free,18
E01000049,Does not apply,0
E01000049,Owned: Owns outright,43
E01000049,Owned: Owns with a mortgage or loan or shared ownership,84
E01000049,Social rented: Rents from council or Local Authority,349
E01000049,Social rented: Other social rented,4
E01000049,Private rented: Private landlord or letting agency,83
E01000049,Private rented: Other private rented or lives rent free,13
E01000050,Does not apply,0
E01000050,Owned: Owns outright,107
E01000050,Owned: Owns with a mortgage or loan or shared ownership,183
E01000050,Social rented: Rents from council or Local Authority,130
E01000050,Social rented: Other social rented,17
E01000050,Private rented: Private landlord or letting agency,150
E01000050,Private rented: Other private rented or lives rent free,44
E01000051,Does not apply,0
E01000051,Owned: Owns outright,8
E01000051,Owned: Owns with a mortgage or loan or shared ownership,167
E01000051,Social rented: Rents from council or Local Authority,146
E01000051,Social rented: Other social rented,47
E01000051,Private rented: Private landlord or letting agency,57
E01000051,Private rented: Other private rented or lives rent free,8
E01000052,Does not apply,0
E01000052,Owned: Owns outright,127
E01000052,Owned: Owns with a mortgage or loan or shared ownership,205
E01000052,Social rented: Rents from council or Local Authority,155
E01000052,Social rented: Other social rented,17
E01000052,Private rented: Private landlord or letting agency,268
E01000052,Private rented: Other private rented or lives rent free,24
E01000053,Does not apply,0
E01000053,Owned: Owns outright,73
E01000053,Owned: Owns with a mortgage or loan or shared ownership,147
E01000053,Social rented: Rents from council or Local Authority,145
E01000053,Social rented: Other social rented,85
E01000053,Private rented: Private landlord or letting agency,186
E01000053,Private rented: Other private rented or lives rent free,15
E01000054,Does not apply,0
E01000054,Owned: Owns outright,103
E01000054,Owned: Owns with a mortgage or loan or shared ownership,190
E01000054,Social rented: Rents from council or Local Authority,208
E01000054,Social rented: Other social rented,17
