Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01002468,Social rented: Rents from council or Local Authority,10
E01002468,Social rented: Other social rented,5
E01002468,Private rented: Private landlord or letting agency,87
E01002468,Private rented: Other private rented or lives rent free,5
E01002469,Does not apply,0
E01002469,Owned: Owns outright,287
E01002469,Owned: Owns with a mortgage or loan or shared ownership,270
E01002469,Social rented: Rents from council or Local Authority,4
E01002469,Social rented: Other social rented,4
E01002469,Private rented: Private landlord or letting agency,75
E01002469,Private rented: Other private rented or lives rent free,4
E01002470,Does not apply,0
E01002470,Owned: Owns outright,204
E01002470,Owned: Owns with a mortgage or loan or shared ownership,210
E01002470,Social rented: Rents from council or Local Authority,5
E01002470,Social rented: Other social rented,82
E01002470,Private rented: Private landlord or letting agency,203
E01002470,Private rented: Other private rented or lives rent free,10
E01002471,Does not apply,0
E01002471,Owned: Owns outright,242
E01002471,Owned: Owns with a mortgage or loan or shared ownership,293
E01002471,Social rented: Rents from council or Local Authority,13
E01002471,Social rented: Other social rented,6
E01002471,Private rented: Private landlord or letting agency,65
E01002471,Private rented: Other private rented or lives rent free,12
E01002472,Does not apply,0
E01002472,Owned: Owns outright,232
E01002472,Owned: Owns with a mortgage or loan or shared ownership,154
E01002472,Social rented: Rents from council or Local Authority,33
E01002472,Social rented: Other social rented,59
E01002472,Private rented: Private landlord or letting agency,300
E01002472,Private rented: Other private rented or lives rent free,25
E01002473,Does not apply,0
E01002473,Owned: Owns outright,237
E01002473,Owned: Owns with a mortgage or loan or shared ownership,227
E01002473,Social rented: Rents from council or Local Authority,9
E01002473,Social rented: Other social rented,154
E01002473,Private rented: Private landlord or letting agency,49
E01002473,Private rented: Other private rented or lives rent free,7
E01002474,Does not apply,0
E01002474,Owned: Owns outright,203
E01002474,Owned: Owns with a mortgage or loan or shared ownership,195
E01002474,Social rented: Rents from council or Local Authority,47
E01002474,Social rented: Other social rented,49
E01002474,Private rented: Private landlord or letting agency,186
E01002474,Private rented: Other private rented or lives rent free,11
E01002475,Does not apply,0
E01002475,Owned: Owns outright,203
E01002475,Owned: Owns with a mortgage or loan or shared ownership,154
E01002475,Social rented: Rents from council or Local Authority,34
E01002475,Social rented: Other social rented,136
E01002475,Private rented: Private landlord or letting agency,150
E01002475,Private rented: Other private rented or lives rent free,31
E01002476,Does not apply,0
E01002476,Owned: Owns outright,280
E01002476,Owned: Owns with a mortgage or loan or shared ownership,206
E01002476,Social rented: Rents from council or Local Authority,17
E01002476,Social rented: Other social rented,3
E01002476,Private rented: Private landlord or letting agency,107
E01002476,Private rented: Other private rented or lives rent free,20
E01002477,Does not apply,0
E01002477,Owned: Owns outright,191
E01002477,Owned: Owns with a mortgage or loan or shared ownership,141
E01002477,Social rented: Rents from council or Local Authority,52
E01002477,Social rented: Other social rented,8
E01002477,Private rented: Private landlord or letting agency,158
E01002477,Private rented: Other private rented or lives rent free,18
E01002478,Does not apply,0
E01002478,Owned: Owns outright,216
E01002478,Owned: Owns with a mortgage or loan or shared ownership,188
E01002478,Social rented: Rents from council or Local Authority,55
E01002478,Social rented: Other social rented,7
E01002478,Private rented: Private landlord or letting agency,183
E01002478,Private rented: Other private rented or lives rent free,21
E01002479,Does not apply,0
E01002479,Owned: Owns outright,162
E01002479,Owned: Owns with a mortgage or loan or shared ownership,228
E01002479,Social rented: Rents from council or Local Authority,135
E01002479,Social rented: Other social rented,53
E01002479,Private rented: Private landlord or letting agency,70
E01002479,Private rented: Other private rented or lives rent free,9
E01002480,Does not apply,0
E01002480,Owned: Owns outright,304
E01002480,Owned: Owns with a mortgage or loan or shared ownership,253
E01002480,Social rented: Rents from council or Local Authority,6
E01002480,Social rented: Other social rented,11
E01002480,Private rented: Private landlord or letting agency,101
E01002480,Private rented: Other private rented or lives rent free,20
E01002481,Does not apply,0
E01002481,Owned: Owns outright,168
E01002481,Owned: Owns with a mortgage or loan or shared ownership,190
E01002481,Social rented: Rents from council or Local Authority,180
E01002481,Social rented: Other social rented,24
E01002481,Private rented: Private landlord or letting agency,82
E01002481,Private rented: Other private rented or lives rent free,9
E01002482,Does not apply,0
E01002482,Owned: Owns outright,250
E01002482,Owned: Owns with a mortgage or loan or shared ownership,282
E01002482,Social rented: Rents from council or Local Authority,4
E01002482,Social rented: Other social rented,4
E01002482,Private rented: Private landlord or letting agency,72
E01002482,Private rented: Other private rented or lives rent free,10
E01002483,Does not apply,0
E01002483,Owned: Owns outright,224
E01002483,Owned: Owns with a mortgage or loan or shared ownership,208
E01002483,Social rented: Rents from council or Local Authority,33
E01002483,Social rented: Other social rented,19
E01002483,Private rented: Private landlord or letting agency,234
E01002483,Private rented: Other private rented or lives rent free,11
E01002484,Does not apply,0
E01002484,Owned: Owns outright,166
E01002484,Owned: Owns with a mortgage or loan or shared ownership,164
E01002484,Social rented: Rents from council or Local Authority,112
E01002484,Social rented: Other social rented,22
E01002484,Private rented: Private landlord or letting agency,110
E01002484,Private rented: Other private rented or lives rent free,7
E01002485,Does not apply,0
E01002485,Owned: Owns outright,197
E01002485,Owned: Owns with a mortgage or loan or shared ownership,178
E01002485,Social rented: Rents from council or Local Authority,70
E01002485,Social rented: Other social rented,70
E01002485,Private rented: Private landlord or letting agency,310
E01002485,Private rented: Other private rented or lives rent free,11
E01002486,Does not apply,0
E01002486,Owned: Owns outright,139
E01002486,Owned: Owns with a mortgage or loan or shared ownership,222
E01002486,Social rented: Rents from council or Local Authority,95
E01002486,Social rented: Other social rented,79
E01002486,Private rented: Private landlord or letting agency,141
E01002486,Private rented: Other private rented or lives rent free,15
E01002487,Does not apply,0
E01002487,Owned: Owns outright,134
E01002487,Owned: Owns with a mortgage or loan or shared ownership,164
E01002487,Social rented: Rents from council or Local Authority,42
E01002487,Social rented: Other social rented,95
E01002487,Private rented: Private landlord or letting agency,168
E01002487,Private rented: Other private rented or lives rent free,26
E01002488,Does not apply,0
E01002488,Owned: Owns outright,142
E01002488,Owned: Owns with a mortgage or loan or shared ownership,185
E01002488,Social rented: Rents from council or Local Authority,13
E01002488,Social rented: Other social rented,44
E01002488,Private rented: Private landlord or letting agency,128
E01002488,Private rented: Other private rented or lives rent free,12
E01002489,Does not apply,0
E01002489,Owned: Owns outright,155
E01002489,Owned: Owns with a mortgage or loan or shared ownership,152
E01002489,Social rented: Rents from council or Local Authority,21
E01002489,Social rented: Other social rented,23
E01002489,Private rented: Private landlord or letting agency,188
E01002489,Private rented: Other private rented or lives rent free,17
E01002490,Does not apply,0
E01002490,Owned: Owns outright,176
E01002490,Owned: Owns with a mortgage or loan or shared ownership,209
E01002490,Social rented: Rents from council or Local Authority,13
E01002490,Social rented: Other social rented,34
E01002490,Private rented: Private landlord or letting agency,224
E01002490,Private rented: Other private rented or lives rent free,20
E01002491,Does not apply,0
E01002491,Owned: Owns outright,125
E01002491,Owned: Owns with a mortgage or loan or shared ownership,117
E01002491,Social rented: Rents from council or Local Authority,118
E01002491,Social rented: Other social rented,28
E01002491,Private rented: Private landlord or letting agency,124
E01002491,Private rented: Other private rented or lives rent free,13
E01002492,Does not apply,0
E01002492,Owned: Owns outright,123
E01002492,Owned: Owns with a mortgage or loan or shared ownership,156
E01002492,Social rented: Rents from council or Local Authority,9
E01002492,Social rented: Other social rented,37
E01002492,Private rented: Private landlord or letting agency,154
E01002492,Private rented: Other private rented or lives rent free,19
E01002493,Does not apply,0
E01002493,Owned: Owns outright,83
E01002493,Owned: Owns with a mortgage or loan or shared ownership,137
E01002493,Social rented: Rents from council or Local Authority,165
E01002493,Social rented: Other social rented,46
E01002493,Private rented: Private landlord or letting agency,148
E01002493,Private rented: Other private rented or lives rent free,31
E01002494,Does not apply,0
E01002494,Owned: Owns outright,183
E01002494,Owned: Owns with a mortgage or loan or shared ownership,273
E01002494,Social rented: Rents from council or Local Authority,63
E01002494,Social rented: Other social rented,7
E01002494,Private rented: Private landlord or letting agency,101
E01002494,Private rented: Other private rented or lives rent free,10
E01002495,Does not apply,0
E01002495,Owned: Owns outright,157
E01002495,Owned: Owns with a mortgage or loan or shared ownership,233
E01002495,Social rented: Rents from council or Local Authority,12
E01002495,Social rented: Other social rented,59
E01002495,Private rented: Private landlord or letting agency,136
E01002495,Private rented: Other private rented or lives rent free,104
E01002496,Does not apply,0
E01002496,Owned: Owns outright,178
E01002496,Owned: Owns with a mortgage or loan or shared ownership,272
E01002496,Social rented: Rents from council or Local Authority,68
E01002496,Social rented: Other social rented,11
E01002496,Private rented: Private landlord or letting agency,232
E01002496,Private rented: Other private rented or lives rent free,15
E01002497,Does not apply,0
E01002497,Owned: Owns outright,209
E01002497,Owned: Owns with a mortgage or loan or shared ownership,339
E01002497,Social rented: Rents from council or Local Authority,76
E01002497,Social rented: Other social rented,28
E01002497,Private rented: Private landlord or letting agency,313
E01002497,Private rented: Other private rented or lives rent free,25
E01002498,Does not apply,0
E01002498,Owned: Owns outright,216
E01002498,Owned: Owns with a mortgage or loan or shared ownership,210
E01002498,Social rented: Rents from council or Local Authority,15
E01002498,Social rented: Other social rented,9
E01002498,Private rented: Private landlord or letting agency,65
E01002498,Private rented: Other private rented or lives rent free,10
E01002499,Does not apply,0
E01002499,Owned: Owns outright,224
E01002499,Owned: Owns with a mortgage or loan or shared ownership,223
E01002499,Social rented: Rents from council or Local Authority,56
E01002499,Social rented: Other social rented,12
E01002499,Private rented: Private landlord or letting agency,152
E01002499,Private rented: Other private rented or lives rent free,15
E01002501,Does not apply,0
E01002501,Owned: Owns outright,130
E01002501,Owned: Owns with a mortgage or loan or shared ownership,156
E01002501,Social rented: Rents from council or Local Authority,44
E01002501,Social rented: Other social rented,49
E01002501,Private rented: Private landlord or letting agency,118
E01002501,Private rented: Other private rented or lives rent free,16
E01002502,Does not apply,0
E01002502,Owned: Owns outright,89
E01002502,Owned: Owns with a mortgage or loan or shared ownership,159
E01002502,Social rented: Rents from council or Local Authority,119
E01002502,Social rented: Other social rented,24
E01002502,Private rented: Private landlord or letting agency,161
E01002502,Private rented: Other private rented or lives rent free,14
E01002503,Does not apply,0
E01002503,Owned: Owns outright,72
E01002503,Owned: Owns with a mortgage or loan or shared ownership,150
E01002503,Social rented: Rents from council or Local Authority,112
E01002503,Social rented: Other social rented,45
E01002503,Private rented: Private landlord or letting agency,148
E01002503,Private rented: Other private rented or lives rent free,20
E01002505,Does not apply,0
E01002505,Owned: Owns outright,70
E01002505,Owned: Owns with a mortgage or loan or shared ownership,150
E01002505,Social rented: Rents from council or Local Authority,133
E01002505,Social rented: Other social rented,136
E01002505,Private rented: Private landlord or letting agency,164
E01002505,Private rented: Other private rented or lives rent free,10
E01002506,Does not apply,0
E01002506,Owned: Owns outright,74
E01002506,Owned: Owns with a mortgage or loan or shared ownership,84
E01002506,Social rented: Rents from council or Local Authority,151
E01002506,Social rented: Other social rented,37
E01002506,Private rented: Private landlord or letting agency,280
E01002506,Private rented: Other private rented or lives rent free,25
E01002507,Does not apply,0
E01002507,Owned: Owns outright,128
E01002507,Owned: Owns with a mortgage or loan or shared ownership,181
E01002507,Social rented: Rents from council or Local Authority,8
E01002507,Social rented: Other social rented,55
E01002507,Private rented: Private landlord or letting agency,160
E01002507,Private rented: Other private rented or lives rent free,15
E01002508,Does not apply,0
E01002508,Owned: Owns outright,77
E01002508,Owned: Owns with a mortgage or loan or shared ownership,155
E01002508,Social rented: Rents from council or Local Authority,307
E01002508,Social rented: Other social rented,41
E01002508,Private rented: Private landlord or letting agency,113
E01002508,Private rented: Other private rented or lives rent free,15
E01002509,Does not apply,0
E01002509,Owned: Owns outright,230
E01002509,Owned: Owns with a mortgage or loan or shared ownership,221
E01002509,Social rented: Rents from council or Local Authority,3
E01002509,Social rented: Other social rented,1
E01002509,Private rented: Private landlord or letting agency,47
E01002509,Private rented: Other private rented or lives rent free,7
E01002511,Does not apply,0
E01002511,Owned: Owns outright,162
E01002511,Owned: Owns with a mortgage or loan or shared ownership,169
E01002511,Social rented: Rents from council or Local Authority,95
E01002511,Social rented: Other social rented,82
E01002511,Private rented: Private landlord or letting agency,126
E01002511,Private rented: Other private rented or lives rent free,11
E01002512,Does not apply,0
E01002512,Owned: Owns outright,326
E01002512,Owned: Owns with a mortgage or loan or shared ownership,266
E01002512,Social rented: Rents from council or Local Authority,12
E01002512,Social rented: Other social rented,24
E01002512,Private rented: Private landlord or letting agency,125
E01002512,Private rented: Other private rented or lives rent free,16
E01002513,Does not apply,0
E01002513,Owned: Owns outright,264
E01002513,Owned: Owns with a mortgage or loan or shared ownership,174
E01002513,Social rented: Rents from council or Local Authority,6
E01002513,Social rented: Other social rented,66
E01002513,Private rented: Private landlord or letting agency,70
E01002513,Private rented: Other private rented or lives rent free,8
E01002514,Does not apply,0
E01002514,Owned: Owns outright,238
E01002514,Owned: Owns with a mortgage or loan or shared ownership,224
E01002514,Social rented: Rents from council or Local Authority,75
E01002514,Social rented: Other social rented,37
E01002514,Private rented: Private landlord or letting agency,287
E01002514,Private rented: Other private rented or lives rent free,22
E01002516,Does not apply,0
E01002516,Owned: Owns outright,213
E01002516,Owned: Owns with a mortgage or loan or shared ownership,197
E01002516,Social rented: Rents from council or Local Authority,15
E01002516,Social rented: Other social rented,4
E01002516,Private rented: Private landlord or letting agency,53
E01002516,Private rented: Other private rented or lives rent free,15
E01002518,Does not apply,0
E01002518,Owned: Owns outright,172
E01002518,Owned: Owns with a mortgage or loan or shared ownership,162
E01002518,Social rented: Rents from council or Local Authority,14
E01002518,Social rented: Other social rented,10
E01002518,Private rented: Private landlord or letting agency,110
E01002518,Private rented: Other private rented or lives rent free,21
E01002519,Does not apply,0
E01002519,Owned: Owns outright,182
E01002519,Owned: Owns with a mortgage or loan or shared ownership,315
E01002519,Social rented: Rents from council or Local Authority,138
E01002519,Social rented: Other social rented,40
E01002519,Private rented: Private landlord or letting agency,265
E01002519,Private rented: Other private rented or lives rent free,18
E01002520,Does not apply,0
E01002520,Owned: Owns outright,138
E01002520,Owned: Owns with a mortgage or loan or shared ownership,196
E01002520,Social rented: Rents from council or Local Authority,95
E01002520,Social rented: Other social rented,93
E01002520,Private rented: Private landlord or letting agency,241
E01002520,Private rented: Other private rented or lives rent free,19
E01002521,Does not apply,0
E01002521,Owned: Owns outright,98
E01002521,Owned: Owns with a mortgage or loan or shared ownership,177
E01002521,Social rented: Rents from council or Local Authority,296
E01002521,Social rented: Other social rented,83
E01002521,Private rented: Private landlord or letting agency,340
E01002521,Private rented: Other private rented or lives rent free,23
E01002523,Does not apply,0
E01002523,Owned: Owns outright,138
E01002523,Owned: Owns with a mortgage or loan or shared ownership,171
E01002523,Social rented: Rents from council or Local Authority,49
E01002523,Social rented: Other social rented,10
E01002523,Private rented: Private landlord or letting agency,159
E01002523,Private rented: Other private rented or lives rent free,18
E01002525,Does not apply,0
E01002525,Owned: Owns outright,199
E01002525,Owned: Owns with a mortgage or loan or shared ownership,267
E01002525,Social rented: Rents from council or Local Authority,34
E01002525,Social rented: Other social rented,26
E01002525,Private rented: Private landlord or letting agency,141
E01002525,Private rented: Other private rented or lives rent free,19
E01002526,Does not apply,0
E01002526,Owned: Owns outright,111
E01002526,Owned: Owns with a mortgage or loan or shared ownership,334
E01002526,Social rented: Rents from council or Local Authority,125
E01002526,Social rented: Other social rented,160
E01002526,Private rented: Private landlord or letting agency,252
E01002526,Private rented: Other private rented or lives rent free,17
E01002527,Does not apply,0
E01002527,Owned: Owns outright,183
E01002527,Owned: Owns with a mortgage or loan or shared ownership,153
E01002527,Social rented: Rents from council or Local Authority,36
E01002527,Social rented: Other social rented,87
E01002527,Private rented: Private landlord or letting agency,156
E01002527,Private rented: Other private rented or lives rent free,12
E01002528,Does not apply,0
E01002528,Owned: Owns outright,140
E01002528,Owned: Owns with a mortgage or loan or shared ownership,164
E01002528,Social rented: Rents from council or Local Authority,135
E01002528,Social rented: Other social rented,54
E01002528,Private rented: Private landlord or letting agency,83
E01002528,Private rented: Other private rented or lives rent free,4
E01002529,Does not apply,0
E01002529,Owned: Owns outright,139
E01002529,Owned: Owns with a mortgage or loan or shared ownership,254
E01002529,Social rented: Rents from council or Local Authority,28
E01002529,Social rented: Other social rented,121
E01002529,Private rented: Private landlord or letting agency,344
E01002529,Private rented: Other private rented or lives rent free,22
E01002530,Does not apply,0
E01002530,Owned: Owns outright,102
E01002530,Owned: Owns with a mortgage or loan or shared ownership,137
E01002530,Social rented: Rents from council or Local Authority,199
E01002530,Social rented: Other social rented,71
E01002530,Private rented: Private landlord or letting agency,95
E01002530,Private rented: Other private rented or lives rent free,12
E01002531,Does not apply,0
E01002531,Owned: Owns outright,197
E01002531,Owned: Owns with a mortgage or loan or shared ownership,195
E01002531,Social rented: Rents from council or Local Authority,15
E01002531,Social rented: Other social rented,114
E01002531,Private rented: Private landlord or letting agency,117
E01002531,Private rented: Other private rented or lives rent free,13
E01002533,Does not apply,0
E01002533,Owned: Owns outright,158
E01002533,Owned: Owns with a mortgage or loan or shared ownership,219
E01002533,Social rented: Rents from council or Local Authority,53
E01002533,Social rented: Other social rented,81
E01002533,Private rented: Private landlord or letting agency,65
E01002533,Private rented: Other private rented or lives rent free,8
E01002534,Does not apply,0
E01002534,Owned: Owns outright,208
E01002534,Owned: Owns with a mortgage or loan or shared ownership,229
E01002534,Social rented: Rents from council or Local Authority,83
E01002534,Social rented: Other social rented,19
E01002534,Private rented: Private landlord or letting agency,52
E01002534,Private rented: Other private rented or lives rent free,6
E01002535,Does not apply,0
E01002535,Owned: Owns outright,290
E01002535,Owned: Owns with a mortgage or loan or shared ownership,248
E01002535,Social rented: Rents from council or Local Authority,6
E01002535,Social rented: Other social rented,51
E01002535,Private rented: Private landlord or letting agency,378
E01002535,Private rented: Other private rented or lives rent free,27
E01002536,Does not apply,0
E01002536,Owned: Owns outright,167
E01002536,Owned: Owns with a mortgage or loan or shared ownership,144
E01002536,Social rented: Rents from council or Local Authority,8
E01002536,Social rented: Other social rented,8
E01002536,Private rented: Private landlord or letting agency,163
E01002536,Private rented: Other private rented or lives rent free,98
E01002537,Does not apply,0
E01002537,Owned: Owns outright,279
E01002537,Owned: Owns with a mortgage or loan or shared ownership,399
E01002537,Social rented: Rents from council or Local Authority,7
E01002537,Social rented: Other social rented,55
E01002537,Private rented: Private landlord or letting agency,224
E01002537,Private rented: Other private rented or lives rent free,75
E01002538,Does not apply,0
E01002538,Owned: Owns outright,274
E01002538,Owned: Owns with a mortgage or loan or shared ownership,262
E01002538,Social rented: Rents from council or Local Authority,93
E01002538,Social rented: Other social rented,10
E01002538,Private rented: Private landlord or letting agency,103
E01002538,Private rented: Other private rented or lives rent free,21
E01002539,Does not apply,0
E01002539,Owned: Owns outright,304
E01002539,Owned: Owns with a mortgage or loan or shared ownership,229
E01002539,Social rented: Rents from council or Local Authority,30
E01002539,Social rented: Other social rented,58
E01002539,Private rented: Private landlord or letting agency,64
E01002539,Private rented: Other private rented or lives rent free,11
E01002540,Does not apply,0
E01002540,Owned: Owns outright,111
E01002540,Owned: Owns with a mortgage or loan or shared ownership,200
E01002540,Social rented: Rents from council or Local Authority,98
E01002540,Social rented: Other social rented,63
E01002540,Private rented: Private landlord or letting agency,160
E01002540,Private rented: Other private rented or lives rent free,12
E01002541,Does not apply,0
E01002541,Owned: Owns outright,204
E01002541,Owned: Owns with a mortgage or loan or shared ownership,348
E01002541,Social rented: Rents from council or Local Authority,12
E01002541,Social rented: Other social rented,47
E01002541,Private rented: Private landlord or letting agency,184
E01002541,Private rented: Other private rented or lives rent free,7
E01002542,Does not apply,0
E01002542,Owned: Owns outright,99
E01002542,Owned: Owns with a mortgage or loan or shared ownership,142
E01002542,Social rented: Rents from council or Local Authority,186
E01002542,Social rented: Other social rented,30
E01002542,Private rented: Private landlord or letting agency,229
E01002542,Private rented: Other private rented or lives rent free,18
E01002543,Does not apply,0
E01002543,Owned: Owns outright,108
E01002543,Owned: Owns with a mortgage or loan or shared ownership,196
E01002543,Social rented: Rents from council or Local Authority,99
E01002543,Social rented: Other social rented,64
E01002543,Private rented: Private landlord or letting agency,168
E01002543,Private rented: Other private rented or lives rent free,10
E01002544,Does not apply,0
E01002544,Owned: Owns outright,162
E01002544,Owned: Owns with a mortgage or loan or shared ownership,198
E01002544,Social rented: Rents from council or Local Authority,8
E01002544,Social rented: Other social rented,17
E01002544,Private rented: Private landlord or letting agency,160
E01002544,Private rented: Other private rented or lives rent free,11
E01002545,Does not apply,0
E01002545,Owned: Owns outright,53
E01002545,Owned: Owns with a mortgage or loan or shared ownership,34
E01002545,Social rented: Rents from council or Local Authority,24
E01002545,Social rented: Other social rented,315
E01002545,Private rented: Private landlord or letting agency,62
E01002545,Private rented: Other private rented or lives rent free,4
E01002546,Does not apply,0
E01002546,Owned: Owns outright,117
E01002546,Owned: Owns with a mortgage or loan or shared ownership,162
E01002546,Social rented: Rents from council or Local Authority,34
E01002546,Social rented: Other social rented,9
E01002546,Private rented: Private landlord or letting agency,117
E01002546,Private rented: Other private rented or lives rent free,17
E01002547,Does not apply,0
E01002547,Owned: Owns outright,121
E01002547,Owned: Owns with a mortgage or loan or shared ownership,119
E01002547,Social rented: Rents from council or Local Authority,22
E01002547,Social rented: Other social rented,47
E01002547,Private rented: Private landlord or letting agency,175
E01002547,Private rented: Other private rented or lives rent free,21
E01002548,Does not apply,0
E01002548,Owned: Owns outright,126
E01002548,Owned: Owns with a mortgage or loan or shared ownership,165
E01002548,Social rented: Rents from council or Local Authority,248
E01002548,Social rented: Other social rented,57
E01002548,Private rented: Private landlord or letting agency,127
E01002548,Private rented: Other private rented or lives rent free,8
E01002549,Does not apply,0
E01002549,Owned: Owns outright,175
E01002549,Owned: Owns with a mortgage or loan or shared ownership,244
E01002549,Social rented: Rents from council or Local Authority,75
E01002549,Social rented: Other social rented,76
E01002549,Private rented: Private landlord or letting agency,136
E01002549,Private rented: Other private rented or lives rent free,9
E01002550,Does not apply,0
E01002550,Owned: Owns outright,110
E01002550,Owned: Owns with a mortgage or loan or shared ownership,204
E01002550,Social rented: Rents from council or Local Authority,99
E01002550,Social rented: Other social rented,59
E01002550,Private rented: Private landlord or letting agency,312
E01002550,Private rented: Other private rented or lives rent free,10
E01002551,Does not apply,0
E01002551,Owned: Owns outright,142
E01002551,Owned: Owns with a mortgage or loan or shared ownership,202
E01002551,Social rented: Rents from council or Local Authority,132
E01002551,Social rented: Other social rented,33
E01002551,Private rented: Private landlord or letting agency,154
E01002551,Private rented: Other private rented or lives rent free,23
E01002552,Does not apply,0
E01002552,Owned: Owns outright,104
E01002552,Owned: Owns with a mortgage or loan or shared ownership,167
E01002552,Social rented: Rents from council or Local Authority,128
E01002552,Social rented: Other social rented,39
E01002552,Private rented: Private landlord or letting agency,121
E01002552,Private rented: Other private rented or lives rent free,10
E01002553,Does not apply,0
E01002553,Owned: Owns outright,101
E01002553,Owned: Owns with a mortgage or loan or shared ownership,156
E01002553,Social rented: Rents from council or Local Authority,156
E01002553,Social rented: Other social rented,82
E01002553,Private rented: Private landlord or letting agency,120
E01002553,Private rented: Other private rented or lives rent free,9
E01002555,Does not apply,0
E01002555,Owned: Owns outright,210
E01002555,Owned: Owns with a mortgage or loan or shared ownership,236
E01002555,Social rented: Rents from council or Local Authority,19
E01002555,Social rented: Other social rented,24
E01002555,Private rented: Private landlord or letting agency,197
E01002555,Private rented: Other private rented or lives rent free,18
E01002556,Does not apply,0
E01002556,Owned: Owns outright,153
E01002556,Owned: Owns with a mortgage or loan or shared ownership,233
E01002556,Social rented: Rents from council or Local Authority,68
E01002556,Social rented: Other social rented,18
E01002556,Private rented: Private landlord or letting agency,175
E01002556,Private rented: Other private rented or lives rent free,14
E01002557,Does not apply,0
E01002557,Owned: Owns outright,144
E01002557,Owned: Owns with a mortgage or loan or shared ownership,251
E01002557,Social rented: Rents from council or Local Authority,106
E01002557,Social rented: Other social rented,41
E01002557,Private rented: Private landlord or letting agency,174
E01002557,Private rented: Other private rented or lives rent free,15
E01002558,Does not apply,0
E01002558,Owned: Owns outright,116
E01002558,Owned: Owns with a mortgage or loan or shared ownership,230
E01002558,Social rented: Rents from council or Local Authority,57
E01002558,Social rented: Other social rented,233
E01002558,Private rented: Private landlord or letting agency,169
E01002558,Private rented: Other private rented or lives rent free,14
E01002559,Does not apply,0
E01002559,Owned: Owns outright,114
E01002559,Owned: Owns with a mortgage or loan or shared ownership,283
E01002559,Social rented: Rents from council or Local Authority,236
E01002559,Social rented: Other social rented,78
E01002559,Private rented: Private landlord or letting agency,195
E01002559,Private rented: Other private rented or lives rent free,13
E01002560,Does not apply,0
E01002560,Owned: Owns outright,144
E01002560,Owned: Owns with a mortgage or loan or shared ownership,227
E01002560,Social rented: Rents from council or Local Authority,129
E01002560,Social rented: Other social rented,43
E01002560,Private rented: Private landlord or letting agency,102
E01002560,Private rented: Other private rented or lives rent free,18
E01002561,Does not apply,0
E01002561,Owned: Owns outright,31
E01002561,Owned: Owns with a mortgage or loan or shared ownership,162
E01002561,Social rented: Rents from council or Local Authority,161
E01002561,Social rented: Other social rented,154
E01002561,Private rented: Private landlord or letting agency,86
E01002561,Private rented: Other private rented or lives rent free,3
E01002562,Does not apply,0
E01002562,Owned: Owns outright,113
E01002562,Owned: Owns with a mortgage or loan or shared ownership,126
E01002562,Social rented: Rents from council or Local Authority,191
E01002562,Social rented: Other social rented,8
E01002562,Private rented: Private landlord or letting agency,73
E01002562,Private rented: Other private rented or lives rent free,11
E01002563,Does not apply,0
E01002563,Owned: Owns outright,217
E01002563,Owned: Owns with a mortgage or loan or shared ownership,266
E01002563,Social rented: Rents from council or Local Authority,25
E01002563,Social rented: Other social rented,53
E01002563,Private rented: Private landlord or letting agency,165
E01002563,Private rented: Other private rented or lives rent free,21
E01002564,Does not apply,0
E01002564,Owned: Owns outright,127
E01002564,Owned: Owns with a mortgage or loan or shared ownership,192
E01002564,Social rented: Rents from council or Local Authority,233
E01002564,Social rented: Other social rented,44
E01002564,Private rented: Private landlord or letting agency,113
E01002564,Private rented: Other private rented or lives rent free,16
E01002565,Does not apply,0
E01002565,Owned: Owns outright,189
E01002565,Owned: Owns with a mortgage or loan or shared ownership,324
E01002565,Social rented: Rents from council or Local Authority,127
E01002565,Social rented: Other social rented,121
E01002565,Private rented: Private landlord or letting agency,262
E01002565,Private rented: Other private rented or lives rent free,31
E01002567,Does not apply,0
E01002567,Owned: Owns outright,233
E01002567,Owned: Owns with a mortgage or loan or shared ownership,252
E01002567,Social rented: Rents from council or Local Authority,82
E01002567,Social rented: Other social rented,21
E01002567,Private rented: Private landlord or letting agency,270
E01002567,Private rented: Other private rented or lives rent free,14
E01002569,Does not apply,0
E01002569,Owned: Owns outright,225
E01002569,Owned: Owns with a mortgage or loan or shared ownership,294
E01002569,Social rented: Rents from council or Local Authority,49
E01002569,Social rented: Other social rented,29
E01002569,Private rented: Private landlord or letting agency,347
E01002569,Private rented: Other private rented or lives rent free,19
E01002570,Does not apply,0
E01002570,Owned: Owns outright,132
E01002570,Owned: Owns with a mortgage or loan or shared ownership,139
E01002570,Social rented: Rents from council or Local Authority,40
E01002570,Social rented: Other social rented,59
E01002570,Private rented: Private landlord or letting agency,282
E01002570,Private rented: Other private rented or lives rent free,15
E01002571,Does not apply,0
E01002571,Owned: Owns outright,230
E01002571,Owned: Owns with a mortgage or loan or shared ownership,188
E01002571,Social rented: Rents from council or Local Authority,12
E01002571,Social rented: Other social rented,9
E01002571,Private rented: Private landlord or letting agency,145
E01002571,Private rented: Other private rented or lives rent free,5
E01002572,Does not apply,0
E01002572,Owned: Owns outright,72
E01002572,Owned: Owns with a mortgage or loan or shared ownership,135
E01002572,Social rented: Rents from council or Local Authority,234
E01002572,Social rented: Other social rented,53
E01002572,Private rented: Private landlord or letting agency,100
E01002572,Private rented: Other private rented or lives rent free,25
E01002573,Does not apply,0
