Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01002533,Born in the UK,1227
E01002533,Born outside the UK,230
E01002534,Does not apply,0
E01002534,Born in the UK,1235
E01002534,Born outside the UK,288
E01002535,Does not apply,0
E01002535,Born in the UK,1350
E01002535,Born outside the UK,839
E01002536,Does not apply,0
E01002536,Born in the UK,930
E01002536,Born outside the UK,398
E01002537,Does not apply,0
E01002537,Born in the UK,1746
E01002537,Born outside the UK,739
E01002538,Does not apply,0
E01002538,Born in the UK,1335
E01002538,Born outside the UK,353
E01002539,Does not apply,0
E01002539,Born in the UK,1403
E01002539,Born outside the UK,308
E01002540,Does not apply,0
E01002540,Born in the UK,910
E01002540,Born outside the UK,915
E01002541,Does not apply,0
E01002541,Born in the UK,1101
E01002541,Born outside the UK,905
E01002542,Does not apply,0
E01002542,Born in the UK,1044
E01002542,Born outside the UK,1076
E01002543,Does not apply,0
E01002543,Born in the UK,1018
E01002543,Born outside the UK,905
E01002544,Does not apply,0
E01002544,Born in the UK,855
E01002544,Born outside the UK,839
E01002545,Does not apply,0
E01002545,Born in the UK,944
E01002545,Born outside the UK,551
E01002546,Does not apply,0
E01002546,Born in the UK,734
E01002546,Born outside the UK,1002
E01002547,Does not apply,0
E01002547,Born in the UK,716
E01002547,Born outside the UK,1000
E01002548,Does not apply,0
E01002548,Born in the UK,1563
E01002548,Born outside the UK,557
E01002549,Does not apply,0
E01002549,Born in the UK,1246
E01002549,Born outside the UK,624
E01002550,Does not apply,0
E01002550,Born in the UK,1133
E01002550,Born outside the UK,712
E01002551,Does not apply,0
E01002551,Born in the UK,1299
E01002551,Born outside the UK,837
E01002552,Does not apply,0
E01002552,Born in the UK,1148
E01002552,Born outside the UK,599
E01002553,Does not apply,0
E01002553,Born in the UK,1164
E01002553,Born outside the UK,595
E01002555,Does not apply,0
E01002555,Born in the UK,1036
E01002555,Born outside the UK,1032
E01002556,Does not apply,0
E01002556,Born in the UK,1072
E01002556,Born outside the UK,783
E01002557,Does not apply,0
E01002557,Born in the UK,1213
E01002557,Born outside the UK,864
E01002558,Does not apply,0
E01002558,Born in the UK,1337
E01002558,Born outside the UK,861
E01002559,Does not apply,0
E01002559,Born in the UK,1527
E01002559,Born outside the UK,1049
E01002560,Does not apply,0
E01002560,Born in the UK,1174
E01002560,Born outside the UK,837
E01002561,Does not apply,0
E01002561,Born in the UK,1014
E01002561,Born outside the UK,699
E01002562,Does not apply,0
E01002562,Born in the UK,889
E01002562,Born outside the UK,595
E01002563,Does not apply,0
E01002563,Born in the UK,1101
E01002563,Born outside the UK,809
E01002564,Does not apply,0
E01002564,Born in the UK,1193
E01002564,Born outside the UK,702
E01002565,Does not apply,0
E01002565,Born in the UK,1418
E01002565,Born outside the UK,1088
E01002567,Does not apply,0
E01002567,Born in the UK,1283
E01002567,Born outside the UK,543
E01002569,Does not apply,0
E01002569,Born in the UK,1222
E01002569,Born outside the UK,898
E01002570,Does not apply,0
E01002570,Born in the UK,873
E01002570,Born outside the UK,747
E01002571,Does not apply,0
E01002571,Born in the UK,816
E01002571,Born outside the UK,467
E01002572,Does not apply,0
E01002572,Born in the UK,986
E01002572,Born outside the UK,559
E01002573,Does not apply,0
E01002573,Born in the UK,975
E01002573,Born outside the UK,573
E01002574,Does not apply,0
E01002574,Born in the UK,1079
E01002574,Born outside the UK,654
E01002575,Does not apply,0
E01002575,Born in the UK,944
E01002575,Born outside the UK,675
E01002576,Does not apply,0
E01002576,Born in the UK,1169
E01002576,Born outside the UK,513
E01002577,Does not apply,0
E01002577,Born in the UK,940
E01002577,Born outside the UK,722
E01002578,Does not apply,0
E01002578,Born in the UK,1049
E01002578,Born outside the UK,499
E01002579,Does not apply,0
E01002579,Born in the UK,1137
E01002579,Born outside the UK,589
E01002580,Does not apply,0
E01002580,Born in the UK,828
E01002580,Born outside the UK,623
E01002581,Does not apply,0
E01002581,Born in the UK,1157
E01002581,Born outside the UK,724
E01002582,Does not apply,0
E01002582,Born in the UK,1147
E01002582,Born outside the UK,515
E01002583,Does not apply,0
E01002583,Born in the UK,690
E01002583,Born outside the UK,1119
E01002584,Does not apply,0
E01002584,Born in the UK,637
E01002584,Born outside the UK,1488
E01002585,Does not apply,0
E01002585,Born in the UK,699
E01002585,Born outside the UK,1132
E01002586,Does not apply,0
E01002586,Born in the UK,613
E01002586,Born outside the UK,1224
E01002587,Does not apply,0
E01002587,Born in the UK,851
E01002587,Born outside the UK,1535
E01002588,Does not apply,0
E01002588,Born in the UK,1126
E01002588,Born outside the UK,900
E01002589,Does not apply,0
E01002589,Born in the UK,1051
E01002589,Born outside the UK,1456
E01002590,Does not apply,0
E01002590,Born in the UK,1496
E01002590,Born outside the UK,1170
E01002591,Does not apply,0
E01002591,Born in the UK,1172
E01002591,Born outside the UK,734
E01002592,Does not apply,0
E01002592,Born in the UK,1113
E01002592,Born outside the UK,1038
E01002593,Does not apply,0
E01002593,Born in the UK,1053
E01002593,Born outside the UK,1210
E01002594,Does not apply,0
E01002594,Born in the UK,1058
E01002594,Born outside the UK,1253
E01002595,Does not apply,0
E01002595,Born in the UK,1320
E01002595,Born outside the UK,939
E01002596,Does not apply,0
E01002596,Born in the UK,1291
E01002596,Born outside the UK,852
E01002598,Does not apply,0
E01002598,Born in the UK,1152
E01002598,Born outside the UK,775
E01002599,Does not apply,0
E01002599,Born in the UK,1007
E01002599,Born outside the UK,572
E01002600,Does not apply,0
E01002600,Born in the UK,995
E01002600,Born outside the UK,660
E01002601,Does not apply,0
E01002601,Born in the UK,1161
E01002601,Born outside the UK,713
E01002602,Does not apply,0
E01002602,Born in the UK,1099
E01002602,Born outside the UK,396
E01002603,Does not apply,0
E01002603,Born in the UK,1128
E01002603,Born outside the UK,819
E01002604,Does not apply,0
E01002604,Born in the UK,1065
E01002604,Born outside the UK,573
E01002605,Does not apply,0
E01002605,Born in the UK,1418
E01002605,Born outside the UK,936
E01002606,Does not apply,0
E01002606,Born in the UK,1054
E01002606,Born outside the UK,635
E01002607,Does not apply,0
E01002607,Born in the UK,1382
E01002607,Born outside the UK,1065
E01002608,Does not apply,0
E01002608,Born in the UK,1166
E01002608,Born outside the UK,732
E01002609,Does not apply,0
E01002609,Born in the UK,1282
E01002609,Born outside the UK,539
E01002610,Does not apply,0
E01002610,Born in the UK,1161
E01002610,Born outside the UK,601
E01002611,Does not apply,0
E01002611,Born in the UK,1265
E01002611,Born outside the UK,760
E01002612,Does not apply,0
E01002612,Born in the UK,1136
E01002612,Born outside the UK,968
E01002613,Does not apply,0
E01002613,Born in the UK,1130
E01002613,Born outside the UK,797
E01002614,Does not apply,0
E01002614,Born in the UK,1087
E01002614,Born outside the UK,1035
E01002615,Does not apply,0
E01002615,Born in the UK,1015
E01002615,Born outside the UK,608
E01002616,Does not apply,0
E01002616,Born in the UK,968
E01002616,Born outside the UK,656
E01002617,Does not apply,0
E01002617,Born in the UK,1128
E01002617,Born outside the UK,506
E01002618,Does not apply,0
E01002618,Born in the UK,916
E01002618,Born outside the UK,1144
E01002619,Does not apply,0
E01002619,Born in the UK,832
E01002619,Born outside the UK,1259
E01002620,Does not apply,0
E01002620,Born in the UK,1117
E01002620,Born outside the UK,1636
E01002621,Does not apply,0
E01002621,Born in the UK,823
E01002621,Born outside the UK,1184
E01002622,Does not apply,0
E01002622,Born in the UK,813
E01002622,Born outside the UK,1107
E01002623,Does not apply,0
E01002623,Born in the UK,871
E01002623,Born outside the UK,1054
E01002624,Does not apply,0
E01002624,Born in the UK,610
E01002624,Born outside the UK,1168
E01002625,Does not apply,0
E01002625,Born in the UK,762
E01002625,Born outside the UK,950
E01002626,Does not apply,0
E01002626,Born in the UK,706
E01002626,Born outside the UK,917
E01002627,Does not apply,0
E01002627,Born in the UK,824
E01002627,Born outside the UK,967
E01002628,Does not apply,0
E01002628,Born in the UK,859
E01002628,Born outside the UK,1310
E01002629,Does not apply,0
E01002629,Born in the UK,1095
E01002629,Born outside the UK,1585
E01002630,Does not apply,0
E01002630,Born in the UK,641
E01002630,Born outside the UK,1429
E01002631,Does not apply,0
E01002631,Born in the UK,769
E01002631,Born outside the UK,1070
E01002632,Does not apply,0
E01002632,Born in the UK,855
E01002632,Born outside the UK,1063
E01002633,Does not apply,0
E01002633,Born in the UK,1103
E01002633,Born outside the UK,1126
E01002634,Does not apply,0
E01002634,Born in the UK,945
E01002634,Born outside the UK,822
E01002635,Does not apply,0
E01002635,Born in the UK,800
E01002635,Born outside the UK,1201
E01002636,Does not apply,0
E01002636,Born in the UK,859
E01002636,Born outside the UK,1263
E01002637,Does not apply,0
E01002637,Born in the UK,787
E01002637,Born outside the UK,1122
E01002638,Does not apply,0
E01002638,Born in the UK,1090
E01002638,Born outside the UK,1122
E01002639,Does not apply,0
E01002639,Born in the UK,589
E01002639,Born outside the UK,1194
E01002640,Does not apply,0
E01002640,Born in the UK,571
E01002640,Born outside the UK,1684
E01002641,Does not apply,0
E01002641,Born in the UK,879
E01002641,Born outside the UK,1812
E01002643,Does not apply,0
E01002643,Born in the UK,1365
E01002643,Born outside the UK,1368
E01002645,Does not apply,0
E01002645,Born in the UK,742
E01002645,Born outside the UK,1516
E01002646,Does not apply,0
E01002646,Born in the UK,948
E01002646,Born outside the UK,1376
E01002647,Does not apply,0
E01002647,Born in the UK,1020
E01002647,Born outside the UK,1194
E01002649,Does not apply,0
E01002649,Born in the UK,845
E01002649,Born outside the UK,1208
E01002650,Does not apply,0
E01002650,Born in the UK,1111
E01002650,Born outside the UK,1414
E01002651,Does not apply,0
E01002651,Born in the UK,648
E01002651,Born outside the UK,1261
E01002652,Does not apply,0
E01002652,Born in the UK,802
E01002652,Born outside the UK,1115
E01002653,Does not apply,0
E01002653,Born in the UK,893
E01002653,Born outside the UK,1006
E01002654,Does not apply,0
E01002654,Born in the UK,1004
E01002654,Born outside the UK,908
E01002655,Does not apply,0
E01002655,Born in the UK,923
E01002655,Born outside the UK,945
E01002656,Does not apply,0
E01002656,Born in the UK,943
E01002656,Born outside the UK,476
E01002657,Does not apply,0
E01002657,Born in the UK,1073
E01002657,Born outside the UK,858
E01002658,Does not apply,0
E01002658,Born in the UK,903
E01002658,Born outside the UK,445
E01002659,Does not apply,0
E01002659,Born in the UK,757
E01002659,Born outside the UK,702
E01002660,Does not apply,0
E01002660,Born in the UK,662
E01002660,Born outside the UK,1426
E01002661,Does not apply,0
E01002661,Born in the UK,651
E01002661,Born outside the UK,1724
E01002662,Does not apply,0
E01002662,Born in the UK,759
E01002662,Born outside the UK,1751
E01002663,Does not apply,0
E01002663,Born in the UK,754
E01002663,Born outside the UK,1406
E01002665,Does not apply,0
E01002665,Born in the UK,702
E01002665,Born outside the UK,1041
E01002666,Does not apply,0
E01002666,Born in the UK,672
E01002666,Born outside the UK,1190
E01002667,Does not apply,0
E01002667,Born in the UK,1310
E01002667,Born outside the UK,883
E01002668,Does not apply,0
E01002668,Born in the UK,1393
E01002668,Born outside the UK,890
E01002669,Does not apply,0
E01002669,Born in the UK,1273
E01002669,Born outside the UK,639
E01002670,Does not apply,0
E01002670,Born in the UK,1173
E01002670,Born outside the UK,777
E01002671,Does not apply,0
E01002671,Born in the UK,1398
E01002671,Born outside the UK,449
E01002672,Does not apply,0
E01002672,Born in the UK,838
E01002672,Born outside the UK,751
E01002673,Does not apply,0
E01002673,Born in the UK,886
E01002673,Born outside the UK,772
E01002674,Does not apply,0
E01002674,Born in the UK,928
E01002674,Born outside the UK,1161
E01002675,Does not apply,0
E01002675,Born in the UK,1488
E01002675,Born outside the UK,1084
E01002676,Does not apply,0
E01002676,Born in the UK,779
E01002676,Born outside the UK,870
E01002677,Does not apply,0
E01002677,Born in the UK,1081
E01002677,Born outside the UK,994
E01002678,Does not apply,0
E01002678,Born in the UK,1011
E01002678,Born outside the UK,1042
E01002679,Does not apply,0
E01002679,Born in the UK,910
E01002679,Born outside the UK,946
E01002680,Does not apply,0
E01002680,Born in the UK,1086
E01002680,Born outside the UK,992
E01002681,Does not apply,0
E01002681,Born in the UK,1388
E01002681,Born outside the UK,1049
E01002682,Does not apply,0
E01002682,Born in the UK,1377
E01002682,Born outside the UK,960
E01002686,Does not apply,0
E01002686,Born in the UK,1162
E01002686,Born outside the UK,613
E01002687,Does not apply,0
E01002687,Born in the UK,913
E01002687,Born outside the UK,760
E01002689,Does not apply,0
E01002689,Born in the UK,944
E01002689,Born outside the UK,615
E01002690,Does not apply,0
E01002690,Born in the UK,885
E01002690,Born outside the UK,494
E01002691,Does not apply,0
E01002691,Born in the UK,665
E01002691,Born outside the UK,964
E01002692,Does not apply,0
E01002692,Born in the UK,1052
E01002692,Born outside the UK,1053
E01002693,Does not apply,0
E01002693,Born in the UK,1093
E01002693,Born outside the UK,697
E01002694,Does not apply,0
E01002694,Born in the UK,1082
E01002694,Born outside the UK,583
E01002695,Does not apply,0
E01002695,Born in the UK,758
E01002695,Born outside the UK,718
E01002696,Does not apply,0
E01002696,Born in the UK,1026
E01002696,Born outside the UK,721
E01002697,Does not apply,0
E01002697,Born in the UK,960
E01002697,Born outside the UK,1006
E01002698,Does not apply,0
E01002698,Born in the UK,1243
E01002698,Born outside the UK,798
E01002699,Does not apply,0
E01002699,Born in the UK,1050
E01002699,Born outside the UK,435
E01002700,Does not apply,0
E01002700,Born in the UK,939
E01002700,Born outside the UK,437
E01002701,Does not apply,0
E01002701,Born in the UK,809
E01002701,Born outside the UK,661
E01002702,Does not apply,0
E01002702,Born in the UK,1316
E01002702,Born outside the UK,1152
E01002703,Does not apply,0
E01002703,Born in the UK,1235
E01002703,Born outside the UK,1106
E01002704,Does not apply,0
E01002704,Born in the UK,1241
E01002704,Born outside the UK,1118
E01002706,Does not apply,0
E01002706,Born in the UK,1247
E01002706,Born outside the UK,791
E01002707,Does not apply,0
E01002707,Born in the UK,941
E01002707,Born outside the UK,880
E01002708,Does not apply,0
E01002708,Born in the UK,1175
E01002708,Born outside the UK,940
E01002709,Does not apply,0
E01002709,Born in the UK,960
E01002709,Born outside the UK,727
E01002710,Does not apply,0
E01002710,Born in the UK,945
E01002710,Born outside the UK,654
E01002711,Does not apply,0
E01002711,Born in the UK,900
E01002711,Born outside the UK,1129
E01002712,Does not apply,0
E01002712,Born in the UK,808
E01002712,Born outside the UK,570
E01002713,Does not apply,0
E01002713,Born in the UK,1941
E01002713,Born outside the UK,871
E01002714,Does not apply,0
E01002714,Born in the UK,953
E01002714,Born outside the UK,586
E01002715,Does not apply,0
E01002715,Born in the UK,955
E01002715,Born outside the UK,730
E01002716,Does not apply,0
E01002716,Born in the UK,1418
E01002716,Born outside the UK,842
E01002717,Does not apply,0
E01002717,Born in the UK,762
E01002717,Born outside the UK,444
E01002718,Does not apply,0
E01002718,Born in the UK,995
E01002718,Born outside the UK,582
E01002719,Does not apply,0
E01002719,Born in the UK,992
E01002719,Born outside the UK,499
E01002720,Does not apply,0
E01002720,Born in the UK,1397
E01002720,Born outside the UK,726
E01002721,Does not apply,0
E01002721,Born in the UK,1067
E01002721,Born outside the UK,568
E01002722,Does not apply,0
E01002722,Born in the UK,877
E01002722,Born outside the UK,565
E01002723,Does not apply,0
E01002723,Born in the UK,943
E01002723,Born outside the UK,697
E01002724,Does not apply,0
E01002724,Born in the UK,977
E01002724,Born outside the UK,946
E01002725,Does not apply,0
E01002725,Born in the UK,831
E01002725,Born outside the UK,528
E01002726,Does not apply,0
E01002726,Born in the UK,991
E01002726,Born outside the UK,720
E01002727,Does not apply,0
E01002727,Born in the UK,934
E01002727,Born outside the UK,580
E01002728,Does not apply,0
E01002728,Born in the UK,660
E01002728,Born outside the UK,657
E01002729,Does not apply,0
E01002729,Born in the UK,986
E01002729,Born outside the UK,511
E01002730,Does not apply,0
E01002730,Born in the UK,1008
E01002730,Born outside the UK,745
E01002732,Does not apply,0
E01002732,Born in the UK,1093
E01002732,Born outside the UK,715
E01002733,Does not apply,0
E01002733,Born in the UK,858
E01002733,Born outside the UK,585
E01002734,Does not apply,0
E01002734,Born in the UK,1159
E01002734,Born outside the UK,1207
E01002735,Does not apply,0
E01002735,Born in the UK,1701
E01002735,Born outside the UK,1257
E01002736,Does not apply,0
E01002736,Born in the UK,808
E01002736,Born outside the UK,669
E01002737,Does not apply,0
E01002737,Born in the UK,1122
E01002737,Born outside the UK,824
E01002738,Does not apply,0
E01002738,Born in the UK,1184
E01002738,Born outside the UK,689
E01002739,Does not apply,0
E01002739,Born in the UK,1251
E01002739,Born outside the UK,588
E01002740,Does not apply,0
E01002740,Born in the UK,1351
E01002740,Born outside the UK,909
E01002741,Does not apply,0
E01002741,Born in the UK,977
E01002741,Born outside the UK,556
E01002742,Does not apply,0
E01002742,Born in the UK,1142
E01002742,Born outside the UK,858
E01002743,Does not apply,0
E01002743,Born in the UK,1018
E01002743,Born outside the UK,508
E01002744,Does not apply,0
E01002744,Born in the UK,870
E01002744,Born outside the UK,443
E01002745,Does not apply,0
E01002745,Born in the UK,952
E01002745,Born outside the UK,460
E01002747,Does not apply,0
E01002747,Born in the UK,1039
E01002747,Born outside the UK,518
E01002748,Does not apply,0
E01002748,Born in the UK,999
E01002748,Born outside the UK,655
E01002749,Does not apply,0
E01002749,Born in the UK,1028
E01002749,Born outside the UK,496
E01002751,Does not apply,0
E01002751,Born in the UK,1042
E01002751,Born outside the UK,795
E01002752,Does not apply,0
E01002752,Born in the UK,1035
E01002752,Born outside the UK,586
E01002753,Does not apply,0
E01002753,Born in the UK,872
E01002753,Born outside the UK,575
E01002754,Does not apply,0
E01002754,Born in the UK,1006
E01002754,Born outside the UK,543
E01002755,Does not apply,0
E01002755,Born in the UK,854
E01002755,Born outside the UK,463
E01002756,Does not apply,0
E01002756,Born in the UK,925
E01002756,Born outside the UK,389
E01002757,Does not apply,0
E01002757,Born in the UK,978
E01002757,Born outside the UK,472
E01002758,Does not apply,0
E01002758,Born in the UK,1029
E01002758,Born outside the UK,707
E01002759,Does not apply,0
E01002759,Born in the UK,1055
E01002759,Born outside the UK,451
E01002760,Does not apply,0
E01002760,Born in the UK,1079
E01002760,Born outside the UK,657
E01002762,Does not apply,0
E01002762,Born in the UK,1083
E01002762,Born outside the UK,789
E01002763,Does not apply,0
E01002763,Born in the UK,752
E01002763,Born outside the UK,550
E01002764,Does not apply,0
E01002764,Born in the UK,1123
E01002764,Born outside the UK,692
E01002765,Does not apply,0
E01002765,Born in the UK,1488
E01002765,Born outside the UK,1369
E01002766,Does not apply,0
E01002766,Born in the UK,1297
E01002766,Born outside the UK,883
E01002767,Does not apply,0
E01002767,Born in the UK,1236
E01002767,Born outside the UK,916
E01002768,Does not apply,0
E01002768,Born in the UK,1025
E01002768,Born outside the UK,585
E01002769,Does not apply,0
E01002769,Born in the UK,1237
E01002769,Born outside the UK,621
E01002770,Does not apply,0
E01002770,Born in the UK,1001
E01002770,Born outside the UK,843
E01002771,Does not apply,0
E01002771,Born in the UK,980
E01002771,Born outside the UK,564
E01002772,Does not apply,0
E01002772,Born in the UK,1136
E01002772,Born outside the UK,750
E01002773,Does not apply,0
E01002773,Born in the UK,987
E01002773,Born outside the UK,658
E01002774,Does not apply,0
E01002774,Born in the UK,1302
E01002774,Born outside the UK,837
E01002775,Does not apply,0
E01002775,Born in the UK,850
E01002775,Born outside the UK,555
E01002776,Does not apply,0
E01002776,Born in the UK,1214
E01002776,Born outside the UK,645
E01002777,Does not apply,0
E01002777,Born in the UK,1110
E01002777,Born outside the UK,568
E01002778,Does not apply,0
E01002778,Born in the UK,1206
E01002778,Born outside the UK,734
E01002779,Does not apply,0
E01002779,Born in the UK,1131
E01002779,Born outside the UK,621
E01002780,Does not apply,0
E01002780,Born in the UK,1185
E01002780,Born outside the UK,514
E01002781,Does not apply,0
E01002781,Born in the UK,1110
E01002781,Born outside the UK,630
E01002782,Does not apply,0
E01002782,Born in the UK,855
E01002782,Born outside the UK,577
E01002783,Does not apply,0
E01002783,Born in the UK,1038
E01002783,Born outside the UK,663
E01002784,Does not apply,0
E01002784,Born in the UK,1109
E01002784,Born outside the UK,646
E01002785,Does not apply,0
E01002785,Born in the UK,1214
E01002785,Born outside the UK,646
E01002786,Does not apply,0
E01002786,Born in the UK,1132
E01002786,Born outside the UK,805
E01002787,Does not apply,0
E01002787,Born in the UK,782
E01002787,Born outside the UK,689
E01002788,Does not apply,0
E01002788,Born in the UK,1160
E01002788,Born outside the UK,662
E01002789,Does not apply,0
E01002789,Born in the UK,1297
E01002789,Born outside the UK,552
E01002790,Does not apply,0
E01002790,Born in the UK,969
E01002790,Born outside the UK,443
E01002791,Does not apply,0
E01002791,Born in the UK,1113
E01002791,Born outside the UK,748
E01002792,Does not apply,0
E01002792,Born in the UK,1168
E01002792,Born outside the UK,677
E01002793,Does not apply,0
E01002793,Born in the UK,1078
E01002793,Born outside the UK,767
E01002794,Does not apply,0
E01002794,Born in the UK,1125
E01002794,Born outside the UK,915
E01002795,Does not apply,0
E01002795,Born in the UK,1148
E01002795,Born outside the UK,788
E01002796,Does not apply,0
E01002796,Born in the UK,778
E01002796,Born outside the UK,331
E01002797,Does not apply,0
E01002797,Born in the UK,1125
E01002797,Born outside the UK,699
E01002798,Does not apply,0
E01002798,Born in the UK,1300
E01002798,Born outside the UK,677
E01002799,Does not apply,0
E01002799,Born in the UK,1136
E01002799,Born outside the UK,772
E01002800,Does not apply,0
E01002800,Born in the UK,959
E01002800,Born outside the UK,810
E01002801,Does not apply,0
E01002801,Born in the UK,918
E01002801,Born outside the UK,542
E01002802,Does not apply,0
E01002802,Born in the UK,1171
E01002802,Born outside the UK,680
E01002804,Does not apply,0
E01002804,Born in the UK,978
E01002804,Born outside the UK,561
E01002805,Does not apply,0
E01002805,Born in the UK,890
E01002805,Born outside the UK,543
E01002806,Does not apply,0
E01002806,Born in the UK,1154
E01002806,Born outside the UK,489
E01002807,Does not apply,0
E01002807,Born in the UK,974
E01002807,Born outside the UK,731
E01002808,Does not apply,0
E01002808,Born in the UK,1194
E01002808,Born outside the UK,719
E01002809,Does not apply,0
E01002809,Born in the UK,1045
E01002809,Born outside the UK,653
E01002810,Does not apply,0
E01002810,Born in the UK,1085
E01002810,Born outside the UK,663
E01002811,Does not apply,0
E01002811,Born in the UK,1094
E01002811,Born outside the UK,649
E01002812,Does not apply,0
E01002812,Born in the UK,463
E01002812,Born outside the UK,1038
E01002813,Does not apply,0
E01002813,Born in the UK,679
E01002813,Born outside the UK,805
E01002814,Does not apply,0
E01002814,Born in the UK,802
E01002814,Born outside the UK,1428
E01002815,Does not apply,0
E01002815,Born in the UK,413
E01002815,Born outside the UK,748
E01002816,Does not apply,0
E01002816,Born in the UK,370
E01002816,Born outside the UK,685
E01002817,Does not apply,0
E01002817,Born in the UK,577
E01002817,Born outside the UK,769
E01002818,Does not apply,0
E01002818,Born in the UK,457
E01002818,Born outside the UK,929
E01002819,Does not apply,0
E01002819,Born in the UK,395
E01002819,Born outside the UK,693
E01002821,Does not apply,0
E01002821,Born in the UK,416
E01002821,Born outside the UK,665
E01002823,Does not apply,0
E01002823,Born in the UK,655
E01002823,Born outside the UK,569
E01002824,Does not apply,0
E01002824,Born in the UK,548
E01002824,Born outside the UK,681
E01002825,Does not apply,0
E01002825,Born in the UK,736
E01002825,Born outside the UK,1049
E01002826,Does not apply,0
E01002826,Born in the UK,504
E01002826,Born outside the UK,752
E01002827,Does not apply,0
E01002827,Born in the UK,832
E01002827,Born outside the UK,883
E01002828,Does not apply,0
E01002828,Born in the UK,555
E01002828,Born outside the UK,635
E01002829,Does not apply,0
E01002829,Born in the UK,828
E01002829,Born outside the UK,563
E01002830,Does not apply,0
E01002830,Born in the UK,868
E01002830,Born outside the UK,856
E01002831,Does not apply,0
E01002831,Born in the UK,973
E01002831,Born outside the UK,745
E01002832,Does not apply,0
E01002832,Born in the UK,843
E01002832,Born outside the UK,789
E01002833,Does not apply,0
E01002833,Born in the UK,569
E01002833,Born outside the UK,642
E01002834,Does not apply,0
E01002834,Born in the UK,427
E01002834,Born outside the UK,818
E01002835,Does not apply,0
E01002835,Born in the UK,420
E01002835,Born outside the UK,991
E01002836,Does not apply,0
E01002836,Born in the UK,507
E01002836,Born outside the UK,803
E01002837,Does not apply,0
E01002837,Born in the UK,406
E01002837,Born outside the UK,639
E01002839,Does not apply,0
E01002839,Born in the UK,490
E01002839,Born outside the UK,1049
E01002840,Does not apply,0
E01002840,Born in the UK,592
E01002840,Born outside the UK,455
E01002841,Does not apply,0
E01002841,Born in the UK,673
E01002841,Born outside the UK,545
E01002842,Does not apply,0
E01002842,Born in the UK,516
E01002842,Born outside the UK,498
E01002843,Does not apply,0
E01002843,Born in the UK,708
E01002843,Born outside the UK,587
E01002844,Does not apply,0
E01002844,Born in the UK,578
E01002844,Born outside the UK,569
E01002845,Does not apply,0
E01002845,Born in the UK,589
E01002845,Born outside the UK,580
E01002846,Does not apply,0
E01002846,Born in the UK,415
E01002846,Born outside the UK,874
E01002847,Does not apply,0
E01002847,Born in the UK,473
E01002847,Born outside the UK,920
E01002848,Does not apply,0
E01002848,Born in the UK,449
E01002848,Born outside the UK,802
E01002849,Does not apply,0
E01002849,Born in the UK,596
E01002849,Born outside the UK,946
E01002850,Does not apply,0
E01002850,Born in the UK,488
E01002850,Born outside the UK,917
E01002851,Does not apply,0
E01002851,Born in the UK,459
E01002851,Born outside the UK,880
E01002852,Does not apply,0
E01002852,Born in the UK,1103
E01002852,Born outside the UK,1110
E01002853,Does not apply,0
E01002853,Born in the UK,860
E01002853,Born outside the UK,568
E01002854,Does not apply,0
E01002854,Born in the UK,617
E01002854,Born outside the UK,487
E01002855,Does not apply,0
E01002855,Born in the UK,798
E01002855,Born outside the UK,794
E01002856,Does not apply,0
E01002856,Born in the UK,757
E01002856,Born outside the UK,673
E01002857,Does not apply,0
E01002857,Born in the UK,687
E01002857,Born outside the UK,688
E01002858,Does not apply,0
E01002858,Born in the UK,646
E01002858,Born outside the UK,674
E01002859,Does not apply,0
E01002859,Born in the UK,445
E01002859,Born outside the UK,804
E01002860,Does not apply,0
E01002860,Born in the UK,542
E01002860,Born outside the UK,602
E01002861,Does not apply,0
E01002861,Born in the UK,503
E01002861,Born outside the UK,752
E01002862,Does not apply,0
E01002862,Born in the UK,496
E01002862,Born outside the UK,594
E01002863,Does not apply,0
E01002863,Born in the UK,389
E01002863,Born outside the UK,728
E01002864,Does not apply,0
E01002864,Born in the UK,539
E01002864,Born outside the UK,941
E01002865,Does not apply,0
E01002865,Born in the UK,510
E01002865,Born outside the UK,939
E01002866,Does not apply,0
E01002866,Born in the UK,755
E01002866,Born outside the UK,1078
E01002867,Does not apply,0
E01002867,Born in the UK,652
E01002867,Born outside the UK,1028
E01002868,Does not apply,0
E01002868,Born in the UK,643
E01002868,Born outside the UK,712
E01002869,Does not apply,0
E01002869,Born in the UK,670
E01002869,Born outside the UK,1070
E01002870,Does not apply,0
E01002870,Born in the UK,854
E01002870,Born outside the UK,739
E01002871,Does not apply,0
E01002871,Born in the UK,805
E01002871,Born outside the UK,658
E01002872,Does not apply,0
E01002872,Born in the UK,779
E01002872,Born outside the UK,570
E01002873,Does not apply,0
E01002873,Born in the UK,775
E01002873,Born outside the UK,587
E01002874,Does not apply,0
E01002874,Born in the UK,654
E01002874,Born outside the UK,479
E01002875,Does not apply,0
E01002875,Born in the UK,677
E01002875,Born outside the UK,583
E01002876,Does not apply,0
E01002876,Born in the UK,1179
E01002876,Born outside the UK,652
E01002877,Does not apply,0
E01002877,Born in the UK,1272
E01002877,Born outside the UK,914
E01002878,Does not apply,0
E01002878,Born in the UK,790
E01002878,Born outside the UK,657
E01002879,Does not apply,0
E01002879,Born in the UK,1172
E01002879,Born outside the UK,773
E01002880,Does not apply,0
E01002880,Born in the UK,624
E01002880,Born outside the UK,520
E01002881,Does not apply,0
