Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01000131,Born outside the UK,1184
E01000132,Does not apply,0
E01000132,Born in the UK,862
E01000132,Born outside the UK,755
E01000133,Does not apply,0
E01000133,Born in the UK,910
E01000133,Born outside the UK,735
E01000134,Does not apply,0
E01000134,Born in the UK,900
E01000134,Born outside the UK,924
E01000135,Does not apply,0
E01000135,Born in the UK,832
E01000135,Born outside the UK,868
E01000136,Does not apply,0
E01000136,Born in the UK,834
E01000136,Born outside the UK,652
E01000137,Does not apply,0
E01000137,Born in the UK,825
E01000137,Born outside the UK,833
E01000138,Does not apply,0
E01000138,Born in the UK,706
E01000138,Born outside the UK,912
E01000139,Does not apply,0
E01000139,Born in the UK,719
E01000139,Born outside the UK,669
E01000140,Does not apply,0
E01000140,Born in the UK,990
E01000140,Born outside the UK,967
E01000141,Does not apply,0
E01000141,Born in the UK,768
E01000141,Born outside the UK,1096
E01000142,Does not apply,0
E01000142,Born in the UK,1003
E01000142,Born outside the UK,1233
E01000143,Does not apply,0
E01000143,Born in the UK,932
E01000143,Born outside the UK,739
E01000144,Does not apply,0
E01000144,Born in the UK,634
E01000144,Born outside the UK,1026
E01000145,Does not apply,0
E01000145,Born in the UK,872
E01000145,Born outside the UK,743
E01000146,Does not apply,0
E01000146,Born in the UK,819
E01000146,Born outside the UK,1053
E01000147,Does not apply,0
E01000147,Born in the UK,737
E01000147,Born outside the UK,1176
E01000150,Does not apply,0
E01000150,Born in the UK,1005
E01000150,Born outside the UK,1250
E01000151,Does not apply,0
E01000151,Born in the UK,909
E01000151,Born outside the UK,813
E01000152,Does not apply,0
E01000152,Born in the UK,1294
E01000152,Born outside the UK,1399
E01000153,Does not apply,0
E01000153,Born in the UK,1098
E01000153,Born outside the UK,831
E01000154,Does not apply,0
E01000154,Born in the UK,902
E01000154,Born outside the UK,1013
E01000156,Does not apply,0
E01000156,Born in the UK,1266
E01000156,Born outside the UK,761
E01000157,Does not apply,0
E01000157,Born in the UK,1020
E01000157,Born outside the UK,562
E01000158,Does not apply,0
E01000158,Born in the UK,948
E01000158,Born outside the UK,513
E01000159,Does not apply,0
E01000159,Born in the UK,1174
E01000159,Born outside the UK,612
E01000160,Does not apply,0
E01000160,Born in the UK,1105
E01000160,Born outside the UK,850
E01000161,Does not apply,0
E01000161,Born in the UK,1116
E01000161,Born outside the UK,918
E01000162,Does not apply,0
E01000162,Born in the UK,1006
